t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785734959.421,0.000,-17.800,0.000,0.9521,0,-1.079,15.800,-1.649,0.3020,9.861,0.074,-3.778,1.000,0.432,1.079,-0.0000,-0.0000,-0.000,-0.000,-0.000,-0.000,1.867,-2.000,0.0061,-0.583,nan,1.22,1,1,1,1,1,0.0425,1.000,1,0.520,8,0.008,4,0,yolo,193.3,yolo,0,0,0,0.000,0,-1,0
1785734959.453,-0.006,-17.621,0.000,0.9531,0,-1.094,15.621,-1.473,0.3023,9.861,0.074,-3.778,1.000,0.432,1.089,-0.0007,-0.0116,-0.001,-0.001,-0.012,0.020,1.834,-2.000,0.0061,-0.616,nan,1.04,1,1,1,0,1,0.0363,1.000,1,0.524,8,-0.009,0,0,yolo,193.3,yolo,0,0,0,0.000,0,-1,0
1785734959.483,-0.005,-15.534,0.002,0.9635,0,-1.094,14.121,-1.473,0.3100,9.861,0.074,-3.778,1.000,0.432,1.089,-0.0007,-0.0336,-0.001,-0.001,-0.034,0.048,1.450,-2.000,0.0062,-1.000,nan,1.04,1,1,1,0,1,0.0363,1.000,1,0.524,8,-0.009,0,0,yolo,193.3,yolo,0,0,0,0.000,0,-1,0
1785734959.516,0.150,-13.961,0.211,0.9705,0,-0.879,12.621,-1.321,0.3163,10.086,0.073,-3.869,1.000,0.412,1.029,0.0001,-0.0645,0.000,0.000,-0.065,0.083,1.200,-2.000,0.0062,-1.321,nan,0.91,1,1,1,0,1,0.0317,1.000,1,0.524,8,-0.009,0,0,yolo,196.1,yolo,0,0,0,0.000,0,-1,0
1785734959.556,0.150,-13.961,0.211,0.9705,0,-0.879,11.961,-1.321,0.3163,10.086,0.073,-3.869,1.000,0.412,1.029,0.0001,-0.0645,0.000,0.000,-0.065,0.083,1.200,-2.000,0.0062,-1.321,nan,0.91,1,1,1,0,1,0.0317,1.000,1,0.524,8,-0.009,5,0,yolo,196.1,yolo,0,0,0,0.000,0,-1,0
1785734959.593,0.194,-12.676,0.369,0.9756,0,-0.817,10.676,-1.431,0.3199,10.086,0.073,-3.869,1.000,0.412,1.012,0.0014,-0.1103,0.001,0.001,-0.110,0.122,1.200,-2.000,0.0062,-1.561,nan,1.02,1,1,1,0,1,0.0356,1.000,1,0.507,8,0.030,0,0,yolo,196.1,yolo,0,0,0,0.000,0,-1,0
1785734959.669,0.345,-10.157,0.607,0.9843,0,-0.636,9.176,-1.431,0.3355,10.086,0.073,-3.869,1.000,0.412,0.981,-0.0000,-0.0000,0.006,0.006,-0.277,0.242,1.200,-2.000,0.0062,-2.029,nan,1.02,1,1,1,1,1,0.0356,1.000,1,0.507,8,0.030,4,1,anduril,,anduril,0,0,0,0.000,0,-1,0
1785734959.709,0.409,-9.033,0.750,0.9876,0,0.068,7.676,-1.001,0.3308,9.738,0.028,-3.456,1.000,0.165,0.341,-0.0000,-0.0000,0.008,0.008,-0.381,0.302,1.200,-2.000,0.0062,-1.884,nan,0.84,1,1,1,1,1,0.0292,1.000,1,0.442,7,0.155,0,0,anduril,,anduril,0,0,0,0.000,0,-1,0
1785734959.766,0.456,-8.105,0.879,0.9900,0,0.281,6.176,-0.942,0.3300,9.867,0.018,-3.305,1.000,0.107,0.175,-0.0000,-0.0000,0.011,0.011,-0.500,0.357,1.200,-2.000,0.0062,-1.881,nan,0.84,1,1,1,1,1,0.0292,1.000,1,0.442,7,0.155,2,0,anduril,,anduril,0,0,0,0.000,0,-1,0
1785734959.799,0.402,-6.575,1.068,0.9934,0,0.279,5.192,-0.749,0.3324,9.867,0.018,-3.305,1.000,0.107,0.123,-0.0000,-0.0000,0.017,0.017,-0.792,0.459,1.200,-1.383,0.0062,-2.153,nan,0.64,1,1,1,1,1,0.0224,1.000,1,0.437,7,0.214,0,0,anduril,,anduril,0,0,0,0.000,0,-1,0
