t,roll,pitch,yaw,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,d_lat,d_vert,vY,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,src_switch,source,gate
1785466372.078,0.000,-17.800,0.000,-0.151,15.800,-1.245,0.3039,10.239,0.011,-3.961,1.000,-0.0000,-0.0000,-0.000,-0.000,-0.000,1.809,-2.000,0.0061,-0.641,nan,1.18,1,0.0414,1.000,1,0.366,6,0.126,0,anduril,0
1785466372.107,0.000,-17.800,0.000,-0.151,15.800,-1.245,0.3039,10.239,0.011,-3.961,1.000,0.0000,0.0000,-0.000,-0.000,-0.000,1.809,-2.000,0.0061,-0.641,nan,1.18,1,0.0414,1.000,1,0.366,6,0.126,0,anduril,0
1785466372.130,0.000,-17.800,0.000,-0.151,15.800,-1.735,0.3040,10.239,0.011,-3.961,1.000,0.0000,0.0000,-0.000,-0.000,-0.000,1.809,-2.000,0.0062,-0.641,nan,1.67,1,0.0585,1.000,1,0.366,6,0.126,0,anduril,0
1785466372.169,0.006,-16.389,0.000,-0.383,14.389,-1.757,0.3207,10.543,0.015,-4.013,1.000,-0.0298,1.7498,0.000,-0.051,0.024,1.575,-2.000,0.0063,-0.875,nan,1.67,1,0.0585,1.000,1,0.366,6,0.126,0,anduril,0
1785466372.196,0.004,-13.979,0.355,-0.172,12.889,-1.606,0.3166,10.543,0.015,-4.013,1.000,0.0048,-0.0760,0.000,-0.127,0.064,1.200,-2.000,0.0063,-1.347,nan,1.52,1,0.0532,0.944,1,0.584,8,0.058,0,anduril,0
1785466372.223,0.004,-13.979,0.355,-0.172,11.979,-1.606,0.3166,10.543,0.015,-4.013,1.000,0.0048,-0.0760,0.000,-0.127,0.064,1.200,-2.000,0.0063,-1.347,nan,1.52,1,0.0532,0.944,1,0.584,8,0.058,0,anduril,0
1785466372.251,-0.023,-12.371,0.547,-0.202,10.479,-1.494,0.3203,10.543,0.015,-4.013,1.000,0.0046,-0.1615,0.000,-0.212,0.106,1.200,-2.000,0.0063,-1.661,nan,1.41,1,0.0493,0.944,1,0.584,8,0.058,0,anduril,0
1785466372.284,-0.023,-12.371,0.547,-0.347,10.371,-1.696,0.3133,10.737,0.017,-4.025,1.000,-0.0127,-0.2941,0.000,-0.212,0.106,1.200,-2.000,0.0063,-1.631,nan,1.61,1,0.0561,0.944,1,0.580,8,-0.000,0,anduril,0
1785466372.316,-0.011,-10.941,0.725,-0.208,8.941,-1.696,0.3292,10.737,0.017,-4.025,1.000,0.0049,-0.0993,-0.000,-0.312,0.150,1.200,-2.000,0.0063,-1.914,nan,1.61,1,0.0561,0.944,1,0.580,8,-0.000,0,anduril,0
1785466372.354,-0.011,-10.941,0.725,-0.810,8.941,-1.871,0.3126,10.671,0.022,-3.897,1.000,-0.0788,-1.6997,-0.000,-0.312,0.150,1.200,-2.000,0.0063,-1.801,nan,1.75,1,0.0613,0.944,1,0.580,8,-0.000,0,anduril,0
1785466372.380,-0.023,-9.679,0.937,-0.251,7.679,-1.425,0.3287,10.671,0.022,-3.897,1.000,0.0136,-0.1399,-0.001,-0.451,0.214,1.200,-2.000,0.0063,-2.047,nan,1.31,1,0.0457,1.000,1,0.507,8,0.107,0,anduril,0
1785466372.408,-0.014,-8.584,1.101,-0.252,6.584,-1.425,0.3203,10.671,0.022,-3.897,1.000,0.0128,-0.3022,-0.001,-0.614,0.288,1.200,-2.000,0.0063,-2.260,nan,1.31,1,0.0457,1.000,1,0.507,8,0.107,0,anduril,0
1785466372.448,-0.014,-8.584,1.101,0.200,6.584,-1.048,0.3036,10.602,0.014,-3.642,1.000,0.0782,-2.0000,-0.001,-0.614,0.288,1.200,-2.000,0.0063,-2.019,nan,0.97,1,0.0340,1.000,1,0.507,8,0.107,0,anduril,0
1785466372.489,-0.063,-7.634,1.220,-1.300,5.634,-1.350,0.2943,7.200,0.075,-1.683,1.000,-0.0000,-0.0000,-0.002,-0.767,0.359,1.738,-2.000,0.0064,-0.712,nan,0.75,1,0.0263,1.000,1,0.436,7,0.156,1,yolo,0
1785466372.527,0.105,-6.879,1.372,-1.434,4.879,-1.186,0.2968,7.200,0.075,-1.683,1.000,-0.0000,-0.0000,-0.004,-0.883,0.420,1.642,-2.000,0.0064,-0.808,nan,0.59,1,0.0206,1.000,1,0.436,7,0.156,0,yolo,0
1785466372.568,0.105,-6.879,1.372,0.066,4.879,-0.991,0.2802,6.810,0.033,-1.443,1.000,0.3819,-1.9181,-0.004,-0.883,0.420,1.833,-2.000,0.0065,-0.617,nan,0.72,1,0.0250,1.000,1,0.375,6,0.231,0,yolo,0
1785466372.599,0.281,-6.151,1.525,-0.544,4.151,-1.085,0.2883,6.810,0.033,-1.443,1.000,-0.0147,-0.1118,-0.005,-0.995,0.482,1.745,-2.000,0.0066,-0.705,nan,0.81,1,0.0283,1.000,1,0.375,6,0.231,0,yolo,0
1785466372.629,0.323,-5.565,1.652,-0.474,3.565,-0.983,0.2869,6.810,0.033,-1.443,1.000,-0.0132,-0.1869,-0.004,-1.070,0.536,1.675,-2.000,0.0066,-0.775,nan,0.71,1,0.0248,1.000,1,0.366,6,0.266,0,yolo,0
1785466372.660,0.323,-5.565,1.652,-0.474,3.565,-0.983,0.2869,6.810,0.033,-1.443,1.000,-0.0132,-0.1869,-0.004,-1.070,0.536,1.675,-2.000,0.0067,-0.775,nan,0.71,1,0.0248,1.000,1,0.366,6,0.266,0,yolo,0
1785466372.697,0.375,-5.043,1.772,-0.395,3.043,-0.907,0.2869,6.810,0.033,-1.443,1.000,-0.0116,-0.2266,-0.002,-1.110,0.585,1.612,-2.000,0.0068,-0.838,nan,0.63,1,0.0221,1.000,1,0.366,6,0.266,0,yolo,0
1785466372.738,0.417,-4.622,1.878,1.105,2.622,-0.737,0.2702,6.483,-0.007,-1.106,1.000,0.2295,-1.5518,0.000,-1.153,0.629,1.870,-2.000,0.0069,-0.580,nan,0.80,1,0.0280,1.000,1,0.303,5,0.477,0,yolo,0
1785466372.773,0.417,-4.622,1.878,0.526,2.622,-0.864,0.2869,6.483,-0.007,-1.106,1.000,-0.0106,0.0000,0.000,-1.153,0.629,1.870,-2.000,0.0069,-0.580,nan,0.93,1,0.0324,1.000,1,0.303,5,0.477,0,yolo,0
1785466372.815,0.260,-4.284,1.959,0.455,2.284,-1.066,0.2895,6.483,-0.007,-1.106,1.000,-0.0059,-0.0195,0.005,-1.172,0.667,1.832,-2.000,0.0070,-0.618,nan,1.13,1,0.0395,1.000,1,0.294,5,0.506,0,yolo,0
1785466372.845,0.260,-4.284,1.959,0.455,2.284,-1.217,0.2895,6.483,-0.007,-1.106,1.000,-0.0059,-0.0195,0.005,-1.172,0.667,1.832,-2.000,0.0070,-0.618,nan,1.28,1,0.0447,1.000,1,0.294,5,0.506,0,yolo,0
1785466372.884,0.199,-3.903,2.116,0.418,1.903,-2.717,0.2729,6.483,-0.007,-1.106,1.000,-0.0045,-0.0497,0.006,-1.202,0.711,1.788,-2.000,0.0071,-0.662,nan,2.97,1,0.1037,1.000,1,0.281,5,0.561,0,yolo,0
1785466372.917,0.199,-3.903,2.116,0.418,1.903,-4.173,0.2718,6.483,-0.007,-1.106,1.000,-0.0045,-0.0497,0.006,-1.202,0.711,1.788,-2.000,0.0072,-0.662,nan,4.24,1,0.1479,1.000,1,0.281,5,0.561,0,yolo,0
1785466372.947,0.112,-3.420,2.331,0.340,1.420,-4.173,0.2717,6.483,-0.007,-1.106,1.000,-0.0041,-0.0945,0.007,-1.247,0.761,1.733,-2.000,0.0072,-0.717,nan,4.24,1,0.1479,1.000,1,0.281,5,0.561,0,yolo,0
1785466372.985,0.112,-3.420,2.331,0.340,1.420,-5.473,0.2718,6.483,-0.007,-1.106,1.000,-0.0041,-0.0945,0.007,-1.247,0.761,1.733,-2.000,0.0073,-0.717,nan,5.54,1,0.1933,0.900,1,0.280,4,0.592,0,yolo,0
1785466373.022,0.031,-3.196,2.918,1.840,1.196,-3.973,0.2718,10.252,-0.606,-1.075,1.000,-0.0000,-0.0000,-0.000,-1.258,0.792,1.948,-2.000,0.0074,-0.502,nan,6.51,1,0.2273,0.900,1,0.280,4,0.592,0,yolo,0
1785466373.064,-0.250,-3.028,3.381,3.340,1.028,-2.473,0.2718,10.252,-0.606,-1.075,1.000,-0.0034,-0.0186,-0.004,-1.276,0.818,1.921,-2.000,0.0074,-0.529,nan,0.00,1,0.0000,0.954,0,0.221,4,0.607,0,yolo,0
1785466373.101,-0.709,-2.880,3.642,4.840,0.880,-0.973,0.2718,10.252,-0.606,-1.075,1.000,-0.0044,-0.0282,-0.005,-1.286,0.842,1.900,-2.000,0.0075,-0.550,nan,0.00,1,0.0000,0.969,0,0.231,4,0.705,0,yolo,0
1785466373.130,-0.709,-2.880,3.642,3.340,0.880,0.527,0.2700,10.506,-0.505,-1.060,1.000,-1.7386,-0.3907,-0.005,-1.286,0.842,1.926,-2.000,0.0075,-0.524,nan,0.00,1,0.0000,0.969,0,0.231,4,0.705,0,yolo,0
1785466373.159,-1.117,-2.760,3.543,4.840,0.760,2.027,0.2720,10.506,-0.505,-1.060,1.000,0.2032,0.0014,-0.005,-1.285,0.864,1.907,-2.000,0.0076,-0.543,nan,0.00,1,0.0000,0.845,0,0.229,3,0.786,0,yolo,0
1785466373.189,-1.117,-2.760,3.543,6.340,0.760,2.751,0.2720,10.506,-0.505,-1.060,1.000,0.2032,0.0014,-0.005,-1.285,0.864,1.907,-2.000,0.0076,-0.543,nan,0.00,1,0.0000,0.845,0,0.229,3,0.786,0,yolo,0
1785466373.227,-1.953,-2.664,3.170,4.840,0.664,2.515,0.2553,10.307,-0.453,-0.911,1.000,-0.2538,-0.7681,0.000,-1.288,0.885,2.035,-2.000,0.0077,-0.415,nan,0.00,1,0.0000,0.845,0,0.229,3,0.786,0,yolo,0
1785466373.266,-2.519,-2.581,2.868,4.548,0.581,2.515,0.2720,10.307,-0.453,-0.911,1.000,0.1692,0.0125,-0.008,-1.275,0.905,2.025,-2.000,0.0077,-0.425,nan,0.00,1,0.0000,0.964,0,0.228,4,0.776,0,yolo,0
