t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785653546.279,0.000,-17.800,0.000,0.9521,0,-0.449,15.800,0.375,0.2740,5.822,0.019,-1.550,0.970,0.185,0.449,-0.0000,-0.0000,-0.000,-0.000,-0.000,-0.000,2.146,-2.000,0.0060,0.304,nan,0.34,1,1,1,1,1,0.0118,1.000,1,0.525,8,-0.005,0,0,yolo,129.1,yolo,0,0,0,0.000,0,-1,0
1785653546.312,-0.004,-17.663,-0.001,0.9529,0,-0.464,15.663,0.458,0.2739,5.822,0.019,-1.550,0.970,0.185,0.460,-0.0006,-0.0068,-0.001,-0.001,-0.007,0.018,2.161,-2.000,0.0059,0.289,nan,0.26,1,1,1,0,1,0.0089,1.000,1,0.524,8,-0.003,0,0,yolo,129.1,yolo,0,0,0,0.000,0,-1,0
1785653546.349,-0.029,-15.726,-0.003,0.9626,0,-0.736,14.163,0.424,0.2905,5.822,0.022,-1.550,0.970,0.217,0.708,-0.0246,1.5264,-0.002,-0.004,-0.023,0.041,2.200,-2.000,0.0059,0.086,nan,0.26,1,1,1,1,1,0.0089,1.000,1,0.524,8,-0.003,3,0,yolo,136.3,yolo,0,0,0,0.000,0,-1,0
1785653546.375,-0.029,-15.726,-0.003,0.9626,0,-0.573,13.726,0.472,0.2777,5.822,0.022,-1.550,0.970,0.217,0.545,0.0023,0.0000,-0.002,-0.002,-0.023,0.041,2.200,-2.000,0.0059,0.086,nan,0.21,1,1,1,0,1,0.0073,1.000,1,0.521,8,0.003,0,0,yolo,136.3,yolo,0,0,0,0.000,0,-1,0
1785653546.406,0.116,-13.846,-0.054,0.9709,0,-0.430,12.226,0.507,0.2808,5.822,0.022,-1.550,0.970,0.217,0.546,0.0022,-0.0155,-0.002,-0.002,-0.039,0.070,2.200,-2.000,0.0059,-0.112,nan,0.17,1,1,1,0,1,0.0060,1.000,1,0.521,8,0.003,0,0,yolo,136.3,yolo,0,0,0,0.000,0,-1,0
1785653546.438,0.173,-12.426,-0.118,0.9766,0,-0.358,10.726,0.296,0.2828,5.822,0.022,-1.550,0.970,0.217,0.532,0.0029,-0.0365,-0.001,-0.001,-0.060,0.106,2.189,-2.000,0.0060,-0.261,nan,0.38,1,1,1,0,1,0.0134,1.000,1,0.519,8,0.011,0,0,yolo,136.3,yolo,0,0,0,0.000,0,-1,0
1785653546.468,0.173,-12.426,-0.118,0.9766,0,-0.358,10.426,0.296,0.2828,5.822,0.022,-1.550,0.970,0.217,0.532,0.0029,-0.0365,-0.001,-0.001,-0.060,0.106,2.189,-2.000,0.0060,-0.261,nan,0.38,1,1,1,0,1,0.0134,1.000,1,0.519,8,0.011,0,0,yolo,136.3,yolo,0,0,0,0.000,0,-1,0
1785653546.504,0.221,-11.212,-0.138,0.9809,0,-0.476,9.212,0.116,0.2995,5.822,0.024,-1.550,0.970,0.238,0.697,-0.0128,0.7649,-0.000,-0.004,-0.087,0.154,2.061,-2.000,0.0060,-0.389,nan,0.54,1,1,1,1,1,0.0189,1.000,1,0.519,8,0.011,3,0,yolo,126.2,yolo,0,0,0,0.000,0,-1,0
1785653546.545,0.266,-10.052,-0.153,0.9846,0,-0.270,8.052,-0.060,0.2884,5.822,0.024,-1.550,0.970,0.238,0.535,0.0052,-0.0323,0.001,0.001,-0.119,0.211,1.940,-2.000,0.0061,-0.510,nan,0.72,1,1,1,0,1,0.0251,1.000,1,0.511,8,0.091,0,0,yolo,126.2,yolo,0,0,0,0.000,0,-1,0
1785653546.576,0.323,-8.998,-0.164,0.9877,0,-0.164,6.998,-0.193,0.2891,5.822,0.024,-1.550,0.970,0.238,0.487,0.0077,-0.0712,0.004,0.004,-0.158,0.272,1.830,-2.000,0.0061,-0.620,nan,0.85,1,1,1,0,1,0.0297,1.000,1,0.511,8,0.091,0,0,yolo,126.2,yolo,0,0,0,0.000,0,-1,0
