t,roll,pitch,yaw,up,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785568464.206,0.000,-17.800,0.000,0.9521,-0.674,15.800,0.649,0.2740,5.823,0.028,-1.550,0.970,0.277,0.674,-0.0000,-0.0000,-0.000,-0.000,-0.000,-0.000,2.146,-2.000,0.0060,0.304,nan,-0.03,1,1,1,-0.0011,1.000,1,0.521,8,0.005,0,0,yolo,108.2,yolo,0,0,0,0.000,0,-1,0
1785568464.234,0.000,-17.800,0.000,0.9521,-0.676,15.800,0.649,0.2739,5.823,0.028,-1.550,0.970,0.277,0.676,-0.0001,-0.0000,-0.000,-0.000,-0.000,-0.000,2.146,-2.000,0.0059,0.304,nan,-0.03,1,1,1,-0.0011,1.000,1,0.521,8,0.005,0,0,yolo,108.2,yolo,0,0,0,0.000,0,-1,0
1785568464.274,0.005,-17.780,0.003,0.9522,-0.672,15.780,0.656,0.2741,5.823,0.028,-1.550,0.970,0.277,0.677,-0.0002,0.0029,-0.000,-0.000,0.003,0.011,2.148,-2.000,0.0059,0.302,nan,-0.04,1,1,1,-0.0013,1.000,1,0.521,8,0.005,2,0,yolo,108.2,yolo,0,0,0,0.000,0,-1,0
1785568464.312,0.009,-16.546,0.002,0.9586,-0.664,14.546,1.493,0.2908,5.823,0.028,-1.550,0.970,0.277,0.672,0.0001,1.9440,-0.000,-0.000,-0.007,0.023,2.200,-2.000,0.0059,0.172,nan,-0.88,1,1,1,-0.0306,1.000,1,0.522,8,-0.012,0,0,yolo,127.0,yolo,0,0,0,0.000,0,-1,0
1785568464.352,0.127,-14.502,-0.064,0.9681,-0.531,13.046,0.311,0.2797,5.823,0.028,-1.550,0.970,0.277,0.658,0.0008,-0.0093,0.001,0.001,-0.016,0.040,2.200,-2.000,0.0059,-0.043,nan,0.31,1,1,1,0.0107,1.000,1,0.366,6,0.117,0,0,yolo,127.0,yolo,0,0,0,0.000,0,-1,0
1785568464.391,0.224,-13.121,-0.178,0.9739,-0.425,11.546,-1.046,0.2963,5.823,0.028,-1.550,0.970,0.277,0.649,0.0001,2.0000,0.003,0.002,-0.032,0.074,2.200,-2.000,0.0059,-0.188,nan,1.66,1,1,1,0.0581,1.000,1,0.366,6,0.117,0,0,yolo,105.1,yolo,0,0,0,0.000,0,-1,0
1785568464.428,0.246,-11.798,-0.065,0.9789,-0.346,10.046,-0.638,0.2845,5.823,0.028,-1.550,0.970,0.277,0.593,0.0029,-0.0273,0.005,0.005,-0.059,0.122,2.123,-2.000,0.0059,-0.327,nan,1.26,1,1,1,0.0438,1.000,1,0.508,8,0.138,0,0,yolo,105.1,yolo,0,0,0,0.000,0,-1,0
1785568464.467,0.271,-10.648,0.052,0.9828,-0.282,8.648,-0.331,0.2853,5.823,0.028,-1.550,0.970,0.277,0.553,0.0050,-0.0670,0.007,0.007,-0.099,0.182,2.002,-2.000,0.0060,-0.448,nan,0.95,1,1,1,0.0331,1.000,1,0.508,8,0.138,0,0,yolo,105.1,yolo,0,0,0,0.000,0,-1,0
1785568464.498,0.301,-9.719,0.072,0.9856,-1.782,7.719,-1.191,0.3020,6.842,0.079,-1.689,1.000,0.661,3.979,-0.3443,0.4648,0.009,-0.048,-0.134,0.243,1.940,-2.000,0.0060,-0.510,nan,0.53,1,1,1,0.0185,1.000,1,0.513,8,0.136,0,0,yolo,105.1,yolo,0,0,0,0.000,0,-1,0
1785568464.529,0.301,-9.719,0.072,0.9856,-0.957,7.719,-0.876,0.2895,6.842,0.079,-1.689,1.000,0.661,1.259,0.0569,0.0000,0.009,0.009,-0.134,0.243,1.940,-2.000,0.0061,-0.510,nan,0.21,1,1,1,0.0075,1.000,1,0.513,8,0.136,0,0,yolo,105.1,yolo,0,0,0,0.000,0,-1,0
