t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785651398.010,0.000,-17.800,0.000,0.9521,0,-0.449,15.800,0.059,0.2740,5.822,0.019,-1.550,0.970,0.185,0.449,-0.0000,-0.0000,-0.000,-0.000,0.000,-0.000,2.146,-2.000,0.0060,0.304,nan,0.65,1,1,1,1,1,0.0228,1.000,1,0.525,8,-0.005,0,0,yolo,125.3,yolo,0,0,0,0.000,0,-1,0
1785651398.038,0.000,-17.800,0.000,0.9521,0,-0.449,15.800,0.059,0.2739,5.822,0.019,-1.550,0.970,0.185,0.449,0.0000,0.0000,-0.000,-0.000,0.000,-0.000,2.146,-2.000,0.0059,0.304,nan,0.65,1,1,1,0,1,0.0228,1.000,1,0.525,8,-0.005,0,0,yolo,125.3,yolo,0,0,0,0.000,0,-1,0
1785651398.075,0.000,-17.791,-0.000,0.9522,0,-0.450,15.791,0.219,0.2739,5.822,0.019,-1.550,0.970,0.185,0.451,-0.0001,-0.0003,-0.000,-0.000,-0.000,0.000,2.147,-2.000,0.0059,0.303,nan,0.49,1,1,1,0,1,0.0173,1.000,1,0.525,8,-0.005,3,0,yolo,125.3,yolo,0,0,0,0.000,0,-1,0
1785651398.100,0.026,-15.793,0.001,0.9623,0,-0.404,14.291,0.100,0.2906,5.820,0.019,-1.549,0.970,0.183,0.431,0.0014,2.0000,0.001,0.000,-0.016,0.016,2.200,-2.000,0.0059,0.094,nan,0.62,1,1,1,1,1,0.0216,1.000,1,0.522,8,0.002,0,0,yolo,148.8,yolo,0,0,0,0.000,0,-1,0
1785651398.131,0.026,-15.793,0.001,0.9623,0,-0.406,13.793,0.006,0.2776,5.820,0.019,-1.549,0.970,0.183,0.432,0.0003,0.0000,0.001,0.001,-0.016,0.016,2.200,-2.000,0.0059,0.094,nan,0.71,1,1,1,0,1,0.0249,1.000,1,0.522,8,0.002,0,0,yolo,148.8,yolo,0,0,0,0.000,0,-1,0
1785651398.166,0.136,-13.948,-0.019,0.9705,0,-0.264,12.293,-0.151,0.2804,5.820,0.019,-1.549,0.970,0.183,0.401,0.0019,-0.0178,0.002,0.002,-0.034,0.038,2.200,-2.000,0.0059,-0.100,nan,0.87,1,1,1,0,1,0.0304,1.000,1,0.520,8,0.007,0,0,yolo,148.8,yolo,0,0,0,0.000,0,-1,0
1785651398.194,0.160,-12.424,-0.001,0.9766,0,-0.201,10.793,-0.151,0.2823,5.820,0.019,-1.549,0.970,0.183,0.360,0.0040,-0.0453,0.005,0.005,-0.061,0.077,2.189,-2.000,0.0059,-0.261,nan,0.87,1,1,1,0,1,0.0304,1.000,1,0.520,8,0.007,0,0,yolo,148.8,yolo,0,0,0,0.000,0,-1,0
1785651398.223,0.160,-12.424,-0.001,0.9766,0,-0.201,10.424,-0.268,0.2823,5.820,0.019,-1.549,0.970,0.183,0.360,0.0040,-0.0453,0.005,0.005,-0.061,0.077,2.189,-2.000,0.0060,-0.261,nan,0.99,1,1,1,0,1,0.0345,1.000,1,0.520,8,0.007,0,0,yolo,148.8,yolo,0,0,0,0.000,0,-1,0
1785651398.261,0.185,-11.105,0.026,0.9813,0,-0.206,9.105,-0.359,0.2990,5.821,0.019,-1.549,0.970,0.184,0.390,-0.0004,1.0405,0.007,0.004,-0.096,0.130,2.051,-2.000,0.0060,-0.399,nan,1.08,1,1,1,1,1,0.0376,1.000,1,0.520,8,0.007,2,0,yolo,132.7,yolo,0,0,0,0.000,0,-1,0
1785651398.287,0.206,-10.046,0.060,0.9847,0,-0.089,8.046,-0.087,0.2880,5.821,0.019,-1.549,0.970,0.184,0.295,0.0049,-0.0390,0.009,0.009,-0.135,0.191,1.940,-2.000,0.0060,-0.510,nan,0.80,1,1,1,0,1,0.0281,1.000,1,0.518,8,0.050,0,0,yolo,132.7,yolo,0,0,0,0.000,0,-1,0
1785651398.318,0.206,-10.046,0.060,0.9847,0,-0.089,8.046,0.167,0.2881,5.821,0.019,-1.549,0.970,0.184,0.295,0.0049,-0.0390,0.009,0.009,-0.135,0.191,1.940,-2.000,0.0061,-0.510,nan,0.55,1,1,1,0,1,0.0192,1.000,1,0.442,7,0.143,0,0,yolo,132.7,yolo,0,0,0,0.000,0,-1,0
1785651398.349,0.216,-9.083,0.079,0.9875,0,-1.392,7.083,0.228,0.3047,5.828,0.029,-1.538,0.971,0.281,1.608,-0.1481,1.3231,0.011,-0.014,-0.180,0.254,1.852,-2.000,0.0062,-0.598,nan,0.36,1,1,1,1,1,0.0126,1.000,1,0.442,7,0.143,0,0,yolo,121.1,yolo,0,0,0,0.000,0,-1,0
1785651398.389,0.393,-8.219,0.057,0.9897,0,0.037,6.219,0.330,0.2913,5.828,0.029,-1.538,0.971,0.281,0.356,0.0278,-0.0584,0.013,0.013,-0.239,0.313,1.761,-2.000,0.0062,-0.689,nan,0.26,1,1,1,0,1,0.0090,1.000,1,0.436,7,0.211,0,0,yolo,121.1,yolo,0,0,0,0.000,0,-1,0
1785651398.428,0.562,-7.383,0.035,0.9917,0,0.277,5.383,0.406,0.2903,5.828,0.029,-1.538,0.971,0.281,0.285,0.0315,-0.1264,0.017,0.017,-0.307,0.367,1.674,-2.000,0.0063,-0.776,nan,0.18,1,1,1,0,1,0.0063,1.000,1,0.436,7,0.211,0,0,yolo,121.1,yolo,0,0,0,0.000,0,-1,0
1785651398.464,0.540,-6.699,0.000,0.9931,0,0.349,4.699,0.252,0.2888,5.828,0.029,-1.538,0.971,0.281,0.191,0.0364,-0.2006,0.022,0.022,-0.381,0.421,1.603,-2.000,0.0064,-0.847,nan,0.34,1,1,1,0,1,0.0117,0.929,1,0.428,6,0.251,0,0,yolo,121.1,yolo,0,0,0,0.000,0,-1,0
1785651398.504,0.508,-6.131,-0.021,0.9942,0,-0.649,4.131,-0.077,0.2721,5.855,0.037,-1.325,0.976,0.362,1.158,-0.0621,-1.1664,0.026,0.002,-0.449,0.468,1.758,-2.000,0.0065,-0.692,nan,0.45,1,1,1,1,1,0.0158,0.929,1,0.428,6,0.251,0,0,yolo,122.5,yolo,0,0,0,0.000,0,-1,0
1785651398.543,0.508,-6.131,-0.021,0.9942,0,0.122,4.131,-0.064,0.2888,5.855,0.037,-1.325,0.976,0.362,0.386,0.0244,0.0000,0.026,0.026,-0.449,0.468,1.758,-2.000,0.0065,-0.692,nan,0.44,1,1,1,0,1,0.0153,1.000,1,0.368,6,0.279,0,0,yolo,122.5,yolo,0,0,0,0.000,0,-1,0
1785651398.580,0.600,-5.594,-0.005,0.9952,0,0.292,3.594,-0.054,0.2923,5.855,0.037,-1.325,0.976,0.362,0.308,0.0285,-0.0482,0.030,0.030,-0.497,0.515,1.703,-2.000,0.0066,-0.747,nan,0.43,1,1,1,0,1,0.0149,1.000,1,0.368,6,0.279,0,0,yolo,122.5,yolo,0,0,0,0.000,0,-1,0
1785651398.616,0.553,-5.155,0.011,0.9959,0,0.270,3.155,0.161,0.2756,5.837,0.029,-1.011,0.973,0.282,0.283,0.0409,-1.3260,0.035,0.014,-0.534,0.554,1.968,-2.000,0.0066,-0.482,nan,0.38,1,1,1,1,1,0.0133,1.000,1,0.360,6,0.197,0,0,yolo,118.7,yolo,0,0,0,0.000,0,-1,0
1785651398.643,0.531,-4.786,-0.001,0.9965,0,0.532,2.786,0.161,0.2862,5.837,0.029,-1.011,0.973,0.282,-0.002,0.0252,-0.0252,0.039,0.039,-0.559,0.589,1.930,-2.000,0.0067,-0.520,nan,0.38,1,1,1,0,1,0.0133,1.000,1,0.360,6,0.197,0,0,yolo,118.7,yolo,0,0,0,0.000,0,-1,0
1785651398.679,0.531,-4.786,-0.001,0.9965,0,0.532,2.786,0.197,0.2862,5.837,0.029,-1.011,0.973,0.282,-0.002,0.0252,-0.0252,0.039,0.039,-0.559,0.589,1.930,-2.000,0.0068,-0.520,nan,0.35,1,1,1,0,1,0.0121,1.000,1,0.360,6,0.197,1,0,yolo,118.7,yolo,0,0,0,0.000,0,-1,0
1785651398.705,0.462,-4.386,-0.025,0.9970,0,0.562,2.386,0.455,0.2860,5.837,0.029,-1.011,0.973,0.282,-0.100,0.0303,-0.0550,0.044,0.044,-0.589,0.628,1.889,-2.000,0.0068,-0.561,nan,0.09,1,1,1,0,1,0.0030,0.917,1,0.355,5,0.209,0,0,yolo,118.7,yolo,0,0,0,0.000,0,-1,0
