t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785658217.575,0.000,-17.800,0.000,0.9521,0,-1.162,15.800,-1.143,0.2779,6.389,0.052,-1.862,1.000,0.465,1.162,-0.0000,-0.0000,0.000,0.000,-0.000,-0.000,2.200,-2.000,0.0060,0.181,nan,0.68,1,1,1,1,1,0.0237,1.000,1,0.523,8,0.001,1,0,yolo,124.5,yolo,0,0,0,0.000,0,-1,0
1785658217.621,-0.001,-17.669,-0.000,0.9528,0,-2.662,15.669,-1.492,0.2730,6.301,0.082,-1.814,1.000,0.749,8.302,-0.9370,-0.0965,0.000,-0.128,-0.007,0.018,2.200,-2.000,0.0060,0.184,nan,0.74,1,1,1,1,1,0.0259,1.000,1,0.522,8,0.005,1,0,yolo,132.6,yolo,0,0,0,0.000,0,-1,0
1785658217.672,-0.033,-15.752,0.001,0.9624,0,-1.294,14.169,-1.194,0.2808,6.301,0.082,-1.814,1.000,0.749,1.261,0.1264,-0.0165,-0.001,-0.001,-0.024,0.041,2.200,-2.000,0.0060,-0.036,nan,0.44,1,1,1,0,1,0.0155,1.000,1,0.521,8,0.013,0,0,yolo,132.6,yolo,0,0,0,0.000,0,-1,0
1785658217.710,0.024,-13.634,0.009,0.9718,0,-1.252,12.669,-1.102,0.2847,6.301,0.082,-1.814,1.000,0.749,1.276,0.1256,-0.0371,-0.002,-0.002,-0.044,0.066,2.172,-2.000,0.0060,-0.278,nan,0.35,1,1,1,0,1,0.0123,1.000,1,0.521,8,0.013,0,0,yolo,132.6,yolo,0,0,0,0.000,0,-1,0
1785658217.748,0.123,-12.281,0.155,0.9771,0,-2.015,11.169,-0.974,0.3013,6.166,0.067,-1.741,1.000,0.622,2.139,0.0823,0.6688,-0.002,-0.071,-0.068,0.116,2.061,-2.000,0.0060,-0.389,nan,0.35,1,1,1,1,1,0.0123,1.000,1,0.521,8,0.013,2,0,yolo,128.9,yolo,0,0,0,0.000,0,-1,0
1785658217.787,0.234,-10.846,0.288,0.9821,0,-0.985,9.669,-1.204,0.2904,6.166,0.067,-1.741,1.000,0.622,1.220,0.0703,-0.0292,-0.001,-0.001,-0.097,0.178,1.901,-2.000,0.0061,-0.549,nan,0.58,1,1,1,0,1,0.0203,1.000,1,0.521,8,0.018,0,0,yolo,128.9,yolo,0,0,0,0.000,0,-1,0
1785658217.823,0.234,-10.846,0.288,0.9821,0,-0.985,8.846,-1.377,0.2905,6.166,0.067,-1.741,1.000,0.622,1.220,0.0703,-0.0292,-0.001,-0.001,-0.097,0.178,1.901,-2.000,0.0061,-0.549,nan,0.75,1,1,1,0,1,0.0263,1.000,1,0.521,8,0.018,3,0,yolo,128.9,yolo,0,0,0,0.000,0,-1,0
1785658217.850,0.329,-9.641,0.415,0.9859,0,-0.836,7.641,-0.753,0.2915,6.166,0.067,-1.741,1.000,0.622,1.166,0.0731,-0.0734,0.002,0.002,-0.141,0.250,1.767,-2.000,0.0062,-0.683,nan,0.13,1,1,1,0,1,0.0046,0.938,1,0.507,7,0.118,0,0,yolo,128.9,yolo,0,0,0,0.000,0,-1,0
1785658217.879,0.424,-8.757,0.510,0.9883,0,-0.680,6.757,-0.137,0.3082,6.048,0.050,-1.668,1.000,0.474,1.104,0.1558,0.4417,0.005,-0.049,-0.194,0.310,1.723,-2.000,0.0063,-0.727,nan,-0.34,1,1,1,1,1,-0.0118,0.938,1,0.507,7,0.118,0,0,yolo,117.3,yolo,0,0,0,0.000,0,-1,0
1785658217.921,0.424,-8.757,0.510,0.9883,0,-0.425,6.757,-0.349,0.2956,6.048,0.050,-1.668,1.000,0.474,0.849,0.0539,0.0000,0.005,0.005,-0.194,0.310,1.723,-2.000,0.0064,-0.727,nan,-0.13,1,1,1,0,1,-0.0044,1.000,1,0.360,6,0.222,0,0,yolo,117.3,yolo,0,0,0,0.000,0,-1,0
