t,roll,pitch,yaw,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,d_lat,d_vert,vY,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,src_switch,source,gate
1785459258.759,0.000,-17.800,0.000,-2.850,15.800,-1.757,0.2682,7.386,0.147,-1.862,1.000,-0.0000,-0.0000,-0.000,-0.000,-0.000,1.965,-2.000,0.0060,0.485,nan,0.62,1,0.0216,1.000,1,0.523,8,0.021,0,yolo,0
1785459258.793,0.000,-17.800,0.000,-3.787,15.800,-1.656,0.2849,7.286,0.153,-1.886,1.000,-0.1240,0.8158,-0.000,-0.000,-0.000,2.019,-2.000,0.0059,0.431,nan,0.45,1,0.0158,1.000,1,0.523,8,0.021,0,yolo,0
1785459258.837,0.006,-17.263,0.001,-2.935,15.263,-1.444,0.2701,7.286,0.153,-1.886,1.000,0.0134,-0.0248,0.000,-0.025,0.019,2.089,-2.000,0.0059,0.361,nan,0.24,1,0.0084,1.000,1,0.526,8,-0.002,0,yolo,0
1785459258.879,0.334,-14.393,0.122,-2.417,13.763,-1.376,0.2769,7.286,0.153,-1.886,1.000,0.0248,-0.0472,0.012,-0.047,0.047,2.200,-2.000,0.0059,-0.015,nan,0.17,1,0.0060,1.000,1,0.526,8,-0.002,0,yolo,0
1785459258.906,0.334,-14.393,0.122,-0.917,12.393,-1.044,0.2858,6.774,0.109,-1.769,1.000,0.3298,0.1361,0.012,-0.047,0.047,2.200,-2.000,0.0059,-0.029,nan,0.12,1,0.0042,1.000,1,0.526,8,-0.006,0,yolo,0
1785459258.940,1.004,-11.988,0.459,-0.981,10.893,-1.005,0.2850,6.774,0.109,-1.769,1.000,-0.0020,-0.0170,0.027,-0.064,0.080,2.129,-2.000,0.0059,-0.321,nan,0.08,1,0.0028,1.000,1,0.526,8,-0.006,0,yolo,0
1785459258.972,1.161,-10.346,0.575,-0.523,9.393,-1.289,0.2883,6.774,0.109,-1.769,1.000,0.0151,-0.0452,0.044,-0.092,0.141,1.929,-2.000,0.0060,-0.521,nan,0.36,1,0.0127,1.000,1,0.522,8,-0.002,0,yolo,0
1785459259.003,1.161,-10.346,0.575,0.977,8.346,-1.268,0.2798,6.440,0.078,-1.692,1.000,0.3951,-0.2222,0.044,-0.092,0.141,1.944,-2.000,0.0060,-0.506,nan,0.58,1,0.0201,1.000,1,0.522,8,-0.002,0,yolo,0
1785459259.034,1.034,-9.185,0.749,-0.039,7.185,-1.102,0.2919,6.440,0.078,-1.692,1.000,-0.0253,-0.0259,0.059,-0.118,0.208,1.809,-2.000,0.0061,-0.641,nan,0.41,1,0.0144,1.000,1,0.519,8,0.058,0,yolo,0
1785459259.066,1.034,-9.185,0.749,-0.039,7.185,-0.978,0.2920,6.440,0.078,-1.692,1.000,-0.0253,-0.0259,0.059,-0.118,0.208,1.809,-2.000,0.0061,-0.641,nan,0.29,1,0.0100,1.000,1,0.519,8,0.058,0,yolo,0
1785459259.097,1.089,-8.089,0.890,0.222,6.089,-0.840,0.2933,6.440,0.078,-1.692,1.000,-0.0141,-0.0650,0.070,-0.157,0.275,1.683,-2.000,0.0062,-0.767,nan,0.15,1,0.0052,1.000,1,0.442,7,0.119,0,yolo,0
1785459259.128,1.075,-7.272,0.987,0.421,5.272,-0.751,0.3099,6.230,0.077,-1.631,1.000,-0.0163,0.5982,0.079,-0.206,0.329,1.623,-2.000,0.0063,-0.827,nan,0.04,1,0.0016,1.000,1,0.442,7,0.119,0,yolo,0
