t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785715289.470,0.000,-17.800,0.000,0.9521,0,-1.867,15.800,-0.832,0.2648,6.867,0.089,-1.582,1.000,0.746,1.867,-0.0000,-0.0000,-0.000,-0.000,-0.000,-0.000,1.857,-2.000,0.0059,0.593,nan,0.09,1,1,1,1,1,0.0030,1.000,1,0.525,8,-0.006,0,0,yolo,103.6,yolo,0,0,0,0.000,0,-1,0
1785715289.505,0.000,-17.800,0.000,0.9521,0,-0.367,15.800,-0.617,0.2815,7.950,0.079,-2.378,1.000,0.572,0.076,0.2411,2.0000,-0.000,0.014,-0.000,-0.000,2.200,-2.000,0.0059,0.166,nan,0.04,1,1,1,1,1,0.0016,1.000,1,0.525,8,-0.007,0,0,yolo,112.8,yolo,0,0,0,0.000,0,-1,0
1785715289.537,0.003,-17.785,0.004,0.9522,0,-1.502,15.785,-0.586,0.2784,7.950,0.079,-2.378,1.000,0.572,1.504,-0.0141,0.0021,-0.000,-0.000,0.002,0.008,2.200,-2.000,0.0059,0.164,nan,0.01,1,1,1,0,1,0.0005,1.000,1,0.525,8,-0.007,0,0,yolo,112.8,yolo,0,0,0,0.000,0,-1,0
1785715289.569,0.006,-16.426,0.004,0.9592,0,-1.495,14.426,-0.568,0.2820,7.950,0.079,-2.378,1.000,0.572,1.501,-0.0139,-0.0093,-0.000,-0.000,-0.009,0.019,2.200,-2.000,0.0059,-0.033,nan,-0.00,1,1,1,0,1,-0.0002,1.000,1,0.525,8,-0.006,0,0,yolo,112.8,yolo,0,0,0,0.000,0,-1,0
1785715289.602,0.121,-14.551,0.037,0.9679,0,0.005,12.926,-0.446,0.2987,7.205,0.058,-2.088,1.000,0.463,-0.358,0.2069,2.0000,0.002,0.040,-0.019,0.034,2.200,-2.000,0.0059,-0.211,nan,-0.02,1,1,1,1,1,-0.0006,1.000,1,0.525,8,-0.005,0,0,yolo,102.3,yolo,0,0,0,0.000,0,-1,0
1785715289.635,0.121,-14.551,0.037,0.9679,0,-1.209,12.551,-0.446,0.2854,7.205,0.058,-2.088,1.000,0.463,1.330,-0.0386,0.0000,0.002,0.002,-0.019,0.034,2.200,-2.000,0.0060,-0.211,nan,-0.02,1,1,1,0,1,-0.0006,1.000,1,0.525,8,-0.005,1,0,yolo,102.3,yolo,0,0,0,0.000,0,-1,0
1785715289.664,0.272,-12.113,0.155,0.9777,0,-0.974,11.051,-0.464,0.2905,7.205,0.058,-2.088,1.000,0.463,1.246,-0.0337,-0.0421,0.007,0.007,-0.061,0.106,1.920,-2.000,0.0060,-0.530,nan,0.00,1,1,1,0,1,0.0000,1.000,1,0.522,8,-0.002,0,0,yolo,102.3,yolo,0,0,0,0.000,0,-1,0
1785715289.702,0.272,-12.113,0.155,0.9777,0,0.233,10.113,-0.393,0.2738,6.721,0.044,-1.900,1.000,0.378,0.039,0.0989,-0.8251,0.007,0.032,-0.061,0.106,2.003,-2.000,0.0061,-0.447,nan,0.02,1,1,1,1,1,0.0005,1.000,1,0.522,8,-0.002,2,0,yolo,106.5,yolo,0,0,0,0.000,0,-1,0
1785715289.727,0.382,-10.815,0.197,0.9822,0,-0.531,8.815,-0.802,0.2905,6.721,0.044,-1.900,1.000,0.378,0.913,-0.0213,-0.0442,0.011,0.011,-0.105,0.168,1.845,-2.000,0.0061,-0.605,nan,0.42,1,1,1,0,1,0.0148,1.000,1,0.516,8,0.063,0,0,yolo,106.5,yolo,0,0,0,0.000,0,-1,0
1785715289.762,0.427,-9.821,0.278,0.9853,0,-0.411,7.821,-1.108,0.2923,6.721,0.044,-1.900,1.000,0.378,0.838,-0.0171,-0.0865,0.015,0.015,-0.147,0.234,1.725,-2.000,0.0062,-0.725,nan,0.73,1,1,1,0,1,0.0255,1.000,1,0.516,8,0.063,3,0,yolo,106.5,yolo,0,0,0,0.000,0,-1,0
