t,roll,pitch,yaw,up,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785568341.357,0.000,-17.800,0.000,0.9521,-1.039,15.800,0.130,0.3028,10.016,0.073,-3.853,1.000,0.415,1.039,-0.0000,-0.0000,-0.000,-0.000,0.000,-0.000,1.843,-2.000,0.0061,-0.607,nan,-0.54,1,1,1,-0.0190,1.000,1,0.529,8,0.036,0,0,yolo,110.1,yolo,0,0,0,0.000,0,-1,0
1785568341.399,0.000,-17.800,0.000,0.9521,-1.039,15.800,1.090,0.3028,10.016,0.073,-3.853,1.000,0.415,1.039,0.0000,0.0000,-0.000,-0.000,0.000,-0.000,1.843,-2.000,0.0061,-0.607,nan,-1.51,1,1,1,-0.0525,1.000,1,0.371,6,0.137,0,0,yolo,110.1,yolo,0,0,0,0.000,0,-1,0
1785568341.426,-0.003,-17.413,-0.001,0.9542,-1.046,15.413,1.090,0.3035,10.016,0.073,-3.853,1.000,0.415,1.043,-0.0003,-0.0213,-0.000,-0.000,-0.021,0.021,1.771,-2.000,0.0062,-0.679,nan,-1.51,1,1,1,-0.0525,1.000,1,0.371,6,0.137,0,0,yolo,110.1,yolo,0,0,0,0.000,0,-1,0
1785568341.464,0.131,-14.691,-0.038,0.9673,-0.912,13.913,1.809,0.3202,10.025,0.073,-3.855,1.000,0.416,1.042,-0.0016,2.0000,0.002,0.001,-0.049,0.055,1.264,-2.000,0.0062,-1.186,nan,-2.23,1,1,1,-0.0777,1.000,1,0.371,6,0.137,1,0,yolo,126.8,yolo,0,0,0,0.000,0,-1,0
1785568341.490,0.357,-12.329,-0.099,0.9769,-0.622,12.413,1.631,0.3251,10.025,0.073,-3.855,1.000,0.416,0.980,0.0040,-0.0288,0.005,0.005,-0.078,0.092,1.200,-2.000,0.0062,-1.625,nan,-2.05,1,1,1,-0.0715,1.000,1,0.518,8,0.024,0,0,yolo,126.8,yolo,0,0,0,0.000,0,-1,0
1785568341.520,0.361,-12.296,-0.104,0.9770,-0.618,10.913,0.238,0.3253,10.025,0.073,-3.855,1.000,0.416,0.979,0.0041,-0.0298,0.005,0.005,-0.079,0.093,1.200,-2.000,0.0062,-1.631,nan,-0.65,1,1,1,-0.0228,1.000,1,0.525,8,0.065,0,0,yolo,126.8,yolo,0,0,0,0.000,0,-1,0
1785568341.557,0.446,-10.920,-0.138,0.9819,-0.470,9.413,-0.389,0.3277,10.025,0.073,-3.855,1.000,0.416,0.916,0.0087,-0.1101,0.010,0.010,-0.159,0.161,1.200,-2.000,0.0062,-1.886,nan,-0.03,1,1,1,-0.0009,1.000,1,0.514,8,0.036,0,0,yolo,126.8,yolo,0,0,0,0.000,0,-1,0
1785568341.583,0.525,-9.573,-0.134,0.9860,1.030,7.913,0.090,0.3111,11.176,-0.012,-3.635,1.000,-0.063,-3.575,0.5606,-0.9573,0.015,0.080,-0.259,0.236,1.200,-2.000,0.0062,-1.726,nan,-0.03,1,1,1,-0.0009,1.000,1,0.514,8,0.036,0,0,yolo,121.2,yolo,0,0,0,0.000,0,-1,0
1785568341.615,0.526,-9.550,-0.132,0.9861,0.467,7.550,-0.381,0.3265,11.176,-0.012,-3.635,1.000,-0.063,0.058,-0.0654,-0.0024,0.015,0.015,-0.262,0.238,1.200,-2.000,0.0062,-1.731,nan,0.44,1,1,1,0.0155,1.000,1,0.514,8,0.036,1,0,yolo,121.2,yolo,0,0,0,0.000,0,-1,0
1785568341.657,0.465,-8.659,-0.086,0.9886,0.458,6.659,0.122,0.3247,11.176,-0.012,-3.635,1.000,-0.063,0.006,-0.0613,-0.1451,0.019,0.019,-0.404,0.302,1.200,-2.000,0.0062,-1.911,nan,-0.06,1,1,1,-0.0021,0.938,1,0.517,7,0.077,0,0,yolo,121.2,yolo,0,0,0,0.000,0,-1,0
