t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785624687.266,0.000,-17.800,0.000,0.9521,0,-0.439,15.800,-1.686,0.2740,5.822,0.019,-1.550,0.970,0.183,0.439,-0.0000,-0.0000,0.000,0.000,0.000,-0.000,2.146,-2.000,0.0060,0.304,nan,2.40,1,1,1,1,1,0.0838,1.000,1,0.369,6,0.123,3,0,yolo,145.5,yolo,0,0,0,0.000,0,-1,0
1785624687.296,0.004,-16.683,0.005,0.9579,0,-0.428,14.683,-1.259,0.2740,5.822,0.019,-1.550,0.970,0.183,0.431,0.0004,-0.0430,0.001,0.001,-0.043,0.019,2.200,-2.000,0.0060,0.186,nan,1.97,1,1,1,0,1,0.0689,0.944,1,0.584,8,0.019,0,0,yolo,145.5,yolo,0,0,0,0.000,0,-1,0
1785624687.327,0.004,-16.683,0.005,0.9579,0,-0.664,14.683,-1.411,0.2745,5.897,0.029,-1.590,0.983,0.277,0.667,0.0004,-0.0430,0.001,0.001,-0.043,0.019,2.200,-2.000,0.0059,0.170,nan,1.65,1,1,1,0,1,0.0577,0.944,1,0.584,8,0.019,0,0,yolo,152.0,yolo,0,0,0,0.000,0,-1,0
1785624687.365,0.095,-13.579,0.259,0.9720,0,-0.553,13.183,-1.411,0.2795,5.897,0.029,-1.590,0.983,0.277,0.647,0.0014,-0.0688,0.002,0.002,-0.069,0.053,2.200,-2.000,0.0060,-0.161,nan,1.65,1,1,1,0,1,0.0577,0.944,1,0.584,8,0.019,3,0,yolo,152.0,yolo,0,0,0,0.000,0,-1,0
1785624687.412,0.095,-13.579,0.259,0.9720,0,-0.553,11.683,-1.325,0.2795,5.897,0.029,-1.590,0.983,0.277,0.647,0.0014,-0.0688,0.002,0.002,-0.069,0.053,2.200,-2.000,0.0060,-0.161,nan,1.57,1,1,1,0,1,0.0547,1.000,1,0.533,8,0.015,1,0,yolo,152.0,yolo,0,0,0,0.000,0,-1,0
1785624687.451,0.132,-11.197,0.475,0.9810,0,-0.482,10.183,-1.260,0.2833,5.897,0.029,-1.590,0.983,0.277,0.614,0.0032,-0.1006,0.004,0.004,-0.101,0.088,2.036,-2.000,0.0060,-0.414,nan,1.50,1,1,1,0,1,0.0524,1.000,1,0.533,8,0.015,0,0,yolo,152.0,yolo,0,0,0,0.000,0,-1,0
1785624687.483,0.182,-9.495,0.641,0.9863,0,-0.393,8.683,-1.212,0.2857,5.897,0.029,-1.590,0.983,0.277,0.574,0.0052,-0.1362,0.006,0.006,-0.136,0.117,1.855,-2.000,0.0061,-0.595,nan,1.45,1,1,1,0,1,0.0507,1.000,1,0.533,8,0.015,0,0,yolo,152.0,yolo,0,0,0,0.000,0,-1,0
1785624687.518,0.182,-9.495,0.641,0.9863,0,1.107,7.495,-0.163,0.2930,7.461,-0.168,-1.886,1.000,-1.291,-3.291,-0.0000,-0.0000,0.006,0.006,-0.136,0.117,1.820,-2.000,0.0061,-0.630,nan,1.45,1,1,1,1,1,0.0507,1.000,1,0.533,8,0.015,4,0,yolo,199.1,yolo,0,0,0,0.000,0,-1,0
1785624687.560,0.007,-8.290,0.646,0.9896,0,2.607,6.290,0.185,0.2946,7.461,-0.168,-1.886,1.000,-1.291,-3.304,0.0008,-0.0526,0.006,0.006,-0.189,0.166,1.660,-2.000,0.0062,-0.790,nan,1.11,1,1,1,0,1,0.0386,1.000,1,0.512,8,0.083,0,0,yolo,199.1,yolo,0,0,0,0.000,0,-1,0
1785624687.593,0.007,-8.290,0.646,0.9896,0,3.310,6.290,0.445,0.2947,7.461,-0.168,-1.886,1.000,-1.291,-3.304,0.0008,-0.0526,0.006,0.006,-0.189,0.166,1.660,-2.000,0.0063,-0.790,nan,0.85,1,1,1,0,1,0.0295,1.000,1,0.512,8,0.083,0,0,yolo,199.1,yolo,0,0,0,0.000,0,-1,0
1785624687.624,-0.367,-7.283,0.608,0.9919,0,2.894,5.283,0.647,0.2957,7.461,-0.168,-1.886,1.000,-1.291,-3.261,-0.0018,-0.1071,0.004,0.004,-0.243,0.227,1.526,-2.000,0.0064,-0.924,nan,0.64,1,1,1,0,1,0.0225,1.000,1,0.443,7,0.131,0,0,yolo,199.1,yolo,0,0,0,0.000,0,-1,0
1785624687.658,-0.367,-7.283,0.608,0.9919,0,2.894,5.283,0.647,0.2958,7.461,-0.168,-1.886,1.000,-1.291,-3.261,-0.0018,-0.1071,0.004,0.004,-0.243,0.227,1.526,-2.000,0.0065,-0.924,nan,0.64,1,1,1,0,1,0.0225,1.000,1,0.443,7,0.131,1,0,yolo,199.1,yolo,0,0,0,0.000,0,-1,0
1785624687.683,-0.770,-6.306,0.549,0.9939,0,2.382,4.306,0.754,0.2954,7.461,-0.168,-1.886,1.000,-1.291,-3.152,-0.0084,-0.1870,-0.003,-0.003,-0.323,0.286,1.398,-2.000,0.0065,-1.052,nan,0.54,1,1,1,0,1,0.0187,1.000,1,0.432,7,0.179,0,0,yolo,199.1,yolo,0,0,0,0.000,0,-1,0
1785624687.726,-0.770,-6.306,0.549,0.9939,0,0.882,4.306,0.316,0.2788,6.925,-0.093,-1.637,1.000,-0.769,0.450,-0.3783,-1.1247,-0.003,-0.039,-0.323,0.286,1.585,-2.000,0.0066,-0.865,nan,0.45,1,1,1,1,1,0.0158,1.000,1,0.431,7,0.216,0,0,yolo,199.3,yolo,0,0,0,0.000,0,-1,0
1785624687.764,-1.108,-5.564,0.429,0.9951,0,0.754,3.564,0.316,0.2954,6.925,-0.093,-1.637,1.000,-0.769,-1.863,0.0242,-0.1030,-0.015,-0.015,-0.426,0.342,1.494,-2.000,0.0067,-0.956,nan,0.45,1,1,1,0,1,0.0158,1.000,1,0.431,7,0.216,0,0,yolo,199.3,yolo,0,0,0,0.000,0,-1,0
1785624687.801,-1.198,-4.961,0.388,0.9960,0,0.417,2.961,0.378,0.2934,6.925,-0.093,-1.637,1.000,-0.769,-1.615,0.0099,-0.2070,-0.029,-0.029,-0.530,0.391,1.420,-2.000,0.0067,-1.030,nan,0.39,1,1,1,0,1,0.0136,1.000,1,0.431,7,0.216,3,0,yolo,199.3,yolo,0,0,0,0.000,0,-1,0
1785624687.841,-1.198,-4.961,0.388,0.9960,0,0.417,2.961,0.276,0.2934,6.925,-0.093,-1.637,1.000,-0.769,-1.615,0.0099,-0.2070,-0.029,-0.029,-0.530,0.391,1.420,-2.000,0.0067,-1.030,nan,0.49,1,1,1,0,1,0.0172,1.000,1,0.364,6,0.273,0,0,yolo,199.3,yolo,0,0,0,0.000,0,-1,0
1785624687.874,-1.257,-4.469,0.340,0.9967,0,-1.083,2.469,0.066,0.2767,6.576,-0.073,-1.256,1.000,-0.636,0.064,-0.1525,-2.0000,-0.043,-0.068,-0.631,0.435,1.712,-2.000,0.0067,-0.738,nan,0.57,1,1,1,1,1,0.0199,1.000,1,0.364,6,0.273,0,0,yolo,167.9,yolo,0,0,0,0.000,0,-1,0
1785624687.913,-1.257,-4.469,0.340,0.9967,0,-0.103,2.469,0.066,0.2934,6.576,-0.073,-1.256,1.000,-0.636,-1.153,0.0252,0.0000,-0.043,-0.043,-0.631,0.435,1.712,-2.000,0.0068,-0.738,nan,0.57,1,1,1,0,1,0.0199,1.000,1,0.364,6,0.273,3,0,yolo,167.9,yolo,0,0,0,0.000,0,-1,0
1785624687.951,-1.082,-4.062,0.327,0.9973,0,-0.199,2.062,-0.089,0.2918,6.576,-0.073,-1.256,1.000,-0.636,-0.883,0.0102,-0.0757,-0.058,-0.058,-0.706,0.474,1.664,-2.000,0.0069,-0.786,nan,0.73,1,1,1,0,1,0.0253,1.000,1,0.367,6,0.289,0,0,yolo,167.9,yolo,0,0,0,0.000,0,-1,0
1785624687.983,-1.078,-3.744,0.336,0.9977,0,-0.401,1.744,-0.206,0.2900,6.576,-0.073,-1.256,1.000,-0.636,-0.677,-0.0012,-0.1408,-0.069,-0.069,-0.771,0.508,1.628,-2.000,0.0070,-0.822,nan,0.84,1,1,1,0,1,0.0294,1.000,1,0.367,6,0.289,0,0,yolo,167.9,yolo,0,0,0,0.000,0,-1,0
1785624688.014,-1.078,-3.744,0.336,0.9977,0,-0.401,1.744,-0.394,0.2901,6.576,-0.073,-1.256,1.000,-0.636,-0.677,-0.0012,-0.1408,-0.069,-0.069,-0.771,0.508,1.628,-2.000,0.0070,-0.822,nan,1.03,1,1,1,0,1,0.0359,1.000,1,0.300,5,0.509,0,0,yolo,167.9,yolo,0,0,0,0.000,0,-1,0
1785624688.040,-1.022,-3.457,0.389,0.9980,0,-0.562,1.457,-0.394,0.2881,6.576,-0.073,-1.256,1.000,-0.636,-0.460,-0.0132,-0.2055,-0.081,-0.081,-0.836,0.541,1.594,-2.000,0.0071,-0.856,nan,1.03,1,1,1,0,1,0.0359,1.000,1,0.300,5,0.509,0,0,yolo,167.9,yolo,0,0,0,0.000,0,-1,0
