t,roll,pitch,yaw,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,d_lat,d_vert,vY,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,src_switch,source,gate
1785546976.690,0.000,-17.800,0.000,-0.453,15.800,-0.118,0.2740,5.822,0.019,-1.550,0.970,-0.0000,-0.0000,-0.000,0.000,-0.000,2.146,-2.000,0.0060,0.304,nan,0.83,1,0.0290,1.000,1,0.525,8,-0.003,0,yolo,0
1785546976.719,0.000,-17.800,0.000,-0.453,15.800,-0.118,0.2739,5.822,0.019,-1.550,0.970,0.0000,0.0000,-0.000,0.000,-0.000,2.146,-2.000,0.0059,0.304,nan,0.83,1,0.0290,1.000,1,0.525,8,-0.003,0,yolo,0
1785546976.749,-0.005,-17.492,-0.001,-0.479,15.492,-0.172,0.2735,5.822,0.019,-1.550,0.970,-0.0011,-0.0194,-0.001,-0.019,0.019,2.179,-2.000,0.0059,0.271,nan,0.88,1,0.0309,1.000,1,0.525,8,-0.003,0,yolo,0
1785546976.774,0.007,-15.135,0.000,-0.455,13.992,-0.192,0.2772,5.822,0.019,-1.550,0.970,-0.0004,-0.0360,-0.001,-0.036,0.046,2.200,-2.000,0.0059,0.024,nan,0.91,1,0.0316,1.000,1,0.524,8,-0.002,0,yolo,0
1785546976.801,0.007,-15.135,0.000,-0.447,13.135,-0.207,0.2789,5.822,0.019,-1.550,0.970,0.0002,0.0000,-0.001,-0.036,0.046,2.200,-2.000,0.0059,0.024,nan,0.92,1,0.0321,1.000,1,0.524,8,-0.002,0,yolo,0
1785546976.837,0.097,-13.494,0.034,-0.341,11.635,0.066,0.2814,5.822,0.019,-1.550,0.970,0.0009,-0.0158,0.000,-0.052,0.081,2.200,-2.000,0.0059,-0.149,nan,0.65,1,0.0226,1.000,1,0.523,8,0.003,0,yolo,0
1785546976.869,0.152,-11.969,0.066,-0.255,10.135,0.066,0.2839,5.822,0.019,-1.550,0.970,0.0025,-0.0331,0.002,-0.069,0.121,2.141,-2.000,0.0060,-0.309,nan,0.65,1,0.0226,1.000,1,0.523,8,0.003,0,yolo,0
1785546976.908,0.152,-11.969,0.066,-0.031,9.969,0.259,0.2855,5.822,0.015,-1.550,0.970,0.0247,0.0003,0.002,-0.069,0.121,2.141,-2.000,0.0060,-0.309,nan,0.48,1,0.0168,1.000,1,0.433,7,0.148,0,yolo,0
1785546976.946,0.190,-10.780,0.055,-0.121,8.780,0.228,0.2871,5.822,0.015,-1.550,0.970,-0.0004,-0.0235,0.004,-0.093,0.191,2.016,-2.000,0.0060,-0.434,nan,0.51,1,0.0179,1.000,1,0.433,7,0.148,0,yolo,0
1785546976.977,0.202,-9.613,0.038,-0.076,7.613,0.324,0.2884,5.822,0.015,-1.550,0.970,0.0013,-0.0527,0.006,-0.122,0.258,1.894,-2.000,0.0061,-0.556,nan,0.42,1,0.0145,1.000,1,0.440,7,0.186,0,yolo,0
