t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785617708.709,0.000,-17.800,0.000,0.9521,0,-4.254,15.800,-5.085,0.2387,11.974,0.356,-2.347,1.000,1.702,4.254,-0.0000,-0.0000,0.000,0.000,-0.000,-0.000,1.200,-2.000,0.0060,1.426,nan,3.38,1,1,1,0.1181,1.000,1,0.524,7,0.109,2,0,yolo,102.2,yolo,0,0,0,0.000,0,-1,0
1785617708.737,0.000,-17.800,0.000,0.9521,0,-4.253,15.800,-4.735,0.2387,11.974,0.356,-2.347,1.000,1.702,4.253,0.0001,-0.0000,0.000,0.000,-0.000,-0.000,1.200,-2.000,0.0060,1.426,nan,3.03,1,1,1,0.1059,1.000,1,0.526,8,0.057,0,0,yolo,102.2,yolo,0,0,0,0.000,0,-1,0
1785617708.772,0.002,-17.783,0.004,0.9522,0,-4.747,15.783,-4.507,0.2402,11.880,0.360,-2.316,1.000,1.737,4.749,-0.0728,0.0311,0.001,-0.006,0.001,0.004,1.200,-2.000,0.0060,1.423,nan,2.77,1,1,1,0.0967,1.000,1,0.526,8,0.057,3,0,yolo,105.6,yolo,0,0,0,0.000,0,-1,0
1785617708.799,0.004,-16.865,0.010,0.9570,0,-4.298,14.865,-4.236,0.2431,11.880,0.360,-2.316,1.000,1.737,4.302,0.0068,-0.0105,0.001,0.001,-0.009,0.009,1.220,-2.000,0.0060,1.230,nan,2.50,1,1,1,0.0872,1.000,1,0.525,8,-0.009,0,0,yolo,105.6,yolo,0,0,0,0.000,0,-1,0
1785617708.837,0.004,-16.865,0.010,0.9570,0,-4.298,14.865,-4.032,0.2431,11.880,0.360,-2.316,1.000,1.737,4.302,0.0068,-0.0105,0.001,0.001,-0.009,0.009,1.220,-2.000,0.0060,1.230,nan,2.30,1,1,1,0.0801,1.000,1,0.525,8,-0.009,1,0,yolo,105.6,yolo,0,0,0,0.000,0,-1,0
1785617708.863,0.184,-15.244,0.145,0.9648,0,-2.798,13.365,-3.493,0.2598,10.788,0.252,-2.722,1.000,1.337,-10.873,2.2565,2.0000,0.002,0.368,-0.019,0.016,2.200,-2.000,0.0060,0.211,nan,2.16,1,1,1,0.0753,1.000,1,0.526,8,-0.015,0,0,yolo,96.7,yolo,0,0,0,0.000,0,-1,0
1785617708.899,0.549,-13.741,0.517,0.9713,0,-4.298,11.865,-3.388,0.2764,10.788,0.252,-2.722,1.000,1.337,5.103,-0.3620,-0.0083,0.006,0.006,-0.028,0.031,2.200,-2.000,0.0060,-0.079,nan,2.05,1,1,1,0.0716,1.000,1,0.526,8,-0.015,2,0,yolo,96.7,yolo,0,0,0,0.000,0,-1,0
1785617708.924,1.097,-12.166,0.945,0.9774,0,-3.896,10.365,-2.962,0.2872,10.788,0.252,-2.722,1.000,1.337,4.993,-0.3535,-0.0180,0.015,0.015,-0.038,0.061,2.068,-2.000,0.0060,-0.382,nan,1.63,1,1,1,0.0567,1.000,1,0.519,8,0.002,0,0,yolo,96.7,yolo,0,0,0,0.000,0,-1,0
1785617708.955,1.097,-12.166,0.945,0.9774,0,-2.396,10.166,-2.752,0.2705,10.320,0.261,-2.470,1.000,1.446,3.177,-0.2939,-2.0000,0.015,0.229,-0.038,0.061,2.200,-2.000,0.0060,-0.235,nan,1.31,1,1,1,0.0456,1.000,1,0.519,8,0.002,0,0,yolo,97.5,yolo,0,0,0,0.000,0,-1,0
1785617708.986,1.531,-10.914,1.242,0.9816,0,-2.874,8.914,-2.391,0.2872,10.320,0.261,-2.470,1.000,1.446,4.406,-0.2025,-0.0171,0.027,0.027,-0.055,0.103,1.986,-2.000,0.0061,-0.464,nan,0.95,1,1,1,0.0330,1.000,1,0.507,8,0.079,0,0,yolo,97.5,yolo,0,0,0,0.000,0,-1,0
1785617709.016,1.857,-9.830,1.476,0.9848,0,-2.354,7.830,-2.121,0.2930,10.320,0.261,-2.470,1.000,1.446,4.212,-0.1879,-0.0333,0.041,0.041,-0.071,0.154,1.787,-2.000,0.0062,-0.663,nan,0.67,1,1,1,0.0236,1.000,1,0.507,8,0.079,0,0,yolo,97.5,yolo,0,0,0,0.000,0,-1,0
1785617709.048,2.147,-8.865,1.693,0.9874,0,-1.338,6.865,-2.476,0.3020,10.038,0.277,-2.270,1.000,1.582,3.485,-0.1786,0.1640,0.056,0.159,-0.094,0.206,1.766,-2.000,0.0062,-0.684,nan,0.89,1,1,1,0.0312,1.000,1,0.445,7,0.121,0,0,yolo,97.4,yolo,0,0,0,0.000,0,-1,0
1785617709.080,2.300,-8.069,1.934,0.9893,0,-1.475,6.069,-2.640,0.2961,10.038,0.277,-2.270,1.000,1.582,3.775,-0.0873,-0.0490,0.072,0.072,-0.143,0.258,1.624,-2.000,0.0063,-0.826,nan,1.06,1,1,1,0.0369,1.000,1,0.445,7,0.121,0,0,yolo,97.4,yolo,0,0,0,0.000,0,-1,0
1785617709.112,2.300,-8.069,1.934,0.9893,0,-1.475,6.069,-2.279,0.2961,10.038,0.277,-2.270,1.000,1.582,3.775,-0.0873,-0.0490,0.072,0.072,-0.143,0.258,1.624,-2.000,0.0064,-0.826,nan,0.70,1,1,1,0.0243,1.000,1,0.436,7,0.194,0,0,yolo,97.4,yolo,0,0,0,0.000,0,-1,0
1785617709.144,2.465,-7.375,2.199,0.9908,0,0.025,5.375,-1.789,0.2795,9.668,0.230,-1.872,1.000,1.364,-0.217,0.3688,-2.0000,0.088,0.200,-0.200,0.306,1.846,-2.000,0.0065,-0.604,nan,0.43,1,1,1,0.0149,1.000,1,0.436,7,0.194,0,0,yolo,98.0,yolo,0,0,0,0.000,0,-1,0
1785617709.174,2.483,-6.775,2.401,0.9921,0,-0.483,4.775,-1.485,0.2918,9.668,0.230,-1.872,1.000,1.364,2.966,-0.0964,-0.0489,0.104,0.104,-0.249,0.351,1.743,-2.000,0.0065,-0.707,nan,0.12,1,1,1,0.0042,1.000,1,0.429,7,0.221,0,0,yolo,98.0,yolo,0,0,0,0.000,0,-1,0
1785617709.205,2.506,-6.132,2.590,0.9933,0,-0.208,4.132,-1.256,0.2927,9.668,0.230,-1.872,1.000,1.364,2.714,-0.0782,-0.0978,0.122,0.122,-0.297,0.396,1.633,-2.000,0.0066,-0.817,nan,-0.11,1,1,1,-0.0037,1.000,1,0.429,7,0.221,0,0,yolo,98.0,yolo,0,0,0,0.000,0,-1,0
1785617709.235,2.508,-6.116,2.594,0.9934,0,-0.200,4.116,-1.860,0.2928,9.668,0.230,-1.872,1.000,1.364,2.708,-0.0778,-0.0991,0.123,0.123,-0.299,0.397,1.630,-2.000,0.0067,-0.820,nan,0.50,1,1,1,0.0173,1.000,1,0.368,6,0.256,0,0,yolo,98.0,yolo,0,0,0,0.000,0,-1,0
1785617709.267,2.550,-5.655,2.718,0.9941,0,1.300,3.655,-2.112,0.2761,9.532,0.193,-1.467,1.000,1.162,-0.290,0.3346,-2.0000,0.139,0.169,-0.339,0.434,1.939,-2.000,0.0067,-0.511,nan,0.95,1,1,1,0.0331,1.000,1,0.368,6,0.256,0,0,yolo,99.9,yolo,0,0,0,0.000,0,-1,0
1785617709.298,2.421,-5.224,2.917,0.9950,0,0.852,3.224,-1.921,0.2885,9.532,0.193,-1.467,1.000,1.162,1.569,-0.0133,-0.0285,0.156,0.156,-0.368,0.472,1.866,-2.000,0.0068,-0.584,nan,0.76,1,1,1,0.0265,1.000,1,0.367,6,0.277,0,0,yolo,99.9,yolo,0,0,0,0.000,0,-1,0
1785617709.329,2.354,-4.848,3.129,0.9956,0,1.000,2.848,-1.860,0.2887,9.532,0.193,-1.467,1.000,1.162,1.354,0.0020,-0.0645,0.171,0.171,-0.404,0.506,1.803,-2.000,0.0069,-0.647,nan,0.70,1,1,1,0.0244,1.000,1,0.363,6,0.290,0,0,yolo,99.9,yolo,0,0,0,0.000,0,-1,0
1785617709.360,2.289,-4.502,3.319,0.9961,0,2.500,2.502,-1.826,0.2720,9.596,0.164,-1.002,1.000,0.981,-0.451,0.2274,-2.0000,0.185,0.197,-0.444,0.537,2.200,-2.000,0.0069,-0.238,nan,0.85,1,1,1,0.0295,1.000,1,0.362,6,0.194,0,0,yolo,94.3,yolo,0,0,0,0.000,0,-1,0
1785617709.392,2.288,-4.498,3.321,0.9961,0,1.437,2.498,-1.937,0.2791,9.596,0.164,-1.002,1.000,0.981,0.851,-0.0118,-0.0005,0.186,0.186,-0.445,0.537,2.200,-2.000,0.0069,-0.239,nan,0.96,1,1,1,0.0334,1.000,1,0.362,6,0.194,0,0,yolo,94.3,yolo,0,0,0,0.000,0,-1,0
1785617709.422,2.159,-4.225,3.488,0.9966,0,1.498,2.225,-2.760,0.2791,9.596,0.164,-1.002,1.000,0.981,0.661,0.0017,-0.0307,0.199,0.199,-0.475,0.565,2.165,-2.000,0.0069,-0.285,nan,1.78,1,1,1,0.0621,1.000,1,0.304,5,0.482,0,0,yolo,94.3,yolo,0,0,0,0.000,0,-1,0
1785617709.453,2.023,-3.989,3.712,0.9970,0,2.998,1.989,-1.953,0.2957,9.898,-0.076,-1.239,1.000,-0.443,-14.000,3.6900,2.0000,0.211,0.552,-0.507,0.592,1.900,-2.000,0.0070,-0.550,nan,2.40,1,1,1,0.0836,1.000,1,0.304,5,0.482,0,0,yolo,99.3,yolo,0,0,0,0.000,0,-1,0
1785617709.484,1.716,-3.763,3.928,0.9974,0,3.115,1.763,-2.446,0.2878,9.898,-0.076,-1.239,1.000,-0.443,-1.399,-0.3288,-0.0370,0.223,0.223,-0.544,0.618,1.861,-2.000,0.0071,-0.589,nan,2.89,1,1,1,0.1008,1.000,1,0.299,5,0.503,0,0,yolo,99.3,yolo,0,0,0,0.000,0,-1,0
1785617709.514,1.716,-3.763,3.928,0.9974,0,3.115,1.763,-2.816,0.2879,9.898,-0.076,-1.239,1.000,-0.443,-1.399,-0.3288,-0.0370,0.223,0.223,-0.544,0.618,1.861,-2.000,0.0071,-0.589,nan,3.26,1,1,1,0.1138,1.000,1,0.299,5,0.503,0,0,yolo,99.3,yolo,0,0,0,0.000,0,-1,0
1785617709.552,1.401,-3.556,4.155,0.9978,0,4.615,1.556,-3.114,0.3045,10.128,-0.263,-1.303,1.000,-1.487,-14.000,1.3847,0.6694,0.233,0.483,-0.584,0.644,1.772,-2.000,0.0072,-0.678,nan,4.60,1,1,1,0.1606,1.000,1,0.289,5,0.699,0,0,yolo,101.6,yolo,0,0,0,0.000,0,-1,0
1785617709.592,0.948,-3.387,4.434,0.9981,0,5.485,1.387,-4.121,0.2911,10.128,-0.263,-1.303,1.000,-1.487,-4.537,-0.2429,-0.0411,0.240,0.240,-0.625,0.666,1.744,-2.000,0.0073,-0.706,nan,5.61,1,1,1,0.1958,1.000,1,0.289,5,0.699,0,0,yolo,101.6,yolo,0,0,0,0.000,0,-1,0
1785617709.624,0.400,-3.232,4.797,0.9984,0,4.980,1.232,-4.756,0.2896,10.128,-0.263,-1.303,1.000,-1.487,-4.579,-0.2397,-0.0918,0.243,0.243,-0.676,0.689,1.719,-2.000,0.0073,-0.731,nan,6.24,1,1,1,0.2179,1.000,1,0.290,5,0.713,0,0,yolo,101.6,yolo,0,0,0,0.000,0,-1,0
1785617709.655,-0.038,-3.107,5.176,0.9985,0,6.480,1.107,-4.250,0.3063,10.255,-0.442,-1.557,1.000,-2.469,-14.000,2.6351,2.0000,0.242,0.480,-0.726,0.708,1.452,-2.000,0.0074,-0.998,nan,6.72,1,1,1,0.2345,1.000,1,0.290,5,0.713,0,0,yolo,97.3,yolo,0,0,0,0.000,0,-1,0
1785617709.691,-0.700,-2.978,5.571,0.9986,0,6.254,0.978,-4.878,0.2996,10.255,-0.442,-1.557,1.000,-2.469,-6.954,-0.2420,-0.0613,0.238,0.238,-0.787,0.729,1.434,-2.000,0.0074,-1.016,nan,7.35,1,1,1,0.2564,1.000,1,0.290,5,0.713,0,0,yolo,97.3,yolo,0,0,0,0.000,0,-1,0
1785617709.717,-1.369,-2.849,5.982,0.9985,0,5.473,0.849,-4.878,0.2970,10.255,-0.442,-1.557,1.000,-2.469,-6.842,-0.2504,-0.1315,0.230,0.230,-0.858,0.750,1.416,-2.000,0.0074,-1.034,nan,7.35,1,1,1,0.2564,1.000,1,0.290,5,0.713,0,0,yolo,97.3,yolo,0,0,0,0.000,0,-1,0
1785617709.752,-1.377,-2.847,5.987,0.9985,0,6.973,0.847,-4.558,0.3137,10.293,-0.586,-1.764,1.000,-3.259,-14.000,1.0655,1.5154,0.230,0.253,-0.858,0.750,1.214,-2.000,0.0074,-1.236,nan,7.82,1,1,1,0.2729,1.000,1,0.290,5,0.713,3,0,yolo,94.7,yolo,0,0,0,0.000,0,-1,0
1785617709.779,-1.893,-2.743,6.405,0.9983,0,7.884,0.743,-3.058,0.3065,10.293,-0.586,-1.764,1.000,-3.259,-9.777,-0.0354,-0.0644,0.217,0.217,-0.923,0.769,1.201,-2.000,0.0074,-1.249,nan,6.30,1,1,1,0.2198,1.000,1,0.287,5,0.712,0,0,yolo,94.7,yolo,0,0,0,0.000,0,-1,0
1785617709.814,-2.667,-2.653,6.698,0.9978,0,6.954,0.653,-1.895,0.3037,10.293,-0.586,-1.764,1.000,-3.259,-9.621,-0.0471,-0.1362,0.205,0.205,-0.995,0.785,1.200,-2.000,0.0074,-1.257,nan,5.15,1,1,1,0.1799,1.000,1,0.287,5,0.712,2,0,yolo,94.7,yolo,0,0,0,0.000,0,-1,0
1785617709.856,-3.291,-2.577,6.829,0.9973,0,8.454,0.577,-0.526,0.2870,10.036,-0.634,-1.464,1.000,-3.615,-14.000,0.9348,-2.0000,0.191,0.201,-1.065,0.801,1.477,-2.000,0.0075,-0.973,nan,4.14,1,1,1,0.1446,1.000,1,0.286,5,0.695,0,0,yolo,98.9,yolo,0,0,0,0.000,0,-1,0
