t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785653750.826,0.000,-17.800,0.000,0.9521,0,-0.230,15.800,1.374,0.2740,5.824,0.009,-1.551,0.971,0.093,0.230,-0.0000,-0.0000,-0.000,-0.000,0.000,-0.000,2.146,-2.000,0.0060,0.304,nan,-0.58,1,1,1,1,1,-0.0203,1.000,1,0.522,8,0.113,3,0,yolo,127.0,yolo,0,0,0,0.000,0,-1,0
1785653750.853,-0.005,-17.641,-0.002,0.9530,0,-0.252,15.641,0.768,0.2738,5.824,0.009,-1.551,0.971,0.093,0.248,-0.0009,-0.0086,-0.001,-0.001,-0.009,0.018,2.163,-2.000,0.0059,0.287,nan,0.02,1,1,1,0,1,0.0008,0.944,1,0.584,8,0.021,0,0,yolo,127.0,yolo,0,0,0,0.000,0,-1,0
1785653750.884,-0.005,-17.641,-0.002,0.9530,0,-1.752,15.641,-0.732,0.2604,8.362,0.237,-1.912,1.000,1.624,4.078,-0.0009,-0.0086,-0.001,-0.001,-0.009,0.018,1.738,-2.000,0.0059,0.712,nan,0.48,1,1,1,0,1,0.0167,0.944,1,0.584,8,0.021,0,0,yolo,133.3,yolo,0,0,0,0.000,0,-1,0
1785653750.924,-0.001,-15.556,-0.003,0.9634,0,-3.252,14.141,-2.232,0.2664,8.362,0.237,-1.912,1.000,1.624,4.078,-0.0009,-0.0250,-0.001,-0.001,-0.025,0.042,2.049,-2.000,0.0058,0.401,nan,0.91,1,1,1,0,1,0.0318,0.944,1,0.583,8,-0.019,0,0,yolo,133.3,yolo,0,0,0,0.000,0,-1,0
1785653750.963,0.091,-13.214,0.010,0.9735,0,-3.945,12.641,-2.858,0.2739,8.362,0.237,-1.912,1.000,1.624,4.036,0.0018,-0.0359,0.002,0.002,-0.036,0.072,2.200,-2.000,0.0058,0.050,nan,1.23,1,1,1,0,1,0.0431,0.944,1,0.583,8,-0.019,0,0,yolo,133.3,yolo,0,0,0,0.000,0,-1,0
1785653751.004,0.436,-11.812,0.343,0.9788,0,-3.528,11.141,-3.512,0.2785,8.362,0.237,-1.912,1.000,1.624,3.965,0.0065,-0.0438,0.006,0.006,-0.044,0.125,2.200,-2.000,0.0058,-0.158,nan,1.89,1,1,1,0,1,0.0659,0.944,1,0.583,8,-0.015,0,0,yolo,133.3,yolo,0,0,0,0.000,0,-1,0
1785653751.041,0.742,-10.463,0.721,0.9833,0,-2.028,9.641,-2.885,0.2952,8.119,0.208,-1.904,1.000,1.471,2.682,0.1306,1.4232,0.014,0.032,-0.054,0.190,2.055,-2.000,0.0059,-0.395,nan,1.41,1,1,1,1,1,0.0494,1.000,1,0.519,8,0.045,0,0,yolo,128.8,yolo,0,0,0,0.000,0,-1,0
1785653751.083,0.742,-10.463,0.721,0.9833,0,-2.882,8.463,-2.090,0.2866,8.119,0.208,-1.904,1.000,1.471,3.624,-0.0186,0.0000,0.014,0.014,-0.054,0.190,2.055,-2.000,0.0059,-0.395,nan,0.62,1,1,1,0,1,0.0216,1.000,1,0.527,8,0.071,0,0,yolo,128.8,yolo,0,0,0,0.000,0,-1,0
1785653751.119,0.913,-9.198,1.050,0.9870,0,-2.562,7.198,-1.495,0.2903,8.119,0.208,-1.904,1.000,1.471,3.474,-0.0090,-0.0171,0.023,0.023,-0.071,0.258,1.872,-2.000,0.0060,-0.578,nan,0.02,1,1,1,0,1,0.0008,1.000,1,0.527,8,0.071,0,0,yolo,128.8,yolo,0,0,0,0.000,0,-1,0
1785653751.161,1.215,-8.185,1.267,0.9896,0,-1.062,6.185,-1.127,0.3070,7.411,0.158,-1.782,1.000,1.219,1.716,0.2441,0.9494,0.033,0.010,-0.100,0.315,1.745,-2.000,0.0060,-0.705,nan,-0.09,1,1,1,1,1,-0.0032,1.000,1,0.446,7,0.139,0,0,yolo,129.4,yolo,0,0,0,0.000,0,-1,0
1785653751.198,1.468,-7.335,1.425,0.9915,0,-0.894,5.335,-1.041,0.2952,7.411,0.158,-1.782,1.000,1.219,2.362,0.0346,-0.0421,0.044,0.044,-0.142,0.365,1.634,-2.000,0.0061,-0.816,nan,-0.18,1,1,1,0,1,-0.0062,1.000,1,0.446,7,0.139,0,0,yolo,129.4,yolo,0,0,0,0.000,0,-1,0
1785653751.237,1.542,-6.647,1.546,0.9929,0,-0.597,4.647,-1.019,0.2950,7.411,0.158,-1.782,1.000,1.219,2.139,0.0481,-0.1013,0.058,0.058,-0.201,0.414,1.543,-2.000,0.0062,-0.907,nan,-0.20,1,1,1,0,1,-0.0070,0.929,1,0.429,6,0.214,0,0,yolo,129.4,yolo,0,0,0,0.000,0,-1,0
1785653751.275,1.604,-6.090,1.653,0.9940,0,0.903,4.090,-0.487,0.2783,6.894,0.083,-1.443,1.000,0.687,-2.792,0.6399,-2.0000,0.070,0.105,-0.264,0.456,1.750,-2.000,0.0063,-0.700,nan,-0.20,1,1,1,1,1,-0.0070,0.929,1,0.429,6,0.214,0,0,yolo,124.3,yolo,0,0,0,0.000,0,-1,0
1785653751.311,1.604,-6.090,1.653,0.9940,0,0.579,4.090,-0.471,0.2931,6.894,0.083,-1.443,1.000,0.687,1.025,-0.0353,0.0000,0.070,0.070,-0.264,0.456,1.750,-2.000,0.0064,-0.700,nan,-0.22,1,1,1,0,1,-0.0076,0.929,1,0.429,6,0.214,1,0,yolo,124.3,yolo,0,0,0,0.000,0,-1,0
1785653751.361,1.448,-5.079,1.770,0.9958,0,0.844,3.079,-0.635,0.2916,6.894,0.083,-1.443,1.000,0.687,0.604,-0.0112,-0.1075,0.094,0.094,-0.371,0.534,1.626,-2.000,0.0064,-0.824,nan,-0.05,1,1,1,0,1,-0.0018,1.000,1,0.367,6,0.263,0,0,yolo,124.3,yolo,0,0,0,0.000,0,-1,0
