t,roll,pitch,yaw,up,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785568409.778,0.000,-17.800,0.000,0.9521,-4.667,15.800,-3.522,0.2551,9.152,0.298,-1.991,1.000,1.867,4.667,-0.0000,-0.0000,-0.000,-0.000,-0.000,-0.000,1.548,-2.000,0.0059,0.902,nan,1.66,1,1,1,0.0578,1.000,1,0.531,8,0.030,0,0,yolo,102.8,yolo,0,0,0,0.000,0,-1,0
1785568409.819,0.016,-17.776,0.001,0.9523,-4.639,15.776,-3.345,0.2557,9.152,0.298,-1.991,1.000,1.867,4.654,0.0009,0.0138,0.001,0.001,0.014,-0.001,1.552,-2.000,0.0058,0.898,nan,1.48,1,1,1,0.0516,1.000,1,0.526,8,0.009,0,0,yolo,102.8,yolo,0,0,0,0.000,0,-1,0
1785568409.845,0.019,-16.561,0.003,0.9585,-4.623,14.561,-3.345,0.2600,9.152,0.298,-1.991,1.000,1.867,4.642,0.0017,0.0102,0.002,0.002,0.010,0.006,1.749,-2.000,0.0057,0.701,nan,1.48,1,1,1,0.0516,1.000,1,0.526,8,0.009,0,0,yolo,102.8,yolo,0,0,0,0.000,0,-1,0
1785568409.882,0.145,-14.996,0.028,0.9659,-5.295,13.061,-3.346,0.2766,8.583,0.295,-1.958,1.000,1.970,5.440,-0.1161,2.0000,0.006,0.007,0.001,0.014,2.120,-2.000,0.0057,0.330,nan,1.38,1,1,1,0.0480,1.000,1,0.526,8,0.009,1,0,yolo,114.7,yolo,0,0,0,0.000,0,-1,0
1785568409.908,0.150,-14.974,0.031,0.9660,-4.724,12.974,-3.257,0.2690,8.583,0.295,-1.958,1.000,1.970,4.874,-0.0009,-0.0001,0.006,0.006,0.001,0.014,2.124,-2.000,0.0057,0.326,nan,1.29,1,1,1,0.0449,1.000,1,0.524,8,0.003,0,0,yolo,114.7,yolo,0,0,0,0.000,0,-1,0
1785568409.942,0.623,-13.123,0.405,0.9738,-4.039,11.474,-3.190,0.2746,8.583,0.295,-1.958,1.000,1.970,4.662,0.0132,-0.0203,0.020,0.020,-0.019,0.050,2.200,-2.000,0.0057,0.045,nan,1.22,1,1,1,0.0426,1.000,1,0.524,8,0.003,2,0,yolo,114.7,yolo,0,0,0,0.000,0,-1,0
1785568409.969,1.000,-11.887,0.694,0.9784,-5.539,9.974,-3.247,0.2913,7.781,0.321,-1.872,1.000,2.360,10.205,-0.7948,2.0000,0.036,-0.030,-0.029,0.106,2.200,-2.000,0.0057,-0.224,nan,0.89,1,1,1,0.0310,1.000,1,0.533,8,0.006,0,0,yolo,112.0,yolo,0,0,0,0.000,0,-1,0
1785568410.004,1.611,-10.707,0.986,0.9822,-4.039,8.707,-2.997,0.2858,7.781,0.321,-1.872,1.000,2.360,4.871,0.0849,-0.0115,0.055,0.055,-0.040,0.169,2.066,-2.000,0.0057,-0.384,nan,0.64,1,1,1,0.0222,1.000,1,0.533,8,0.006,2,0,yolo,112.0,yolo,0,0,0,0.000,0,-1,0
1785568410.037,1.611,-10.707,0.986,0.9822,-3.260,8.707,-2.738,0.2859,7.781,0.321,-1.872,1.000,2.360,4.871,0.0849,-0.0115,0.055,0.055,-0.040,0.169,2.066,-2.000,0.0058,-0.384,nan,0.38,1,1,1,0.0132,1.000,1,0.448,7,0.113,1,0,yolo,112.0,yolo,0,0,0,0.000,0,-1,0
1785568410.067,1.999,-9.732,1.300,0.9850,-2.582,7.732,-2.544,0.2884,7.781,0.321,-1.872,1.000,2.360,4.581,0.1030,-0.0292,0.073,0.073,-0.058,0.228,1.932,-2.000,0.0058,-0.518,nan,0.18,1,1,1,0.0064,1.000,1,0.448,7,0.113,1,0,yolo,112.0,yolo,0,0,0,0.000,0,-1,0
1785568410.107,2.331,-8.808,1.605,0.9874,-1.082,6.808,-1.921,0.3050,8.602,0.225,-2.512,1.000,1.495,-1.128,0.9735,2.0000,0.089,-0.000,-0.084,0.284,1.296,-2.000,0.0058,-1.154,nan,0.43,1,1,1,0.0149,1.000,1,0.442,7,0.149,0,0,yolo,108.9,yolo,0,0,0,0.000,0,-1,0
1785568410.141,2.450,-8.070,1.799,0.9892,0.296,6.070,-1.740,0.3090,8.602,0.225,-2.512,1.000,1.495,2.154,0.1058,-0.0480,0.106,0.106,-0.132,0.335,1.200,-2.000,0.0058,-1.268,nan,0.24,1,1,1,0.0085,1.000,1,0.436,7,0.209,0,0,yolo,108.9,yolo,0,0,0,0.000,0,-1,0
1785568410.174,2.446,-7.462,1.951,0.9906,1.796,5.462,-1.054,0.2924,7.673,0.145,-1.958,1.000,1.082,-3.006,0.8301,-2.0000,0.121,0.139,-0.185,0.380,1.513,-2.000,0.0059,-0.937,nan,-0.03,1,1,1,-0.0010,1.000,1,0.436,7,0.209,0,0,yolo,95.8,yolo,0,0,0,0.000,0,-1,0
1785568410.204,2.282,-6.829,2.082,0.9921,1.104,4.829,-1.305,0.3001,7.673,0.145,-1.958,1.000,1.082,1.178,-0.0021,-0.0658,0.137,0.137,-0.251,0.428,1.425,-2.000,0.0059,-1.025,nan,0.22,1,1,1,0.0078,1.000,1,0.431,7,0.235,0,0,yolo,95.8,yolo,0,0,0,0.000,0,-1,0
1785568410.234,2.282,-6.829,2.082,0.9921,1.104,4.829,-1.493,0.3001,7.673,0.145,-1.958,1.000,1.082,1.178,-0.0021,-0.0658,0.137,0.137,-0.251,0.428,1.425,-2.000,0.0059,-1.025,nan,0.41,1,1,1,0.0144,1.000,1,0.431,7,0.235,0,0,yolo,95.8,yolo,0,0,0,0.000,0,-1,0
1785568410.266,2.213,-6.289,2.201,0.9932,1.280,4.289,-2.013,0.2988,7.673,0.145,-1.958,1.000,1.082,0.933,0.0130,-0.1352,0.152,0.152,-0.320,0.470,1.351,-2.000,0.0059,-1.099,nan,0.93,1,1,1,0.0325,1.000,1,0.371,6,0.266,0,0,yolo,95.8,yolo,0,0,0,0.000,0,-1,0
1785568410.297,2.137,-5.816,2.334,0.9942,2.780,3.816,-1.810,0.2822,7.154,0.061,-1.511,1.000,0.489,-3.643,0.5553,-2.0000,0.165,0.174,-0.387,0.505,1.675,-2.000,0.0060,-0.775,nan,1.32,1,1,1,0.0461,1.000,1,0.371,6,0.266,0,0,yolo,99.1,yolo,0,0,0,0.000,0,-1,0
