t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785653095.604,0.000,-17.800,0.000,0.9521,0,-0.897,15.800,-0.845,0.3035,9.938,0.062,-3.853,1.000,0.358,0.897,-0.0000,-0.0000,-0.000,-0.000,-0.000,-0.000,1.819,-2.000,0.0061,-0.631,nan,0.49,1,1,1,1,1,0.0170,1.000,1,0.530,8,0.037,0,0,yolo,180.6,yolo,0,0,0,0.000,0,-1,0
1785653095.640,0.000,-17.786,-0.000,0.9522,0,-1.510,15.786,-1.012,0.2913,9.984,0.065,-3.857,1.000,0.376,1.510,-0.0903,-0.2536,-0.000,-0.014,-0.000,0.000,1.827,-2.000,0.0061,-0.623,nan,0.64,1,1,1,1,1,0.0222,1.000,1,0.531,8,0.048,0,0,yolo,148.2,yolo,0,0,0,0.000,0,-1,0
1785653095.674,0.000,-17.786,-0.000,0.9522,0,-0.873,15.786,-1.012,0.3034,9.984,0.065,-3.857,1.000,0.376,0.873,0.0137,0.0000,-0.000,-0.000,-0.000,0.000,1.827,-2.000,0.0062,-0.623,nan,0.64,1,1,1,0,1,0.0222,1.000,1,0.531,8,0.048,2,0,yolo,148.2,yolo,0,0,0,0.000,0,-1,0
1785653095.698,0.338,-14.625,0.140,0.9676,0,-0.489,14.286,-0.461,0.3155,9.984,0.065,-3.857,1.000,0.376,0.827,0.0170,-0.0264,0.003,0.003,-0.027,0.024,1.239,-2.000,0.0062,-1.211,nan,0.09,1,1,1,0,1,0.0030,1.000,1,0.528,8,0.013,0,0,yolo,148.2,yolo,0,0,0,0.000,0,-1,0
1785653095.729,0.338,-14.625,0.140,0.9676,0,-0.489,12.786,-0.048,0.3155,9.984,0.065,-3.857,1.000,0.376,0.827,0.0170,-0.0264,0.003,0.003,-0.027,0.024,1.239,-2.000,0.0062,-1.211,nan,-0.33,1,1,1,0,1,-0.0114,1.000,1,0.528,8,0.013,0,0,yolo,148.2,yolo,0,0,0,0.000,0,-1,0
1785653095.765,0.362,-12.581,0.232,0.9760,0,-0.665,11.286,-0.052,0.3322,9.991,0.066,-3.857,1.000,0.380,1.027,-0.0057,2.0000,0.007,-0.006,-0.073,0.049,1.200,-2.000,0.0062,-1.588,nan,-0.33,1,1,1,1,1,-0.0114,1.000,1,0.528,8,0.013,2,0,yolo,128.4,yolo,0,0,0,0.000,0,-1,0
1785653095.793,0.483,-10.834,0.223,0.9821,0,-0.273,9.786,-0.933,0.3292,9.991,0.066,-3.857,1.000,0.380,0.756,0.0178,-0.0930,0.012,0.012,-0.166,0.091,1.200,-2.000,0.0062,-1.910,nan,0.55,1,1,1,0,1,0.0193,1.000,1,0.370,6,0.053,0,0,yolo,128.4,yolo,0,0,0,0.000,0,-1,0
1785653095.823,0.483,-10.834,0.223,0.9821,0,-0.273,8.834,-0.082,0.3292,9.991,0.066,-3.857,1.000,0.380,0.756,0.0178,-0.0930,0.012,0.012,-0.166,0.091,1.200,-2.000,0.0062,-1.910,nan,-0.30,1,1,1,0,1,-0.0104,1.000,1,0.525,7,0.047,0,0,yolo,128.4,yolo,0,0,0,0.000,0,-1,0
1785653095.861,0.523,-9.527,0.252,0.9862,0,-0.157,7.527,-0.040,0.3246,9.991,0.066,-3.857,1.000,0.380,0.680,0.0234,-0.2250,0.018,0.018,-0.299,0.151,1.200,-2.000,0.0062,-2.149,nan,-0.34,1,1,1,0,1,-0.0119,1.000,1,0.507,8,0.154,0,0,yolo,128.4,yolo,0,0,0,0.000,0,-1,0
1785653095.896,0.523,-9.527,0.252,0.9862,0,-0.157,7.527,-0.157,0.3246,9.991,0.066,-3.857,1.000,0.380,0.680,0.0234,-0.2250,0.018,0.018,-0.299,0.151,1.200,-2.000,0.0062,-2.149,nan,-0.22,1,1,1,0,1,-0.0078,1.000,1,0.448,7,0.154,0,0,yolo,128.4,yolo,0,0,0,0.000,0,-1,0
1785653095.934,0.550,-8.493,0.267,0.9890,0,-0.057,6.493,-0.402,0.3171,9.991,0.066,-3.857,1.000,0.380,0.607,0.0288,-0.3689,0.023,0.023,-0.442,0.216,1.200,-2.000,0.0062,-2.338,nan,0.02,1,1,1,0,1,0.0008,1.000,1,0.451,7,0.142,0,0,yolo,128.4,yolo,0,0,0,0.000,0,-1,0
1785653095.962,0.558,-7.477,0.334,0.9915,0,0.033,5.477,-0.402,0.3079,9.991,0.066,-3.857,1.000,0.380,0.525,0.0348,-0.5547,0.029,0.029,-0.628,0.285,1.200,-2.000,0.0062,-2.523,nan,0.02,1,1,1,0,1,0.0008,1.000,1,0.451,7,0.142,0,0,yolo,128.4,yolo,0,0,0,0.000,0,-1,0
1785653096.001,0.558,-7.477,0.334,0.9915,0,0.033,5.477,-0.587,0.3079,9.991,0.066,-3.857,1.000,0.380,0.525,0.0348,-0.5547,0.029,0.029,-0.628,0.285,1.200,-2.000,0.0062,-2.523,nan,0.21,1,1,1,0,1,0.0072,1.000,1,0.451,7,0.142,2,0,yolo,128.4,yolo,0,0,0,0.000,0,-1,0
