t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785734458.669,0.000,-17.800,0.000,0.9521,0,-0.991,15.800,-1.049,0.3025,9.983,0.069,-3.835,1.000,0.396,0.991,-0.0000,-0.0000,-0.000,-0.000,-0.000,0.000,1.850,-2.000,0.0061,-0.600,nan,0.65,1,1,1,1,1,0.0228,1.000,1,0.521,8,0.098,0,0,yolo,166.1,yolo,0,0,0,0.000,0,-1,0
1785734458.709,0.000,-17.704,0.002,0.9526,0,-0.994,15.704,-1.049,0.3029,9.983,0.069,-3.835,1.000,0.396,0.994,-0.0003,-0.0020,-0.000,-0.000,-0.002,0.019,1.832,-2.000,0.0061,-0.618,nan,0.65,1,1,1,0,1,0.0228,1.000,1,0.521,8,0.098,0,0,yolo,166.1,yolo,0,0,0,0.000,0,-1,0
1785734458.739,0.000,-15.752,0.003,0.9624,0,-0.992,14.204,-0.904,0.3104,9.983,0.069,-3.835,1.000,0.396,0.993,-0.0001,-0.0199,-0.000,-0.000,-0.020,0.047,1.469,-2.000,0.0062,-0.981,nan,0.51,1,1,1,0,1,0.0177,1.000,1,0.521,8,0.098,0,0,yolo,166.1,yolo,0,0,0,0.000,0,-1,0
1785734458.783,0.000,-15.752,0.003,0.9624,0,-0.992,13.752,-1.035,0.3105,9.983,0.069,-3.835,1.000,0.396,0.993,-0.0001,-0.0199,-0.000,-0.000,-0.020,0.047,1.469,-2.000,0.0063,-0.981,nan,0.64,1,1,1,0,1,0.0223,1.000,1,0.520,8,0.131,0,0,yolo,166.1,yolo,0,0,0,0.000,0,-1,0
1785734458.825,0.208,-12.899,0.242,0.9748,0,-0.754,12.252,-1.035,0.3200,9.983,0.069,-3.835,1.000,0.396,0.962,0.0021,-0.0821,0.002,0.002,-0.082,0.115,1.200,-2.000,0.0063,-1.510,nan,0.64,1,1,1,0,1,0.0223,1.000,1,0.520,8,0.131,1,0,yolo,166.1,yolo,0,0,0,0.000,0,-1,0
1785734458.864,0.267,-11.676,0.323,0.9793,0,0.667,10.752,-0.983,0.3367,9.988,0.039,-4.160,1.000,0.223,-0.400,0.1510,2.0000,0.004,0.023,-0.141,0.166,1.200,-2.000,0.0063,-2.052,nan,0.76,1,1,1,1,1,0.0265,1.000,1,0.518,8,-0.005,0,0,yolo,180.4,yolo,0,0,0,0.000,0,-1,0
1785734458.895,0.185,-10.581,0.407,0.9830,0,-0.414,9.252,-0.983,0.3320,9.988,0.039,-4.160,1.000,0.223,0.599,-0.0179,-0.0890,0.006,0.006,-0.230,0.227,1.200,-2.000,0.0063,-2.255,nan,0.76,1,1,1,0,1,0.0265,1.000,1,0.518,8,-0.005,0,0,yolo,180.4,yolo,0,0,0,0.000,0,-1,0
1785734458.925,0.185,-10.581,0.407,0.9830,0,-0.414,8.581,-1.073,0.3320,9.988,0.039,-4.160,1.000,0.223,0.599,-0.0179,-0.0890,0.006,0.006,-0.230,0.227,1.200,-2.000,0.0063,-2.255,nan,0.85,1,1,1,0,1,0.0297,1.000,1,0.518,8,-0.005,0,0,yolo,180.4,yolo,0,0,0,0.000,0,-1,0
1785734458.967,0.240,-9.525,0.508,0.9862,0,-0.339,7.525,0.427,0.3253,9.988,0.039,-4.160,1.000,0.223,0.579,-0.0165,-0.2111,0.007,0.007,-0.352,0.295,1.200,-2.000,0.0063,-2.450,nan,-2.02,1,1,1,0,1,-0.0704,0.917,1,0.363,5,0.201,0,0,yolo,180.4,yolo,0,0,0,0.000,0,-1,0
1785734459.018,0.271,-8.538,0.614,0.9889,0,-0.355,6.538,1.769,0.3420,10.012,0.043,-4.352,1.000,0.248,0.626,-0.0267,2.0000,0.008,0.015,-0.495,0.358,1.200,-2.000,0.0063,-2.817,nan,-2.02,1,1,1,1,1,-0.0704,0.917,1,0.363,5,0.201,1,0,yolo,161.9,yolo,0,0,0,0.000,0,-1,0
1785734459.050,0.366,-7.103,0.464,0.9923,0,-0.145,5.540,3.269,0.3253,10.012,0.043,-4.352,1.000,0.248,0.511,-0.0014,-0.2842,0.014,0.014,-0.780,0.459,1.200,-1.563,0.0063,-3.080,nan,-4.17,1,1,1,0,1,-0.1455,0.917,1,0.363,5,0.201,0,0,yolo,161.9,yolo,0,0,0,0.000,0,-1,0
1785734459.091,0.366,-7.103,0.464,0.9923,0,-0.145,5.103,3.920,0.3200,10.012,0.043,-4.352,1.000,0.248,0.511,-0.0014,-0.2842,0.014,0.014,-0.780,0.459,1.200,-2.000,0.0063,-3.080,nan,-4.17,1,1,1,0,1,-0.1455,0.917,1,0.363,5,0.201,3,0,yolo,161.9,yolo,0,0,0,0.000,0,-1,0
1785734459.127,0.471,-6.003,-0.171,0.9945,0,0.112,4.465,2.420,0.3066,10.012,0.043,-4.352,1.000,0.248,0.359,0.0098,-0.5638,0.025,0.025,-1.059,0.549,1.200,-1.538,0.0063,-3.281,nan,-2.65,1,1,1,0,1,-0.0924,1.000,1,0.373,6,0.264,0,0,yolo,161.9,yolo,0,0,0,0.000,0,-1,0
1785734459.171,0.471,-6.003,-0.171,0.9945,0,0.112,4.003,2.399,0.3066,10.012,0.043,-4.352,1.000,0.248,0.359,0.0098,-0.5638,0.025,0.025,-1.059,0.549,1.200,-2.000,0.0063,-3.281,nan,-2.65,1,1,1,0,1,-0.0924,1.000,1,0.373,6,0.264,3,0,yolo,161.9,yolo,0,0,0,0.000,0,-1,0
