t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785624399.263,0.000,-17.800,0.000,0.9521,0,-1.033,15.800,-2.745,0.3027,10.068,0.073,-3.868,1.000,0.414,1.033,-0.0000,-0.0000,0.000,0.000,0.000,-0.000,1.845,-2.000,0.0061,-0.605,nan,2.33,1,1,1,0.0813,1.000,1,0.368,6,0.131,0,0,yolo,128.4,yolo,0,0,0,0.000,0,-1,0
1785624399.295,0.000,-17.800,0.000,0.9521,0,-1.033,15.800,-3.015,0.3028,10.068,0.073,-3.868,1.000,0.414,1.033,0.0000,0.0000,0.000,0.000,0.000,-0.000,1.845,-2.000,0.0061,-0.605,nan,2.60,1,1,1,0.0908,1.000,1,0.368,6,0.131,0,0,yolo,128.4,yolo,0,0,0,0.000,0,-1,0
1785624399.326,0.002,-16.731,0.006,0.9577,0,-1.028,14.731,-3.222,0.3053,10.068,0.073,-3.868,1.000,0.414,1.030,0.0002,-0.0446,0.001,0.001,-0.045,0.022,1.644,-2.000,0.0062,-0.806,nan,2.81,1,1,1,0.0980,1.000,1,0.521,8,0.113,0,0,yolo,128.4,yolo,0,0,0,0.000,0,-1,0
1785624399.357,0.002,-16.731,0.006,0.9577,0,-1.028,14.731,-3.222,0.3054,10.068,0.073,-3.868,1.000,0.414,1.030,0.0002,-0.0446,0.001,0.001,-0.045,0.022,1.644,-2.000,0.0063,-0.806,nan,2.81,1,1,1,0.0980,1.000,1,0.521,8,0.113,0,0,yolo,128.4,yolo,0,0,0,0.000,0,-1,0
1785624399.394,0.132,-14.125,0.566,0.9698,0,-1.030,13.231,-3.393,0.3220,10.043,0.075,-3.855,1.000,0.429,1.161,-0.0157,2.0000,0.002,-0.001,-0.093,0.059,1.200,-2.000,0.0063,-1.288,nan,2.96,1,1,1,0.1034,1.000,1,0.521,8,0.113,3,0,yolo,126.9,yolo,0,0,0,0.000,0,-1,0
1785624399.433,0.148,-12.530,1.000,0.9762,0,-0.885,11.731,-2.926,0.3225,10.043,0.075,-3.855,1.000,0.429,1.032,0.0037,-0.0655,0.003,0.003,-0.158,0.099,1.200,-2.000,0.0063,-1.584,nan,2.50,1,1,1,0.0872,0.944,1,0.583,8,0.040,0,0,yolo,126.9,yolo,0,0,0,0.000,0,-1,0
1785624399.470,0.201,-11.130,1.254,0.9812,0,-0.813,10.231,-2.577,0.3253,10.043,0.075,-3.855,1.000,0.429,1.015,0.0050,-0.1436,0.004,0.004,-0.236,0.138,1.200,-2.000,0.0063,-1.844,nan,2.15,1,1,1,0.0750,0.944,1,0.583,8,0.040,2,0,yolo,126.9,yolo,0,0,0,0.000,0,-1,0
1785624399.501,0.201,-11.130,1.254,0.9812,0,0.687,9.130,-2.646,0.3204,10.000,0.007,-3.823,1.000,0.042,-2.968,0.6754,-0.2332,0.004,-0.035,-0.236,0.138,1.200,-2.000,0.0063,-1.820,nan,2.60,1,1,1,0.0909,0.889,1,0.580,7,0.007,1,0,yolo,128.0,yolo,0,0,0,0.000,0,-1,0
1785624399.546,0.254,-9.889,1.513,0.9851,0,0.397,7.889,-2.135,0.3302,10.000,0.007,-3.823,1.000,0.042,-0.143,0.0406,-0.1108,0.005,0.005,-0.347,0.196,1.200,-2.000,0.0063,-2.049,nan,2.09,1,1,1,0.0731,1.000,1,0.512,8,0.090,2,0,yolo,128.0,yolo,0,0,0,0.000,0,-1,0
1785624399.571,0.129,-8.864,1.770,0.9881,0,0.288,6.864,-1.641,0.3230,10.000,0.007,-3.823,1.000,0.042,-0.159,0.0418,-0.2468,0.006,0.006,-0.483,0.259,1.200,-2.000,0.0063,-2.236,nan,1.60,1,1,1,0.0558,1.000,1,0.440,7,0.148,0,0,yolo,128.0,yolo,0,0,0,0.000,0,-1,0
1785624399.602,0.087,-7.887,1.958,0.9905,0,0.252,5.887,-1.270,0.3140,10.000,0.007,-3.823,1.000,0.042,-0.165,0.0422,-0.4280,0.007,0.007,-0.664,0.332,1.200,-2.000,0.0063,-2.414,nan,1.23,1,1,1,0.0429,1.000,1,0.440,7,0.148,0,0,yolo,128.0,yolo,0,0,0,0.000,0,-1,0
1785624399.634,0.087,-7.887,1.958,0.9905,0,0.206,5.887,-1.076,0.2973,10.041,0.001,-3.640,1.000,0.005,-0.119,0.0493,-1.4010,0.007,-0.013,-0.664,0.332,1.200,-2.000,0.0063,-2.228,nan,1.07,1,1,1,0.0374,1.000,1,0.431,7,0.171,0,0,yolo,117.9,yolo,0,0,0,0.000,0,-1,0
1785624399.666,0.056,-7.101,2.062,0.9923,0,0.207,5.101,-1.076,0.3140,10.041,0.001,-3.640,1.000,0.005,-0.152,0.0206,-0.1412,0.007,0.007,-0.806,0.395,1.200,-2.000,0.0063,-2.371,nan,1.07,1,1,1,0.0374,1.000,1,0.431,7,0.171,0,0,yolo,117.9,yolo,0,0,0,0.000,0,-1,0
1785624399.706,0.056,-7.101,2.062,0.9923,0,0.207,5.101,-0.838,0.3264,10.041,0.001,-3.640,1.000,0.005,-0.152,0.0206,-0.1412,0.007,0.007,-0.806,0.395,1.200,-2.000,0.0063,-2.371,nan,0.83,1,1,1,0.0291,1.000,1,0.384,6,0.203,0,0,yolo,117.9,yolo,0,0,0,0.000,0,-1,0
