t,roll,pitch,yaw,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,d_lat,d_vert,vY,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,src_switch,source,gate
1785547030.591,0.000,-17.800,0.000,-1.023,15.800,-1.576,0.3049,9.714,0.069,-3.829,1.000,-0.0000,-0.0000,0.000,0.000,0.000,1.774,-2.000,0.0061,-0.676,nan,1.17,1,0.0407,1.000,1,0.523,8,0.001,0,anduril,0
1785547030.621,0.004,-16.853,0.004,-0.599,14.853,-1.552,0.3216,9.790,0.066,-3.848,1.000,0.0616,2.0000,0.000,-0.084,0.054,1.606,-2.000,0.0062,-0.844,nan,1.17,1,0.0407,1.000,1,0.523,8,0.001,0,anduril,0
1785547030.667,0.004,-16.853,0.004,0.061,14.853,-1.475,0.3049,9.886,0.061,-3.872,1.000,0.1528,-0.1365,0.000,-0.084,0.054,1.610,-2.000,0.0062,-0.840,nan,1.12,1,0.0391,1.000,1,0.523,8,0.004,0,anduril,0
1785547030.694,0.152,-14.184,0.297,-0.825,13.353,-1.444,0.3154,9.886,0.061,-3.872,1.000,-0.0197,-0.0967,0.001,-0.181,0.129,1.200,-2.000,0.0062,-1.332,nan,1.09,1,0.0380,1.000,1,0.523,8,0.004,0,anduril,0
1785547030.725,0.214,-12.457,0.490,-0.742,11.853,-1.425,0.3181,9.886,0.061,-3.872,1.000,-0.0181,-0.2018,0.003,-0.286,0.200,1.200,-2.000,0.0062,-1.648,nan,1.07,1,0.0373,1.000,1,0.523,8,0.004,0,anduril,0
1785547030.758,0.214,-12.457,0.490,0.098,10.457,-1.390,0.3305,9.999,0.056,-3.902,1.000,0.0915,0.0641,0.003,-0.286,0.200,1.200,-2.000,0.0062,-1.653,nan,1.07,1,0.0373,1.000,1,0.523,8,0.004,0,anduril,0
1785547030.794,0.169,-10.932,0.643,-0.704,8.957,-1.376,0.3280,9.999,0.056,-3.902,1.000,-0.0221,-0.1377,0.004,-0.424,0.273,1.200,-2.000,0.0062,-1.934,nan,1.06,1,0.0368,1.000,1,0.523,8,0.004,0,anduril,0
1785547030.841,0.246,-9.736,0.805,-0.616,7.736,-1.072,0.3226,9.999,0.056,-3.902,1.000,-0.0212,-0.2740,0.005,-0.560,0.337,1.200,-2.000,0.0062,-2.154,nan,0.75,1,0.0262,1.000,1,0.519,8,0.014,0,anduril,0
1785547030.877,0.246,-9.736,0.805,0.884,7.736,-0.823,0.3059,10.129,0.039,-3.838,1.000,0.1732,-0.8467,0.005,-0.560,0.337,1.200,-2.000,0.0062,-2.069,nan,0.60,1,0.0210,1.000,1,0.511,8,0.085,0,anduril,0
1785547030.912,0.239,-8.375,0.986,1.620,6.375,-1.102,0.3226,10.245,0.013,-3.658,1.000,0.2689,0.5696,0.007,-0.774,0.433,1.200,-2.000,0.0062,-2.126,nan,1.03,1,0.0359,1.000,1,0.434,7,0.225,0,anduril,0
1785547030.940,0.239,-8.375,0.986,0.120,6.375,-1.102,0.3338,10.245,0.013,-3.658,1.000,-0.0186,0.0000,0.007,-0.774,0.433,1.200,-2.000,0.0062,-2.126,nan,1.03,1,0.0359,1.000,1,0.434,7,0.225,0,anduril,0
1785547030.984,0.224,-7.145,1.171,1.620,5.428,-1.276,0.3450,10.341,-0.014,-3.457,1.000,0.4003,0.2683,0.009,-0.994,0.529,1.200,-1.717,0.0062,-2.144,nan,1.35,1,0.0472,1.000,1,0.434,7,0.225,0,anduril,0
1785547031.011,0.224,-7.145,1.171,1.332,5.145,-0.731,0.3283,10.611,-0.077,-2.843,1.000,-0.0003,0.0000,0.009,-0.994,0.529,1.200,-2.000,0.0062,-1.501,nan,1.15,1,0.0400,1.000,1,0.430,7,0.242,0,anduril,0
1785547031.037,-0.003,-6.298,1.268,1.141,4.540,-0.731,0.3134,10.611,-0.077,-2.843,1.000,0.0025,-0.1909,0.012,-1.185,0.601,1.200,-1.759,0.0062,-1.662,nan,1.15,1,0.0400,1.000,1,0.430,7,0.242,0,anduril,0
1785547031.074,-0.003,-6.298,1.268,1.320,4.298,-0.562,0.2967,10.630,-0.080,-2.792,1.000,0.0277,-0.5276,0.012,-1.185,0.601,1.200,-2.000,0.0062,-1.609,nan,0.99,1,0.0346,1.000,1,0.430,7,0.242,0,anduril,0
1785547031.099,-0.194,-5.621,1.337,1.161,3.792,-0.961,0.2801,11.437,-0.102,-2.461,1.000,-0.0017,-0.1778,0.012,-1.363,0.662,1.200,-1.829,0.0062,-1.328,nan,1.47,1,0.0513,1.000,1,0.368,6,0.261,0,anduril,0
1785547031.129,-0.194,-5.621,1.337,1.161,3.621,-1.320,0.2715,11.437,-0.102,-2.461,1.000,-0.0017,-0.1778,0.012,-1.363,0.662,1.200,-2.000,0.0062,-1.328,nan,1.83,1,0.0639,1.000,1,0.368,6,0.261,0,anduril,0
1785547031.165,-0.360,-5.031,1.406,2.456,3.121,-1.182,0.2713,11.549,-0.131,-2.268,1.000,0.2788,-0.8241,0.011,-1.475,0.715,1.204,-1.909,0.0062,-1.246,nan,1.83,1,0.0639,1.000,1,0.368,6,0.261,0,anduril,0
1785547031.191,-0.360,-5.031,1.406,1.527,3.031,-1.199,0.2713,11.549,-0.131,-2.268,1.000,0.0374,0.0000,0.011,-1.475,0.715,1.204,-2.000,0.0062,-1.246,nan,1.85,1,0.0645,1.000,1,0.306,5,0.481,0,anduril,0
1785547031.220,-0.735,-4.550,1.562,1.141,2.670,-1.212,0.2711,11.549,-0.131,-2.268,1.000,0.0365,-0.0014,0.010,-1.477,0.767,1.200,-1.880,0.0062,-1.343,nan,1.86,1,0.0649,1.000,1,0.306,5,0.481,0,anduril,0
1785547031.267,-0.735,-4.550,1.562,2.641,2.550,-1.103,0.2544,11.406,-0.164,-2.020,1.000,0.5252,-2.0000,0.010,-1.477,0.767,1.343,-2.000,0.0062,-1.107,nan,1.93,1,0.0672,1.000,1,0.295,5,0.542,0,anduril,0
1785547031.297,-0.901,-4.079,1.726,1.263,2.166,-1.103,0.2710,11.406,-0.164,-2.020,1.000,0.0208,0.0508,0.000,-1.426,0.820,1.249,-1.913,0.0062,-1.201,nan,1.93,1,0.0672,1.000,1,0.295,5,0.542,0,anduril,0
1785547031.348,-1.107,-3.715,1.872,0.921,2.145,-1.153,0.2709,11.406,-0.164,-2.020,1.000,0.0100,0.0932,-0.011,-1.384,0.862,1.200,-1.570,0.0062,-1.274,nan,1.98,1,0.0690,1.000,1,0.295,5,0.542,0,anduril,0
1785547031.377,-1.107,-3.715,1.872,2.417,1.715,-2.534,0.2542,11.168,-0.189,-1.781,1.000,0.2152,-1.6767,-0.011,-1.384,0.862,1.400,-2.000,0.0062,-1.050,nan,3.51,1,0.1224,1.000,1,0.284,5,0.570,0,anduril,0
1785547031.404,-1.319,-3.343,2.023,0.917,1.343,-2.534,0.2708,11.168,-0.189,-1.781,1.000,-0.0268,0.0170,-0.024,-1.367,0.902,1.328,-2.000,0.0062,-1.122,nan,3.51,1,0.1224,1.000,1,0.284,5,0.570,0,anduril,0
1785547031.445,-1.319,-3.343,2.023,2.417,1.343,-3.532,0.2541,10.965,-0.214,-1.546,1.000,0.4264,-2.0000,-0.024,-1.367,0.902,1.551,-2.000,0.0063,-0.899,nan,4.65,1,0.1624,1.000,1,0.284,5,0.570,0,anduril,0
1785547031.484,-1.646,-3.094,2.448,0.917,1.094,-2.032,0.2708,10.965,-0.214,-1.546,1.000,-0.0862,0.0361,-0.042,-1.331,0.935,1.504,-2.000,0.0064,-0.946,nan,0.00,1,0.0000,0.963,0,0.227,4,0.581,0,anduril,0
1785547031.519,-1.646,-3.094,2.448,0.391,1.094,-0.532,0.2710,10.965,-0.214,-1.546,1.000,-0.0862,0.0361,-0.042,-1.331,0.935,1.504,-2.000,0.0065,-0.946,nan,0.00,1,0.0000,0.963,0,0.227,4,0.581,0,anduril,0
1785547031.545,-1.759,-2.923,2.665,1.891,0.923,0.968,0.2544,10.789,-0.240,-1.332,1.000,0.4329,-2.0000,-0.061,-1.287,0.962,1.678,-2.000,0.0066,-0.772,nan,0.00,1,0.0000,0.952,0,0.220,4,0.605,0,anduril,0
1785547031.582,-2.037,-2.785,2.552,3.391,0.785,1.436,0.2377,10.641,-0.267,-1.155,1.000,0.9089,-2.0000,-0.075,-1.228,0.987,1.823,-2.000,0.0067,-0.627,nan,0.00,1,0.0000,0.953,0,0.221,4,0.628,0,anduril,0
1785547031.609,-2.040,-2.784,2.550,1.891,0.784,1.436,0.2544,10.641,-0.267,-1.155,1.000,-0.1355,0.0005,-0.075,-1.228,0.987,1.823,-2.000,0.0067,-0.627,nan,0.00,1,0.0000,0.953,0,0.221,4,0.628,0,anduril,0
1785547031.642,-2.291,-2.670,2.350,0.391,0.670,1.436,0.2710,10.641,-0.267,-1.155,1.000,-0.1504,0.0521,-0.090,-1.176,1.010,1.803,-2.000,0.0068,-0.647,nan,0.00,1,0.0000,0.953,0,0.221,4,0.628,0,anduril,0
1785547031.668,-2.291,-2.670,2.350,1.891,0.670,1.661,0.2544,10.516,-0.305,-0.992,1.000,0.6205,-2.0000,-0.090,-1.176,1.010,1.962,-2.000,0.0068,-0.488,nan,0.00,1,0.0000,0.841,0,0.226,3,0.646,0,anduril,0
1785547031.706,-2.555,-2.572,2.138,3.391,0.572,1.897,0.2377,10.406,-0.345,-0.855,1.000,0.6417,-1.7699,-0.108,-1.127,1.033,2.080,-2.000,0.0069,-0.370,nan,0.00,1,0.0000,0.841,0,0.226,3,0.662,0,anduril,0
1785547031.740,-2.555,-2.572,2.138,4.891,0.572,2.098,0.2210,10.322,-0.378,-0.735,1.000,0.5449,-1.7621,-0.108,-1.127,1.033,2.197,-2.000,0.0069,-0.253,nan,0.00,1,0.0000,0.841,0,0.226,3,0.662,0,anduril,0
1785547031.780,-3.310,-2.492,1.826,3.391,0.492,2.098,0.2377,10.322,-0.378,-0.735,1.000,-0.2470,0.1037,-0.124,-1.023,1.056,2.188,-2.000,0.0069,-0.262,nan,0.00,1,0.0000,0.944,0,0.215,4,0.669,0,anduril,0
1785547031.816,-3.721,-2.435,1.569,4.891,0.435,2.218,0.2210,10.257,-0.397,-0.625,1.000,0.6439,-2.0000,-0.149,-0.925,1.075,2.200,-2.000,0.0069,-0.162,nan,0.00,1,0.0000,0.944,0,0.215,4,0.669,0,anduril,0
1785547031.852,-3.721,-2.435,1.569,3.391,0.435,2.218,0.2377,10.257,-0.397,-0.625,1.000,-0.2617,0.0000,-0.149,-0.925,1.075,2.200,-2.000,0.0070,-0.162,nan,0.00,1,0.0000,0.831,0,0.218,3,0.689,0,anduril,0
1785547031.894,-4.207,-2.386,1.272,1.891,0.386,2.196,0.2409,10.194,-0.391,-0.519,1.000,-0.0301,-0.7291,-0.181,-0.814,1.095,2.200,-2.000,0.0070,-0.064,nan,0.00,1,0.0000,0.831,0,0.218,3,0.689,0,anduril,0
1785547031.940,-4.463,-2.345,0.967,0.391,0.345,2.196,0.2576,10.194,-0.391,-0.519,1.000,-0.2377,0.1197,-0.222,-0.695,1.116,2.200,-2.000,0.0070,-0.070,nan,0.00,1,0.0000,0.816,0,0.208,3,0.699,0,anduril,0
1785547031.974,-4.463,-2.345,0.967,-1.109,0.345,2.196,0.2743,10.194,-0.391,-0.519,1.000,-0.2377,0.1197,-0.222,-0.695,1.116,2.200,-2.000,0.0070,-0.070,nan,0.00,1,0.0000,0.816,0,0.208,3,0.699,0,anduril,0
1785547032.004,-4.463,-2.345,0.967,-1.620,0.345,2.028,0.2576,10.137,-0.359,-0.421,1.000,-0.4445,-1.3941,-0.222,-0.695,1.116,2.200,-2.000,0.0070,0.023,nan,0.00,1,0.0000,0.818,0,0.209,3,0.700,0,anduril,0
1785547032.031,-4.255,-2.303,0.597,-2.888,0.303,2.028,0.2743,10.137,-0.359,-0.421,1.000,-0.2746,0.1293,-0.275,-0.565,1.139,2.200,-2.000,0.0070,0.014,nan,0.00,1,0.0000,0.818,0,0.209,3,0.700,0,anduril,0
1785547032.069,-4.255,-2.303,0.597,-3.143,0.303,1.803,0.2576,10.081,-0.317,-0.339,1.000,-0.5954,-1.1416,-0.275,-0.565,1.139,2.200,-2.000,0.0070,0.090,nan,0.00,1,0.0000,0.818,0,0.209,3,0.700,0,anduril,0
1785547032.098,-3.693,-2.262,0.312,-3.328,0.262,1.803,0.2728,10.081,-0.317,-0.339,1.000,-0.2754,0.0770,-0.324,-0.488,1.162,2.200,-2.000,0.0070,0.080,nan,0.00,1,0.0000,0.814,0,0.207,3,0.698,0,anduril,0
1785547032.129,-3.693,-2.262,0.312,-3.328,0.262,1.803,0.2728,10.081,-0.317,-0.339,1.000,-0.2754,0.0770,-0.324,-0.488,1.162,2.200,-2.000,0.0069,0.080,nan,0.00,1,0.0000,0.814,0,0.207,3,0.698,0,anduril,0
1785547032.155,-3.693,-2.262,0.312,-3.405,0.262,1.594,0.2561,9.980,-0.278,-0.269,1.000,-0.5454,-0.9482,-0.324,-0.488,1.162,2.200,-2.000,0.0069,0.143,nan,0.00,1,0.0000,0.826,0,0.215,3,0.726,0,anduril,0
1785547032.185,-3.072,-2.226,-0.002,-3.471,0.226,1.594,0.2696,9.980,-0.278,-0.269,1.000,-0.2508,0.0472,-0.364,-0.441,1.185,2.200,-2.000,0.0069,0.134,nan,0.00,1,0.0000,0.826,0,0.215,3,0.726,0,anduril,0
