t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785657926.547,0.000,-17.800,0.000,0.9521,0,-5.976,15.800,-3.775,0.2455,10.383,0.434,-2.063,1.000,2.391,5.976,-0.0000,-0.0000,0.000,0.000,-0.000,-0.000,1.240,-2.000,0.0060,1.210,nan,1.38,1,1,1,1,1,0.0483,1.000,1,0.523,8,0.002,0,0,yolo,117.2,yolo,0,0,0,0.000,0,-1,0
1785657926.583,0.000,-17.800,0.000,0.9521,0,-6.066,15.800,-3.726,0.2460,10.275,0.436,-2.048,1.000,2.427,6.066,0.0001,-0.0000,0.000,0.000,-0.000,-0.000,1.258,-2.000,0.0060,1.192,nan,1.30,1,1,1,0,1,0.0453,1.000,1,0.523,8,0.002,0,0,yolo,126.6,yolo,0,0,0,0.000,0,-1,0
1785657926.614,-0.010,-17.772,0.002,0.9523,0,-6.079,15.772,-3.682,0.2463,10.275,0.436,-2.048,1.000,2.427,6.070,-0.0002,0.0028,-0.000,-0.000,0.003,0.010,1.264,-2.000,0.0060,1.186,nan,1.25,1,1,1,0,1,0.0438,1.000,1,0.523,8,0.001,0,0,yolo,126.6,yolo,0,0,0,0.000,0,-1,0
1785657926.647,0.102,-16.387,0.006,0.9594,0,-5.923,14.387,-3.648,0.2517,10.275,0.436,-2.048,1.000,2.427,6.025,0.0031,-0.0078,0.003,0.003,-0.008,0.020,1.515,-2.000,0.0059,0.935,nan,1.22,1,1,1,0,1,0.0426,1.000,1,0.523,8,0.001,0,0,yolo,126.6,yolo,0,0,0,0.000,0,-1,0
1785657926.677,0.102,-16.387,0.006,0.9594,0,-6.550,14.387,-3.769,0.2420,10.437,0.451,-2.068,1.000,2.477,6.652,-0.0677,-0.1947,0.003,-0.015,-0.008,0.020,1.489,-2.000,0.0058,0.961,nan,1.29,1,1,1,1,1,0.0451,1.000,1,0.522,8,-0.001,0,0,yolo,117.3,yolo,0,0,0,0.000,0,-1,0
1785657926.708,0.762,-14.555,0.463,0.9678,0,-5.151,12.887,-3.769,0.2587,10.437,0.451,-2.068,1.000,2.477,5.913,0.0303,-0.0097,0.016,0.016,-0.018,0.030,1.823,-2.000,0.0057,0.627,nan,1.29,1,1,1,0,1,0.0451,1.000,1,0.522,8,-0.001,0,0,yolo,117.3,yolo,0,0,0,0.000,0,-1,0
1785657926.748,1.464,-12.678,1.046,0.9753,0,-4.155,11.387,-3.874,0.2669,10.437,0.451,-2.068,1.000,2.477,5.619,0.0525,-0.0192,0.038,0.038,-0.027,0.048,2.165,-2.000,0.0057,0.285,nan,1.40,1,1,1,0,1,0.0488,1.000,1,0.521,8,0.004,0,0,yolo,117.3,yolo,0,0,0,0.000,0,-1,0
1785657926.785,2.007,-11.162,1.435,0.9805,0,-3.232,9.887,-3.585,0.2737,10.437,0.451,-2.068,1.000,2.477,5.239,0.0812,-0.0248,0.066,0.066,-0.033,0.097,2.200,-2.000,0.0057,0.008,nan,1.11,1,1,1,0,1,0.0387,1.000,1,0.518,8,0.029,0,0,yolo,117.3,yolo,0,0,0,0.000,0,-1,0
1785657926.817,2.007,-11.162,1.435,0.9805,0,-1.732,9.162,-2.653,0.2904,10.287,0.316,-2.691,1.000,1.762,-2.279,1.2829,2.0000,0.066,0.032,-0.033,0.097,1.814,-2.000,0.0058,-0.636,nan,0.89,1,1,1,1,1,0.0311,1.000,1,0.518,8,0.029,0,0,yolo,116.4,yolo,0,0,0,0.000,0,-1,0
1785657926.856,2.398,-9.894,1.848,0.9843,0,-0.882,7.894,-2.374,0.3008,10.287,0.316,-2.691,1.000,1.762,3.280,0.0641,0.0031,0.096,0.096,-0.030,0.152,1.582,-2.000,0.0059,-0.868,nan,0.61,1,1,1,0,1,0.0214,1.000,1,0.514,8,0.078,0,0,yolo,116.4,yolo,0,0,0,0.000,0,-1,0
1785657926.895,2.531,-8.873,2.142,0.9871,0,-0.395,6.873,-2.391,0.3052,10.287,0.316,-2.691,1.000,1.762,2.926,0.0906,-0.0059,0.123,0.123,-0.039,0.206,1.394,-2.000,0.0059,-1.056,nan,0.63,1,1,1,0,1,0.0220,1.000,1,0.368,6,0.192,0,0,yolo,116.4,yolo,0,0,0,0.000,0,-1,0
1785657926.926,2.635,-7.943,2.402,0.9894,0,-1.006,5.943,-2.044,0.2886,9.708,0.301,-2.363,1.000,1.775,3.642,-0.0169,-0.5476,0.147,0.100,-0.068,0.261,1.467,-2.000,0.0060,-0.983,nan,0.27,1,1,1,1,1,0.0094,1.000,1,0.359,6,0.203,0,0,yolo,115.4,yolo,0,0,0,0.000,0,-1,0
1785657926.964,2.635,-7.943,2.402,0.9894,0,-0.266,5.943,-1.766,0.3028,9.708,0.301,-2.363,1.000,1.775,2.901,0.0474,0.0000,0.147,0.147,-0.068,0.261,1.467,-2.000,0.0061,-0.983,nan,-0.01,1,1,1,0,1,-0.0003,1.000,1,0.354,6,0.221,0,0,yolo,115.4,yolo,0,0,0,0.000,0,-1,0
1785657927.004,2.866,-6.386,2.871,0.9926,0,0.593,4.443,-1.557,0.3051,9.708,0.301,-2.363,1.000,1.775,2.273,0.0928,-0.1068,0.192,0.192,-0.175,0.359,1.200,-2.000,0.0061,-1.251,nan,-0.22,1,1,1,0,1,-0.0076,1.000,1,0.354,6,0.221,0,0,yolo,115.4,yolo,0,0,0,0.000,0,-1,0
1785657927.043,2.866,-6.386,2.871,0.9926,0,2.093,4.386,-0.057,0.3217,9.695,0.105,-2.418,1.000,0.623,-7.870,1.4628,0.4900,0.192,0.238,-0.175,0.359,1.200,-2.000,0.0061,-1.316,nan,-1.12,1,1,1,1,1,-0.0392,1.000,1,0.427,7,0.246,0,0,yolo,112.3,yolo,0,0,0,0.000,0,-1,0
1785657927.083,2.828,-5.825,3.050,0.9936,0,3.051,3.825,1.179,0.3108,9.695,0.105,-2.418,1.000,0.623,-0.223,-0.0241,-0.0805,0.214,0.214,-0.255,0.401,1.200,-2.000,0.0061,-1.413,nan,-1.80,1,1,1,0,1,-0.0629,1.000,1,0.427,7,0.246,0,0,yolo,112.3,yolo,0,0,0,0.000,0,-1,0
1785657927.113,2.505,-5.301,2.966,0.9948,0,3.044,3.301,-0.034,0.3090,9.695,0.105,-2.418,1.000,0.623,-0.540,-0.0012,-0.1736,0.237,0.237,-0.348,0.440,1.200,-2.000,0.0061,-1.505,nan,-0.59,1,1,1,0,1,-0.0206,0.929,1,0.417,6,0.257,0,0,yolo,112.3,yolo,0,0,0,0.000,0,-1,0
1785657927.143,2.505,-5.301,2.966,0.9948,0,4.544,3.301,0.862,0.2924,9.408,-0.045,-2.312,1.000,-0.273,-11.988,1.4710,-0.7224,0.237,0.433,-0.348,0.440,1.200,-2.000,0.0061,-1.433,nan,-0.59,1,1,1,1,1,-0.0206,0.929,1,0.417,6,0.257,1,0,yolo,116.6,yolo,0,0,0,0.000,0,-1,0
1785657927.184,2.212,-4.848,2.926,0.9957,0,4.368,2.848,-0.341,0.3090,9.408,-0.045,-2.312,1.000,-0.273,-2.156,-0.1753,-0.0984,0.257,0.257,-0.447,0.476,1.200,-2.000,0.0061,-1.509,nan,0.61,1,1,1,0,1,0.0214,1.000,1,0.374,6,0.267,2,0,yolo,116.6,yolo,0,0,0,0.000,0,-1,0
1785657927.225,1.676,-4.430,3.026,0.9966,0,4.075,2.430,-0.949,0.3087,9.408,-0.045,-2.312,1.000,-0.273,-2.399,-0.1581,-0.2184,0.275,0.275,-0.567,0.514,1.200,-2.000,0.0061,-1.579,nan,1.22,1,1,1,0,1,0.0426,1.000,1,0.371,6,0.287,0,0,yolo,116.6,yolo,0,0,0,0.000,0,-1,0
1785657927.265,1.263,-4.120,3.121,0.9972,0,5.575,2.120,-1.591,0.2920,9.721,-0.227,-2.098,1.000,-1.339,-14.000,1.3569,-1.3505,0.286,0.506,-0.676,0.544,1.200,-2.000,0.0061,-1.399,nan,2.93,1,1,1,1,1,0.1023,1.000,1,0.303,5,0.547,0,0,yolo,113.6,yolo,0,0,0,0.000,0,-1,0
1785657927.303,0.643,-3.849,3.284,0.9977,0,5.533,1.849,-2.531,0.3087,9.721,-0.227,-2.098,1.000,-1.339,-4.889,-0.2118,-0.0954,0.294,0.294,-0.771,0.574,1.200,-2.000,0.0061,-1.443,nan,3.87,1,1,1,0,1,0.1351,1.000,1,0.303,5,0.547,0,0,yolo,113.6,yolo,0,0,0,0.000,0,-1,0
1785657927.334,0.032,-3.600,3.515,0.9980,0,4.971,1.600,-3.236,0.3067,9.721,-0.227,-2.098,1.000,-1.339,-4.940,-0.2082,-0.1884,0.298,0.298,-0.864,0.603,1.200,-2.000,0.0061,-1.484,nan,4.58,1,1,1,0,1,0.1597,1.000,1,0.303,5,0.547,0,0,yolo,113.6,yolo,0,0,0,0.000,0,-1,0
1785657927.366,0.025,-3.597,3.518,0.9980,0,6.471,1.597,-3.540,0.2900,9.983,-0.354,-1.860,1.000,-2.030,-14.000,1.8041,-2.0000,0.298,0.523,-0.865,0.603,1.220,-2.000,0.0061,-1.230,nan,5.57,1,1,1,1,1,0.1944,1.000,1,0.284,5,0.636,0,0,yolo,117.1,yolo,0,0,0,0.000,0,-1,0
1785657927.397,-0.712,-3.388,3.882,0.9982,0,5.778,1.388,-4.918,0.3052,9.983,-0.354,-1.860,1.000,-2.030,-6.491,-0.2265,-0.0728,0.297,0.297,-0.938,0.631,1.200,-2.000,0.0061,-1.263,nan,6.95,1,1,1,0,1,0.2425,1.000,1,0.290,5,0.688,0,0,yolo,117.1,yolo,0,0,0,0.000,0,-1,0
