t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785733860.898,0.000,-17.800,0.000,0.9521,0,-2.563,15.800,-1.026,0.2791,6.530,0.117,-1.947,1.000,1.026,2.563,-0.0000,-0.0000,0.000,0.000,-0.000,-0.000,2.200,-2.000,0.0060,0.142,nan,0.00,1,1,1,1,1,0.0000,0.458,0,0.376,5,0.070,0,0,yolo,139.4,yolo,0,0,0,0.000,0,-1,0
1785733860.948,-0.000,-17.734,-0.001,0.9525,0,-2.560,15.734,-1.026,0.2791,6.530,0.117,-1.947,1.000,1.026,2.560,0.0002,-0.0015,0.000,0.000,-0.001,0.018,2.200,-2.000,0.0060,0.135,nan,0.00,1,1,1,0,1,0.0000,0.458,0,0.376,5,0.070,2,0,yolo,139.4,yolo,0,0,0,0.000,0,-1,0
1785733860.976,0.005,-16.001,0.000,0.9613,0,-1.060,14.234,-2.526,0.2958,6.425,0.086,-1.889,1.000,0.771,-1.073,0.4288,2.0000,0.000,0.064,-0.019,0.040,2.200,-2.000,0.0060,-0.045,nan,8.00,1,1,1,1,1,0.5710,0.917,1,0.369,5,0.040,0,0,yolo,164.1,yolo,0,0,0,0.000,0,-1,0
1785733861.015,0.353,-13.990,0.269,0.9703,0,-1.839,12.734,-4.026,0.2859,6.425,0.086,-1.889,1.000,0.771,2.192,-0.0610,-0.0208,0.003,0.003,-0.039,0.070,2.170,-2.000,0.0060,-0.280,nan,8.00,1,1,1,0,1,0.5710,0.917,1,0.369,5,0.040,3,0,yolo,164.1,yolo,0,0,0,0.000,0,-1,0
1785733861.053,0.455,-12.556,0.744,0.9761,0,-1.675,11.234,-5.526,0.2882,6.425,0.086,-1.889,1.000,0.771,2.131,-0.0576,-0.0474,0.006,0.006,-0.066,0.105,2.003,-2.000,0.0060,-0.447,nan,8.00,1,1,1,0,1,0.4619,0.500,1,0.426,7,0.107,0,0,yolo,164.1,yolo,0,0,0,0.000,0,-1,0
1785733861.084,0.550,-11.323,1.254,0.9805,0,-1.519,9.734,-7.026,0.2898,6.425,0.086,-1.889,1.000,0.771,2.069,-0.0543,-0.0818,0.010,0.010,-0.100,0.152,1.860,-2.000,0.0061,-0.590,nan,8.00,1,1,1,0,1,0.4619,0.500,1,0.426,7,0.107,0,0,yolo,164.1,yolo,0,0,0,0.000,0,-1,0
1785733861.125,0.550,-11.323,1.254,0.9805,0,-1.519,9.323,-8.526,0.2898,6.425,0.086,-1.889,1.000,0.771,2.069,-0.0543,-0.0818,0.010,0.010,-0.100,0.152,1.860,-2.000,0.0062,-0.590,nan,8.00,1,1,1,0,1,0.3675,1.000,1,0.426,7,0.107,2,0,yolo,164.1,yolo,0,0,0,0.000,0,-1,0
1785733861.164,0.642,-9.233,2.743,0.9870,0,-1.335,7.823,-8.771,0.2913,6.425,0.086,-1.889,1.000,0.771,1.977,-0.0493,-0.1726,0.015,0.015,-0.191,0.270,1.617,-2.000,0.0063,-0.833,nan,8.00,1,1,1,0,1,0.2978,1.000,1,0.507,8,0.086,0,0,yolo,164.1,yolo,0,0,0,0.000,0,-1,0
1785733861.194,0.642,-9.233,2.743,0.9870,0,-1.335,7.233,-8.771,0.2913,6.425,0.086,-1.889,1.000,0.771,1.977,-0.0493,-0.1726,0.015,0.015,-0.191,0.270,1.617,-2.000,0.0063,-0.833,nan,8.00,1,1,1,0,1,0.2978,1.000,1,0.507,8,0.086,0,0,yolo,164.1,yolo,0,0,0,0.000,0,-1,0
1785733861.252,0.670,-8.395,3.646,0.9892,0,-1.284,6.395,-7.804,0.2912,6.425,0.086,-1.889,1.000,0.771,1.954,-0.0480,-0.2281,0.016,0.016,-0.247,0.331,1.520,-2.000,0.0064,-0.930,nan,7.03,1,1,1,0,1,0.2455,1.000,1,0.507,8,0.086,4,0,yolo,164.1,yolo,0,0,0,0.000,0,-1,0
