t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785617659.325,0.000,-17.800,0.000,0.9521,0,-0.583,15.800,0.036,0.2740,5.825,0.024,-1.550,0.971,0.239,0.583,-0.0000,-0.0000,-0.000,-0.000,0.000,0.000,2.146,-2.000,0.0060,0.304,nan,0.61,1,1,1,0.0213,1.000,1,0.523,8,0.002,0,0,yolo,98.0,yolo,0,0,0,0.000,0,-1,0
1785617659.368,-0.005,-17.779,-0.003,0.9522,0,-0.587,15.779,0.171,0.2750,5.825,0.024,-1.550,0.971,0.239,0.582,-0.0000,0.0218,-0.000,-0.000,0.003,0.013,2.148,-2.000,0.0059,0.302,nan,0.47,1,1,1,0.0165,1.000,1,0.523,8,0.002,3,0,yolo,105.4,yolo,0,0,0,0.000,0,-1,0
1785617659.394,-0.002,-16.297,-0.002,0.9598,0,-0.584,14.297,0.285,0.2760,5.825,0.024,-1.550,0.971,0.239,0.582,-0.0000,-0.0148,-0.000,-0.000,-0.011,0.031,2.200,-2.000,0.0059,0.146,nan,0.36,1,1,1,0.0126,1.000,1,0.523,8,0.003,0,0,yolo,105.4,yolo,0,0,0,0.000,0,-1,0
1785617659.431,0.085,-14.312,-0.013,0.9690,0,-0.479,12.797,0.371,0.2794,5.825,0.024,-1.550,0.971,0.239,0.564,0.0009,-0.0240,0.001,0.001,-0.021,0.057,2.200,-2.000,0.0059,-0.062,nan,0.27,1,1,1,0.0096,1.000,1,0.523,8,0.003,2,0,yolo,105.4,yolo,0,0,0,0.000,0,-1,0
1785617659.458,0.085,-14.312,-0.013,0.9690,0,-0.488,12.312,0.178,0.2805,5.825,0.024,-1.550,0.971,0.239,0.573,-0.0000,-0.0000,0.001,0.000,-0.021,0.057,2.200,-2.000,0.0059,-0.062,nan,0.47,1,1,1,0.0163,1.000,1,0.521,8,0.011,0,0,yolo,104.9,yolo,0,0,0,0.000,0,-1,0
1785617659.489,0.171,-13.036,-0.054,0.9742,0,-0.366,11.036,0.033,0.2827,5.825,0.024,-1.550,0.971,0.239,0.537,0.0019,-0.0102,0.002,0.002,-0.031,0.087,2.200,-2.000,0.0060,-0.196,nan,0.61,1,1,1,0.0214,1.000,1,0.521,8,0.011,0,0,yolo,104.9,yolo,0,0,0,0.000,0,-1,0
1785617659.519,0.217,-11.705,-0.058,0.9792,0,-0.277,9.705,-0.076,0.2847,5.825,0.024,-1.550,0.971,0.239,0.494,0.0041,-0.0293,0.005,0.005,-0.050,0.138,2.114,-2.000,0.0060,-0.336,nan,0.72,1,1,1,0.0251,1.000,1,0.521,8,0.011,0,0,yolo,104.9,yolo,0,0,0,0.000,0,-1,0
1785617659.551,0.250,-10.696,-0.040,0.9826,0,-1.777,8.696,0.798,0.3013,5.830,0.031,-1.551,0.972,0.309,2.162,-0.2137,2.0000,0.007,-0.026,-0.075,0.192,2.009,-2.000,0.0060,-0.441,nan,-0.25,1,1,1,-0.0087,1.000,1,0.515,8,0.088,0,0,yolo,98.7,yolo,0,0,0,0.000,0,-1,0
1785617659.584,0.437,-9.790,-0.079,0.9854,0,-0.277,7.790,0.598,0.2892,5.830,0.031,-1.551,0.972,0.309,0.435,0.0359,-0.0269,0.010,0.010,-0.102,0.251,1.914,-2.000,0.0061,-0.536,nan,-0.05,1,1,1,-0.0017,1.000,1,0.433,7,0.165,0,0,yolo,98.7,yolo,0,0,0,0.000,0,-1,0
1785617659.615,0.437,-9.790,-0.079,0.9854,0,0.002,7.790,1.120,0.2892,5.830,0.031,-1.551,0.972,0.309,0.435,0.0359,-0.0269,0.010,0.010,-0.102,0.251,1.914,-2.000,0.0061,-0.536,nan,-0.57,1,1,1,-0.0199,1.000,1,0.439,7,0.193,0,0,yolo,98.7,yolo,0,0,0,0.000,0,-1,0
