t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785658096.706,0.000,-17.800,0.000,0.9521,0,1.311,15.800,-0.317,0.2948,8.349,-0.076,-3.054,1.000,-0.524,-1.311,-0.0000,-0.0000,0.000,0.000,-0.000,-0.000,2.095,-2.000,0.0060,-0.355,nan,0.84,1,1,1,1,1,0.0293,1.000,1,0.521,8,0.026,0,0,yolo,124.0,yolo,0,0,0,0.000,0,-1,0
1785658096.739,-0.003,-17.649,0.002,0.9529,0,1.308,15.649,-0.381,0.2949,8.349,-0.076,-3.054,1.000,-0.524,-1.312,0.0001,-0.0100,0.000,0.000,-0.010,0.019,2.071,-2.000,0.0061,-0.379,nan,0.91,1,1,1,0,1,0.0316,1.000,1,0.521,8,0.026,0,0,yolo,124.0,yolo,0,0,0,0.000,0,-1,0
1785658096.776,-0.031,-15.316,0.000,0.9645,0,1.263,14.149,-0.445,0.3016,8.349,-0.076,-3.054,1.000,-0.524,-1.294,-0.0011,-0.0326,-0.001,-0.001,-0.033,0.047,1.710,-2.000,0.0061,-0.740,nan,0.97,1,1,1,0,1,0.0338,1.000,1,0.528,8,0.040,0,0,yolo,124.0,yolo,0,0,0,0.000,0,-1,0
1785658096.818,-0.278,-13.739,0.055,0.9714,0,-0.237,12.649,-0.812,0.3079,7.698,-0.027,-2.658,1.000,-0.205,2.424,-0.4294,0.1384,-0.004,-0.071,-0.059,0.079,1.696,-2.000,0.0062,-0.754,nan,1.02,1,1,1,1,1,0.0355,1.000,1,0.528,8,0.040,0,0,yolo,129.4,yolo,0,0,0,0.000,0,-1,0
1785658096.858,-0.345,-12.330,0.122,0.9769,0,0.405,11.149,-0.862,0.3042,7.698,-0.027,-2.658,1.000,-0.205,-0.750,0.0635,-0.0390,-0.007,-0.007,-0.098,0.119,1.497,-2.000,0.0063,-0.953,nan,1.07,1,1,1,0,1,0.0372,1.000,1,0.528,7,0.047,0,0,yolo,129.4,yolo,0,0,0,0.000,0,-1,0
1785658096.895,-0.439,-10.998,0.201,0.9816,0,0.241,9.649,0.205,0.3051,7.698,-0.027,-2.658,1.000,-0.205,-0.679,0.0592,-0.1130,-0.011,-0.011,-0.172,0.192,1.310,-2.000,0.0063,-1.140,nan,0.00,1,1,1,0,1,0.0000,0.458,0,0.378,5,0.049,0,0,yolo,129.4,yolo,0,0,0,0.000,0,-1,0
1785658096.938,-0.439,-10.998,0.201,0.9816,0,-1.259,8.998,1.705,0.2884,7.176,0.003,-2.346,1.000,0.026,1.856,-0.1733,-1.2382,-0.011,-0.077,-0.172,0.192,1.516,-2.000,0.0064,-0.934,nan,-8.00,1,1,1,1,1,-0.2828,0.929,1,0.430,6,0.185,0,0,yolo,122.9,yolo,0,0,0,0.000,0,-1,0
1785658096.973,-0.324,-8.991,0.038,0.9877,0,-0.298,7.498,3.205,0.3033,7.176,0.003,-2.346,1.000,0.026,-0.026,0.0598,-0.1491,-0.017,-0.017,-0.321,0.320,1.254,-2.000,0.0064,-1.196,nan,-8.00,1,1,1,0,1,-0.2828,0.929,1,0.430,6,0.185,0,0,yolo,122.9,yolo,0,0,0,0.000,0,-1,0
1785658097.011,-0.324,-8.991,0.038,0.9877,0,-0.298,6.991,4.705,0.3033,7.176,0.003,-2.346,1.000,0.026,-0.026,0.0598,-0.1491,-0.017,-0.017,-0.321,0.320,1.254,-2.000,0.0064,-1.196,nan,-8.00,1,1,1,0,1,-0.2828,0.929,1,0.430,6,0.185,2,0,yolo,122.9,yolo,0,0,0,0.000,0,-1,0
1785658097.052,-0.269,-8.091,-0.321,0.9900,0,-0.246,6.091,6.205,0.3023,7.176,0.003,-2.346,1.000,0.026,-0.023,0.0597,-0.2333,-0.018,-0.018,-0.406,0.382,1.200,-2.000,0.0064,-1.313,nan,-6.48,1,1,1,0,1,-0.2262,1.000,1,0.436,7,0.204,0,0,yolo,122.9,yolo,0,0,0,0.000,0,-1,0
1785658097.083,-0.161,-7.352,-0.975,0.9918,0,-0.088,5.352,5.236,0.3008,7.176,0.003,-2.346,1.000,0.026,-0.073,0.0626,-0.3178,-0.015,-0.015,-0.490,0.439,1.200,-2.000,0.0064,-1.409,nan,-5.26,1,1,1,0,1,-0.1837,1.000,1,0.436,7,0.204,0,0,yolo,122.9,yolo,0,0,0,0.000,0,-1,0
1785658097.114,-0.094,-6.729,-1.538,0.9931,0,0.043,4.745,3.758,0.2993,7.176,0.003,-2.346,1.000,0.026,-0.137,0.0664,-0.3958,-0.011,-0.011,-0.568,0.489,1.200,-1.983,0.0064,-1.489,nan,-3.78,1,1,1,0,1,-0.1321,1.000,1,0.430,7,0.226,0,0,yolo,122.9,yolo,0,0,0,0.000,0,-1,0
1785658097.145,-0.094,-6.729,-1.538,0.9931,0,0.043,4.729,2.650,0.2993,7.176,0.003,-2.346,1.000,0.026,-0.137,0.0664,-0.3958,-0.011,-0.011,-0.568,0.489,1.200,-2.000,0.0064,-1.489,nan,-2.68,1,1,1,0,1,-0.0934,1.000,1,0.430,7,0.226,0,0,yolo,122.9,yolo,0,0,0,0.000,0,-1,0
1785658097.177,-0.066,-6.124,-1.890,0.9943,0,-1.457,4.124,1.150,0.3131,9.423,0.296,-2.382,1.000,1.799,4.572,-0.0000,-0.0000,-0.008,-0.008,-0.649,0.539,1.200,-2.000,0.0064,-1.364,nan,-2.05,1,1,1,1,1,-0.0714,1.000,1,0.367,6,0.185,0,0,yolo,119.9,yolo,0,0,0,0.000,0,-1,0
