t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785653018.366,0.000,-17.800,0.000,0.9521,0,-0.673,15.800,0.625,0.2740,5.823,0.028,-1.550,0.970,0.277,0.673,-0.0000,-0.0000,-0.000,-0.000,-0.000,-0.000,2.146,-2.000,0.0060,0.304,nan,-0.01,1,1,1,1,1,-0.0003,1.000,1,0.524,8,-0.002,0,0,yolo,116.8,yolo,0,0,0,0.000,0,-1,0
1785653018.402,-0.000,-17.730,0.001,0.9525,0,-0.679,15.730,0.628,0.2740,5.823,0.028,-1.550,0.970,0.277,0.679,-0.0003,-0.0013,-0.000,-0.000,-0.001,0.018,2.154,-2.000,0.0059,0.296,nan,-0.01,1,1,1,0,1,-0.0004,1.000,1,0.524,8,-0.002,0,0,yolo,116.8,yolo,0,0,0,0.000,0,-1,0
1785653018.432,-0.000,-17.730,0.001,0.9525,0,-0.679,15.730,0.637,0.2740,5.823,0.028,-1.550,0.970,0.277,0.679,-0.0003,-0.0013,-0.000,-0.000,-0.001,0.018,2.154,-2.000,0.0059,0.296,nan,-0.02,1,1,1,0,1,-0.0007,1.000,1,0.523,8,0.002,0,0,yolo,116.8,yolo,0,0,0,0.000,0,-1,0
1785653018.468,0.001,-15.231,0.001,0.9649,0,-0.670,14.230,0.643,0.2780,5.823,0.028,-1.550,0.970,0.277,0.671,0.0001,-0.0150,-0.000,-0.000,-0.015,0.043,2.200,-2.000,0.0059,0.034,nan,-0.03,1,1,1,0,1,-0.0009,1.000,1,0.523,8,0.002,0,0,yolo,116.8,yolo,0,0,0,0.000,0,-1,0
1785653018.501,0.193,-13.374,-0.101,0.9729,0,-0.250,12.730,0.676,0.2947,5.822,0.025,-1.550,0.970,0.245,0.442,0.0197,1.1713,0.002,0.004,-0.026,0.073,2.200,-2.000,0.0059,-0.162,nan,-0.03,1,1,1,1,1,-0.0009,1.000,1,0.523,8,0.002,3,0,yolo,121.6,yolo,0,0,0,0.000,0,-1,0
1785653018.541,0.238,-11.846,-0.187,0.9787,0,-0.294,11.230,0.437,0.2849,5.822,0.025,-1.550,0.970,0.245,0.532,0.0003,-0.0185,0.004,0.004,-0.044,0.106,2.128,-2.000,0.0060,-0.322,nan,0.21,1,1,1,0,1,0.0075,1.000,1,0.521,8,0.006,0,0,yolo,121.6,yolo,0,0,0,0.000,0,-1,0
1785653018.577,0.238,-11.846,-0.187,0.9787,0,-0.294,9.846,0.257,0.2849,5.822,0.025,-1.550,0.970,0.245,0.532,0.0003,-0.0185,0.004,0.004,-0.044,0.106,2.128,-2.000,0.0060,-0.322,nan,0.39,1,1,1,0,1,0.0137,1.000,1,0.521,8,0.006,1,0,yolo,121.6,yolo,0,0,0,0.000,0,-1,0
1785653018.619,0.289,-10.197,-0.241,0.9842,0,-0.180,8.346,0.356,0.2866,5.822,0.025,-1.550,0.970,0.245,0.470,0.0036,-0.0634,0.007,0.007,-0.089,0.180,1.955,-2.000,0.0060,-0.495,nan,0.29,1,1,1,0,1,0.0103,1.000,1,0.516,8,0.051,0,0,yolo,121.6,yolo,0,0,0,0.000,0,-1,0
1785653018.656,0.333,-9.026,-0.259,0.9876,0,-0.618,7.026,0.349,0.3032,5.824,0.033,-1.544,0.971,0.320,0.951,-0.0578,0.8703,0.010,0.007,-0.139,0.244,1.839,-2.000,0.0061,-0.611,nan,0.22,1,1,1,1,1,0.0077,1.000,1,0.516,8,0.051,3,0,yolo,135.8,yolo,0,0,0,0.000,0,-1,0
1785653018.697,0.361,-8.084,-0.283,0.9900,0,-0.202,6.084,0.825,0.2922,5.824,0.033,-1.544,0.971,0.320,0.564,0.0056,-0.0484,0.013,0.013,-0.187,0.298,1.741,-2.000,0.0062,-0.709,nan,-0.25,1,1,1,0,1,-0.0089,1.000,1,0.440,7,0.166,0,0,yolo,135.8,yolo,0,0,0,0.000,0,-1,0
1785653018.734,0.403,-7.308,-0.365,0.9919,0,-0.087,5.308,1.182,0.2916,5.824,0.033,-1.544,0.971,0.320,0.491,0.0094,-0.1055,0.017,0.017,-0.244,0.354,1.660,-2.000,0.0062,-0.790,nan,-0.61,1,1,1,0,1,-0.0213,1.000,1,0.440,7,0.166,3,0,yolo,135.8,yolo,0,0,0,0.000,0,-1,0
1785653018.774,0.432,-6.641,-0.478,0.9933,0,-1.587,4.641,0.735,0.2863,5.815,0.058,-1.453,0.969,0.576,2.430,-0.2594,-0.2012,0.021,0.016,-0.301,0.402,1.680,-2.000,0.0063,-0.770,nan,-0.37,1,1,1,1,1,-0.0129,1.000,1,0.432,7,0.234,0,0,yolo,131.6,yolo,0,0,0,0.000,0,-1,0
1785653018.806,0.652,-6.026,-0.555,0.9944,0,-0.322,4.026,0.554,0.2943,5.815,0.058,-1.453,0.969,0.576,0.974,0.0104,-0.0619,0.026,0.026,-0.362,0.449,1.616,-2.000,0.0064,-0.834,nan,-0.19,1,1,1,0,1,-0.0066,1.000,1,0.432,7,0.234,0,0,yolo,131.6,yolo,0,0,0,0.000,0,-1,0
1785653018.837,0.652,-6.026,-0.555,0.9944,0,-0.322,4.026,0.545,0.2944,5.815,0.058,-1.453,0.969,0.576,0.974,0.0104,-0.0619,0.026,0.026,-0.362,0.449,1.616,-2.000,0.0065,-0.834,nan,-0.18,1,1,1,0,1,-0.0063,1.000,1,0.372,6,0.265,0,0,yolo,131.6,yolo,0,0,0,0.000,0,-1,0
1785653018.869,0.671,-5.490,-0.595,0.9953,0,-1.822,3.490,-0.889,0.2777,6.763,0.125,-1.130,1.000,1.063,6.253,-0.5744,-2.0000,0.032,-0.057,-0.428,0.493,1.974,-2.000,0.0065,-0.476,nan,-0.17,1,1,1,1,1,-0.0060,1.000,1,0.372,6,0.265,0,0,yolo,114.4,yolo,0,0,0,0.000,0,-1,0
1785653018.900,0.885,-5.063,-0.515,0.9960,0,-0.834,3.063,-1.053,0.2853,6.763,0.125,-1.130,1.000,1.063,1.719,0.0939,-0.0491,0.037,0.037,-0.477,0.531,1.924,-2.000,0.0066,-0.526,nan,-0.01,1,1,1,0,1,-0.0003,1.000,1,0.369,6,0.271,0,0,yolo,114.4,yolo,0,0,0,0.000,0,-1,0
1785653018.932,0.885,-5.063,-0.515,0.9960,0,-0.834,3.063,-1.176,0.2854,6.763,0.125,-1.130,1.000,1.063,1.719,0.0939,-0.0491,0.037,0.037,-0.477,0.531,1.924,-2.000,0.0066,-0.526,nan,0.11,1,1,1,0,1,0.0040,1.000,1,0.369,6,0.271,0,0,yolo,114.4,yolo,0,0,0,0.000,0,-1,0
1785653018.963,0.948,-4.666,-0.358,0.9965,0,-0.661,2.666,-1.126,0.2846,6.763,0.125,-1.130,1.000,1.063,1.609,0.1001,-0.0961,0.043,0.043,-0.524,0.568,1.877,-2.000,0.0067,-0.573,nan,0.06,1,1,1,0,1,0.0022,1.000,1,0.366,6,0.279,0,0,yolo,114.4,yolo,0,0,0,0.000,0,-1,0
1785653018.995,1.009,-4.362,-0.249,0.9969,0,-2.161,2.362,-1.576,0.2679,7.289,0.191,-0.847,1.000,1.503,6.913,-0.4206,-2.0000,0.049,-0.089,-0.562,0.598,2.164,-2.000,0.0067,-0.286,nan,0.07,1,1,1,1,1,0.0025,1.000,1,0.362,6,0.291,0,0,yolo,110.2,yolo,0,0,0,0.000,0,-1,0
1785653019.033,1.009,-4.362,-0.249,0.9969,0,-1.479,2.362,-1.462,0.2802,7.289,0.191,-0.847,1.000,1.503,2.488,0.1384,0.0000,0.049,0.049,-0.562,0.598,2.164,-2.000,0.0068,-0.286,nan,-0.04,1,1,1,0,1,-0.0014,1.000,1,0.357,6,0.204,0,0,yolo,110.2,yolo,0,0,0,0.000,0,-1,0
1785653019.072,1.086,-4.013,-0.127,0.9974,0,-1.279,2.013,-1.377,0.2795,7.289,0.191,-0.847,1.000,1.503,2.364,0.1457,-0.0439,0.056,0.056,-0.606,0.632,2.119,-2.000,0.0068,-0.331,nan,-0.13,1,1,1,0,1,-0.0044,1.000,1,0.357,6,0.204,0,0,yolo,110.2,yolo,0,0,0,0.000,0,-1,0
1785653019.103,1.206,-3.749,0.035,0.9976,0,-1.337,1.749,-1.317,0.2961,8.365,0.190,-1.089,1.000,1.303,2.543,0.2200,1.5354,0.064,-0.038,-0.633,0.663,1.915,-2.000,0.0068,-0.535,nan,0.01,1,1,1,1,1,0.0005,1.000,1,0.300,5,0.492,0,0,yolo,122.4,yolo,0,0,0,0.000,0,-1,0
