t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785736176.336,0.000,-17.800,0.000,0.9521,0,-0.002,15.800,-0.000,0.2836,nan,nan,nan,0.000,0.000,0.002,0.0000,0.0000,-0.000,-0.000,0.000,-0.000,1.000,-2.000,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736176.399,0.000,-17.422,0.003,0.9541,0,-0.004,15.422,0.000,0.2826,nan,nan,nan,0.000,0.000,0.004,0.0000,-0.0078,-0.000,-0.000,-0.008,0.004,1.000,-2.000,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736176.445,0.003,-16.042,0.004,0.9611,0,0.002,14.042,0.000,0.2798,nan,nan,nan,0.000,0.000,0.001,0.0000,-0.0254,-0.000,-0.000,-0.025,0.016,1.000,-2.000,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736176.473,-0.001,-14.193,0.003,0.9695,0,0.005,12.542,0.000,0.2760,nan,nan,nan,0.000,0.000,-0.006,0.0000,-0.0530,0.001,0.001,-0.053,0.055,1.000,-2.000,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736176.511,-0.002,-13.138,0.003,0.9738,0,0.008,11.138,0.000,0.2737,nan,nan,nan,0.000,0.000,-0.011,0.0000,-0.0778,0.001,0.001,-0.078,0.098,1.000,-2.000,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736176.603,-0.006,-9.924,0.003,0.9850,0,0.010,9.638,0.000,0.2680,nan,nan,nan,0.000,0.000,-0.016,0.0000,-0.1332,0.002,0.002,-0.133,0.288,1.000,-1.147,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736176.647,-0.007,-9.061,0.003,0.9875,0,0.008,8.138,0.000,0.2668,nan,nan,nan,0.000,0.000,-0.016,0.0000,-0.1447,0.002,0.002,-0.145,0.340,1.000,-1.246,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736176.763,-0.011,-6.368,0.002,0.9938,0,0.003,6.638,0.000,0.2653,nan,nan,nan,0.000,0.000,-0.014,0.0000,-0.1406,0.002,0.002,-0.141,0.497,1.000,0.120,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736176.804,-0.012,-5.465,0.002,0.9955,0,0.001,5.225,0.000,0.2651,nan,nan,nan,0.000,0.000,-0.013,0.0000,-0.1365,0.002,0.002,-0.136,0.546,1.000,-0.240,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736176.867,-0.013,-4.680,0.002,0.9967,0,-0.000,4.184,0.000,0.2649,nan,nan,nan,0.000,0.000,-0.012,0.0000,-0.1336,0.002,0.002,-0.134,0.592,1.000,-0.496,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736176.913,-0.013,-4.295,0.002,0.9972,0,-0.001,3.364,0.000,0.2648,nan,nan,nan,0.000,0.000,-0.012,0.0000,-0.1317,0.001,0.001,-0.132,0.616,1.000,-0.932,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736176.976,-0.013,-3.618,0.002,0.9980,0,-0.002,2.596,0.000,0.2648,nan,nan,nan,0.000,0.000,-0.011,0.0000,-0.1284,0.001,0.001,-0.128,0.655,1.000,-1.022,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736177.020,-0.013,-3.282,0.002,0.9984,0,-0.003,1.984,0.000,0.2647,nan,nan,nan,0.000,0.000,-0.010,0.0000,-0.1276,0.001,0.001,-0.128,0.676,1.000,-1.298,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736177.070,-0.013,-2.872,0.001,0.9987,0,-0.004,1.545,0.000,0.2646,nan,nan,nan,0.000,0.000,-0.009,0.0000,-0.1271,0.001,0.001,-0.127,0.708,1.000,-1.327,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736177.116,-0.012,-2.700,0.001,0.9989,0,-0.004,1.188,0.000,0.2646,nan,nan,nan,0.000,0.000,-0.008,0.0000,-0.1270,0.001,0.001,-0.127,0.725,1.000,-1.512,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736177.164,-0.012,-2.425,0.001,0.9991,0,-0.005,0.951,0.000,0.2645,nan,nan,nan,0.000,0.000,-0.007,0.0000,-0.1269,0.001,0.001,-0.127,0.755,1.000,-1.474,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736177.194,-0.012,-2.332,0.001,0.9992,0,-0.005,0.654,0.000,0.2645,nan,nan,nan,0.000,0.000,-0.006,0.0000,-0.1269,0.001,0.001,-0.127,0.765,1.000,-1.678,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736177.272,-0.011,-2.201,0.001,0.9993,0,-0.005,0.540,0.000,0.2645,nan,nan,nan,0.000,0.000,-0.006,0.0000,-0.1269,0.001,0.001,-0.127,0.787,1.000,-1.661,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736177.302,-0.011,-2.138,0.001,0.9993,0,-0.006,0.361,0.000,0.2645,nan,nan,nan,0.000,0.000,-0.005,0.0000,-0.1268,0.001,0.001,-0.127,0.798,1.000,-1.777,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736177.371,-0.010,-2.090,0.001,0.9993,0,-0.006,0.212,0.000,0.2645,nan,nan,nan,0.000,0.000,-0.005,0.0000,-0.1268,0.001,0.001,-0.127,0.807,1.000,-1.878,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736177.448,-0.009,-1.963,0.001,0.9994,0,-0.006,0.417,0.000,0.2644,nan,nan,nan,0.000,0.000,-0.003,0.0000,-0.1270,0.000,0.000,-0.127,0.845,1.000,-1.546,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736177.523,-0.008,-1.886,0.001,0.9995,0,-0.005,0.323,0.000,0.2644,nan,nan,nan,0.000,0.000,-0.002,0.0000,-0.1272,0.000,0.000,-0.127,0.863,1.000,-1.563,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
1785736177.578,-0.007,-1.843,0.001,0.9995,0,-0.005,0.196,0.000,0.2644,nan,nan,nan,0.000,0.000,-0.002,0.0000,-0.1273,0.000,0.000,-0.127,0.874,1.000,-1.646,0.0060,0.000,nan,0.00,0,0,0,0,0,0.0000,0.000,0,0.000,0,0.000,0,0,,,FLYING,0,0,0,0.000,0,-1,0
