t,roll,pitch,yaw,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,d_lat,d_vert,vY,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,src_switch,source,gate
1785547056.165,0.000,-17.800,0.000,-0.037,15.800,-1.796,0.2993,9.396,0.002,-3.539,1.000,-0.0000,-0.0000,-0.000,-0.000,-0.000,1.953,-2.000,0.0060,-0.497,nan,1.78,1,0.0622,1.000,1,0.522,8,0.114,0,yolo,0
1785547056.195,0.000,-17.800,0.000,-0.037,15.800,-1.913,0.2993,9.396,0.002,-3.539,1.000,0.0000,0.0000,-0.000,-0.000,-0.000,1.953,-2.000,0.0061,-0.497,nan,1.90,1,0.0663,1.000,1,0.521,8,0.111,0,yolo,0
1785547056.225,0.003,-17.747,0.004,-1.537,15.747,-2.023,0.3160,9.364,0.020,-3.550,1.000,-0.2684,0.4493,-0.000,0.002,0.019,1.923,-2.000,0.0062,-0.527,nan,1.90,1,0.0663,1.000,1,0.521,8,0.111,0,yolo,0
1785547056.257,0.007,-15.253,0.033,-0.119,14.247,-2.111,0.3091,9.364,0.020,-3.550,1.000,0.0374,-0.0193,-0.000,-0.018,0.049,1.489,-2.000,0.0062,-0.961,nan,1.99,1,0.0694,1.000,1,0.521,8,0.111,0,yolo,0
1785547056.282,0.005,-13.732,0.339,-0.124,12.747,-2.194,0.3137,9.364,0.020,-3.550,1.000,0.0371,-0.0503,-0.001,-0.049,0.084,1.224,-2.000,0.0062,-1.226,nan,2.07,1,0.0723,1.000,1,0.521,8,0.124,0,yolo,0
1785547056.314,0.005,-13.732,0.339,-0.124,11.732,-2.256,0.3137,9.364,0.020,-3.550,1.000,0.0371,-0.0503,-0.001,-0.049,0.084,1.224,-2.000,0.0062,-1.226,nan,2.13,1,0.0744,1.000,1,0.521,8,0.124,0,yolo,0
1785547056.344,-0.037,-12.359,0.563,-0.173,10.359,-2.145,0.3171,9.364,0.020,-3.550,1.000,0.0366,-0.0969,-0.001,-0.095,0.123,1.200,-2.000,0.0062,-1.463,nan,2.02,1,0.0706,1.000,1,0.523,8,0.130,0,yolo,0
1785547056.384,-0.045,-11.278,0.726,-1.659,9.278,-1.833,0.3338,9.582,0.041,-3.650,1.000,-0.1227,1.4514,-0.002,-0.162,0.175,1.200,-2.000,0.0062,-1.705,nan,1.59,1,0.0554,1.000,1,0.514,8,0.043,0,yolo,0
1785547056.423,0.126,-10.188,0.909,-0.298,8.188,-1.399,0.3275,9.582,0.041,-3.650,1.000,0.0413,-0.1079,-0.002,-0.270,0.243,1.200,-2.000,0.0062,-1.897,nan,1.15,1,0.0402,1.000,1,0.507,8,0.074,0,yolo,0
1785547056.462,0.114,-9.278,1.047,-0.301,7.278,-1.293,0.3242,9.582,0.041,-3.650,1.000,0.0420,-0.2291,-0.001,-0.391,0.307,1.200,-2.000,0.0062,-2.057,nan,1.05,1,0.0365,1.000,1,0.446,7,0.144,0,yolo,0
1785547056.491,0.133,-8.495,1.155,-1.595,6.495,-1.359,0.3408,9.736,0.053,-3.728,1.000,-0.1116,1.9190,-0.001,-0.522,0.365,1.200,-2.000,0.0062,-2.249,nan,1.05,1,0.0365,1.000,1,0.446,7,0.144,0,yolo,0
1785547056.515,0.133,-8.495,1.155,-0.434,6.495,-1.279,0.3339,9.736,0.053,-3.728,1.000,0.0436,0.0000,-0.001,-0.522,0.365,1.200,-2.000,0.0062,-2.249,nan,0.97,1,0.0338,1.000,1,0.446,7,0.144,0,yolo,0
1785547056.546,0.164,-7.806,1.267,-0.398,5.806,-1.101,0.3270,9.736,0.053,-3.728,1.000,0.0439,-0.1388,-0.000,-0.661,0.419,1.200,-2.000,0.0062,-2.371,nan,0.79,1,0.0275,1.000,1,0.433,7,0.201,0,yolo,0
1785547056.572,0.194,-7.137,1.379,-0.361,5.137,-0.967,0.3193,9.736,0.053,-3.728,1.000,0.0444,-0.2974,0.000,-0.820,0.474,1.200,-2.000,0.0062,-2.489,nan,0.66,1,0.0229,1.000,1,0.433,7,0.201,0,yolo,0
1785547056.610,0.194,-7.137,1.379,1.037,5.137,-1.790,0.3027,9.997,0.018,-3.473,1.000,0.2185,-1.7152,0.000,-0.820,0.474,1.200,-2.000,0.0062,-2.204,nan,1.69,1,0.0589,1.000,1,0.371,6,0.271,0,yolo,0
1785547056.639,0.225,-6.522,1.475,-0.026,4.522,-1.790,0.3193,9.997,0.018,-3.473,1.000,-0.0001,-0.1558,0.001,-0.975,0.528,1.200,-2.000,0.0062,-2.315,nan,1.69,1,0.0589,1.000,1,0.371,6,0.271,0,yolo,0
1785547056.677,0.203,-5.922,1.677,-0.046,3.950,-1.995,0.3176,9.997,0.018,-3.473,1.000,0.0000,-0.3189,0.001,-1.138,0.584,1.200,-1.972,0.0062,-2.423,nan,1.89,1,0.0660,1.000,1,0.364,6,0.282,0,yolo,0
1785547056.702,0.203,-5.922,1.677,-0.046,3.922,-1.995,0.3176,9.997,0.018,-3.473,1.000,0.0000,-0.3189,0.001,-1.138,0.584,1.200,-2.000,0.0062,-2.423,nan,1.89,1,0.0660,1.000,1,0.364,6,0.282,0,yolo,0
1785547056.740,0.190,-5.403,1.916,1.454,3.403,-1.029,0.3009,10.503,-0.080,-3.520,1.000,0.7424,0.6958,0.000,-1.293,0.635,1.200,-2.000,0.0062,-2.515,nan,1.47,1,0.0512,1.000,1,0.364,6,0.282,0,yolo,0
1785547056.780,0.015,-5.020,2.024,1.226,3.069,-0.721,0.2843,10.503,-0.080,-3.520,1.000,0.0187,-0.1059,0.003,-1.398,0.675,1.200,-1.951,0.0062,-2.587,nan,1.16,1,0.0404,1.000,1,0.297,5,0.562,0,yolo,0
1785547056.811,-0.104,-4.676,2.070,1.126,2.821,-0.922,0.2712,10.503,-0.080,-3.520,1.000,0.0201,-0.1744,0.005,-1.467,0.713,1.200,-1.855,0.0062,-2.652,nan,1.36,1,0.0474,1.000,1,0.289,5,0.683,0,yolo,0
1785547056.843,-0.104,-4.676,2.070,2.626,2.676,-0.623,0.2545,10.539,-0.135,-2.849,1.000,1.6521,-2.0000,0.005,-1.467,0.713,1.200,-2.000,0.0062,-1.981,nan,1.36,1,0.0474,1.000,1,0.289,5,0.683,0,yolo,0
1785547056.877,-0.220,-4.364,2.148,1.126,2.364,-0.774,0.2710,10.539,-0.135,-2.849,1.000,-0.1928,-0.0321,0.005,-1.499,0.748,1.200,-2.000,0.0062,-2.039,nan,1.51,1,0.0527,1.000,1,0.289,5,0.683,0,yolo,0
1785547056.903,-0.335,-4.108,2.229,0.567,2.136,-2.274,0.2709,10.539,-0.135,-2.849,1.000,-0.1937,-0.0328,0.004,-1.500,0.780,1.200,-1.972,0.0062,-2.086,nan,3.02,1,0.1053,1.000,1,0.289,5,0.647,0,yolo,0
1785547056.934,-0.396,-3.888,2.388,0.455,1.967,-3.410,0.2709,10.539,-0.135,-2.849,1.000,-0.1976,-0.0089,-0.000,-1.476,0.808,1.200,-1.921,0.0062,-2.127,nan,4.15,1,0.1447,1.000,1,0.289,5,0.647,0,yolo,0
1785547056.966,-0.396,-3.888,2.388,1.955,1.888,-4.107,0.2542,10.078,-0.165,-2.262,1.000,0.2652,-2.0000,-0.000,-1.476,0.808,1.200,-2.000,0.0062,-1.572,nan,5.04,1,0.1761,0.900,1,0.281,4,0.773,0,yolo,0
1785547056.996,-0.462,-3.669,2.718,0.995,1.669,-5.607,0.2708,10.078,-0.165,-2.262,1.000,-0.1648,0.0348,-0.007,-1.441,0.836,1.200,-2.000,0.0062,-1.611,nan,6.66,1,0.2326,0.900,1,0.283,4,0.782,0,yolo,0
1785547057.028,-0.598,-3.483,3.229,0.732,1.486,-7.063,0.2708,10.078,-0.165,-2.262,1.000,-0.1741,0.0639,-0.017,-1.412,0.862,1.200,-1.997,0.0062,-1.644,nan,8.00,1,0.2850,0.900,1,0.278,4,0.780,0,yolo,0
1785547057.065,-0.706,-3.315,3.887,0.442,1.370,-5.563,0.2707,10.078,-0.165,-2.262,1.000,-0.1875,0.0790,-0.030,-1.397,0.885,1.200,-1.945,0.0062,-1.673,nan,0.00,1,0.0000,0.962,0,0.226,4,0.775,0,yolo,0
1785547057.091,-0.706,-3.315,3.887,0.442,1.315,-4.063,0.2707,10.078,-0.165,-2.262,1.000,-0.1875,0.0790,-0.030,-1.397,0.885,1.200,-2.000,0.0062,-1.673,nan,0.00,1,0.0000,0.962,0,0.226,4,0.775,0,yolo,0
1785547057.126,-0.777,-3.163,4.418,1.942,1.163,-2.563,0.2541,10.011,-0.361,-1.708,1.000,0.9863,-2.0000,-0.043,-1.391,0.906,1.302,-2.000,0.0062,-1.148,nan,0.00,1,0.0000,0.962,0,0.226,4,0.775,0,yolo,0
1785547057.155,-0.982,-3.030,4.667,2.441,1.030,-1.063,0.2707,10.011,-0.361,-1.708,1.000,-0.2635,0.0151,-0.050,-1.376,0.927,1.280,-2.000,0.0062,-1.170,nan,0.00,1,0.0000,0.971,0,0.232,4,0.765,0,yolo,0
1785547057.191,-1.234,-2.916,4.711,2.138,0.916,0.437,0.2707,10.011,-0.361,-1.708,1.000,-0.2673,0.0293,-0.053,-1.361,0.946,1.262,-2.000,0.0062,-1.188,nan,0.00,1,0.0000,0.971,0,0.232,4,0.765,0,yolo,0
1785547057.218,-1.444,-2.815,4.710,3.638,0.815,1.937,0.2540,10.029,-0.360,-1.579,1.000,-0.0206,-1.1315,-0.058,-1.348,0.963,1.375,-2.000,0.0062,-1.075,nan,0.00,1,0.0000,0.973,0,0.233,4,0.696,0,yolo,0
1785547057.252,-1.447,-2.814,4.709,2.304,0.814,2.054,0.2707,10.029,-0.360,-1.579,1.000,-0.1772,0.0002,-0.058,-1.348,0.964,1.375,-2.000,0.0062,-1.075,nan,0.00,1,0.0000,0.973,0,0.233,4,0.696,0,yolo,0
1785547057.295,-1.782,-2.735,4.552,1.947,0.735,2.054,0.2707,10.029,-0.360,-1.579,1.000,-0.1788,0.0247,-0.060,-1.323,0.980,1.363,-2.000,0.0062,-1.087,nan,0.00,1,0.0000,0.961,0,0.225,4,0.681,0,yolo,0
1785547057.328,-1.987,-2.654,4.337,1.664,0.654,2.054,0.2707,10.029,-0.360,-1.579,1.000,-0.1846,0.0392,-0.066,-1.309,0.997,1.350,-2.000,0.0062,-1.100,nan,0.00,1,0.0000,0.961,0,0.225,4,0.681,0,yolo,0
1785547057.371,-2.143,-2.587,4.145,3.164,0.587,2.798,0.2540,9.946,-0.486,-1.264,1.000,1.2903,-2.0000,-0.075,-1.295,1.013,1.655,-2.000,0.0063,-0.795,nan,0.00,1,0.0000,0.820,0,0.211,3,0.688,0,yolo,0
1785547057.404,-2.302,-2.523,3.967,2.374,0.523,2.798,0.2707,9.946,-0.486,-1.264,1.000,-0.3169,0.0128,-0.085,-1.282,1.028,1.646,-2.000,0.0064,-0.804,nan,0.00,1,0.0000,0.401,0,0.126,1,0.674,0,yolo,0
1785547057.436,-2.533,-2.476,3.725,2.027,0.476,2.798,0.2710,9.946,-0.486,-1.264,1.000,-0.3254,0.0129,-0.094,-1.282,1.043,1.640,-2.000,0.0065,-0.810,nan,0.00,1,0.0000,0.401,0,0.126,1,0.674,0,yolo,0
