t,roll,pitch,yaw,up,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785568294.748,0.000,-17.800,0.000,0.9521,1.147,15.800,-0.670,0.2711,7.290,-0.058,-1.925,1.000,-0.458,-1.147,-0.0000,-0.0000,0.000,0.000,0.000,-0.000,2.055,-2.000,0.0060,0.395,nan,1.13,1,1,1,0.0394,1.000,1,0.525,8,-0.004,0,0,yolo,103.5,yolo,0,0,0,0.000,0,-1,0
1785568294.785,0.000,-17.800,0.000,0.9521,2.293,15.800,-0.578,0.2877,7.146,-0.063,-1.923,1.000,-0.502,-2.293,0.1639,1.2649,0.000,0.018,0.000,-0.000,2.097,-2.000,0.0059,0.353,nan,1.08,1,1,1,0.0377,1.000,1,0.525,8,-0.004,1,0,yolo,107.5,yolo,0,0,0,0.000,0,-1,0
1785568294.813,-0.011,-17.771,-0.002,0.9523,1.152,15.771,-0.541,0.2726,7.146,-0.063,-1.923,1.000,-0.502,-1.162,-0.0183,0.0044,-0.000,-0.000,0.004,0.018,2.101,-2.000,0.0059,0.349,nan,1.04,1,1,1,0.0364,1.000,1,0.526,8,-0.006,0,0,yolo,107.5,yolo,0,0,0,0.000,0,-1,0
1785568294.844,0.015,-16.009,-0.001,0.9612,1.190,14.271,-0.514,0.2765,7.146,-0.063,-1.923,1.000,-0.502,-1.175,-0.0176,-0.0094,0.001,0.001,-0.009,0.039,2.200,-2.000,0.0059,0.122,nan,1.02,1,1,1,0.0355,1.000,1,0.526,8,-0.006,0,0,yolo,107.5,yolo,0,0,0,0.000,0,-1,0
1785568294.875,0.015,-16.009,-0.001,0.9612,-0.310,14.009,-0.717,0.2802,6.682,-0.034,-1.793,1.000,-0.293,4.313,-0.7325,0.0678,0.001,-0.107,-0.009,0.039,2.200,-2.000,0.0059,0.120,nan,1.01,1,1,1,0.0352,1.000,1,0.525,8,-0.006,0,0,yolo,104.0,yolo,0,0,0,0.000,0,-1,0
1785568294.906,-0.260,-13.935,0.068,0.9706,0.994,12.509,-0.695,0.2817,6.682,-0.034,-1.793,1.000,-0.293,-1.255,0.1067,-0.0094,-0.001,-0.001,-0.019,0.067,2.200,-2.000,0.0059,-0.131,nan,0.99,1,1,1,0.0345,1.000,1,0.524,8,-0.003,0,0,yolo,104.0,yolo,0,0,0,0.000,0,-1,0
1785568294.937,-0.395,-12.578,0.146,0.9760,0.810,11.009,-0.726,0.2846,6.682,-0.034,-1.793,1.000,-0.293,-1.205,0.1039,-0.0214,-0.004,-0.004,-0.031,0.099,2.156,-2.000,0.0059,-0.294,nan,1.02,1,1,1,0.0356,1.000,1,0.523,8,-0.002,0,0,yolo,104.0,yolo,0,0,0,0.000,0,-1,0
1785568294.968,-0.504,-11.303,0.199,0.9806,-0.690,9.509,-0.631,0.3013,6.381,-0.016,-1.708,1.000,-0.140,1.550,-0.1273,0.9716,-0.007,-0.094,-0.051,0.146,2.026,-2.000,0.0060,-0.424,nan,0.77,1,1,1,0.0269,1.000,1,0.516,8,0.029,0,0,yolo,108.5,yolo,0,0,0,0.000,0,-1,0
1785568294.999,-0.504,-11.303,0.199,0.9806,0.182,9.303,-0.466,0.2883,6.381,-0.016,-1.708,1.000,-0.140,-0.687,0.0867,0.0000,-0.007,-0.007,-0.051,0.146,2.026,-2.000,0.0060,-0.424,nan,0.61,1,1,1,0.0212,1.000,1,0.510,8,0.077,0,0,yolo,108.5,yolo,0,0,0,0.000,0,-1,0
1785568295.030,-0.439,-10.139,0.250,0.9844,0.182,8.139,-0.343,0.2896,6.381,-0.016,-1.708,1.000,-0.140,-0.621,0.0831,-0.0385,-0.011,-0.011,-0.089,0.205,1.892,-2.000,0.0060,-0.558,nan,0.48,1,1,1,0.0169,1.000,1,0.510,8,0.077,0,0,yolo,108.5,yolo,0,0,0,0.000,0,-1,0
