t,roll,pitch,yaw,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,d_lat,d_vert,vY,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,src_switch,source,gate
1785465583.371,0.000,-17.800,0.000,-0.230,15.800,-0.206,0.2740,5.824,0.009,-1.551,0.971,-0.0000,-0.0000,-0.000,0.000,-0.000,2.146,-2.000,0.0060,0.304,nan,1.00,1,0.0348,1.000,1,0.521,8,0.015,0,yolo,0
1785465583.402,0.000,-17.800,0.000,-0.236,15.800,-0.208,0.2739,5.824,0.009,-1.551,0.971,-0.0003,0.0000,-0.001,0.000,-0.000,2.146,-2.000,0.0059,0.304,nan,1.00,1,0.0349,1.000,1,0.520,8,0.021,0,yolo,0
1785465583.433,0.006,-17.781,0.004,-0.225,15.781,-0.709,0.2754,5.823,0.009,-1.551,0.971,0.0003,0.0300,-0.001,0.003,0.010,2.148,-2.000,0.0059,0.302,nan,1.50,1,0.0524,1.000,1,0.363,6,0.126,0,yolo,0
1785465583.464,0.009,-16.444,0.005,-0.231,14.444,-1.084,0.2759,5.823,0.009,-1.551,0.971,-0.0004,-0.0100,-0.001,-0.007,0.022,2.200,-2.000,0.0059,0.161,nan,1.88,1,0.0655,1.000,1,0.363,6,0.126,0,yolo,0
1785465583.498,0.041,-14.732,0.029,-0.186,12.944,-0.539,0.2789,5.823,0.009,-1.551,0.971,0.0003,-0.0164,-0.000,-0.013,0.038,2.200,-2.000,0.0059,-0.019,nan,1.33,1,0.0465,1.000,1,0.522,8,0.116,0,yolo,0
1785465583.526,0.055,-13.484,0.130,-1.686,11.484,-2.039,0.2956,6.114,0.100,-1.754,1.000,-0.8976,2.0000,0.001,-0.022,0.068,2.170,-2.000,0.0059,-0.280,nan,1.44,1,0.0502,1.000,1,0.520,8,0.099,0,yolo,0
1785465583.556,0.180,-12.354,0.275,-1.479,10.354,-2.450,0.2880,6.114,0.100,-1.754,1.000,0.1283,-0.0177,0.002,-0.040,0.114,2.045,-2.000,0.0060,-0.405,nan,1.52,1,0.0529,1.000,1,0.520,8,0.099,0,yolo,0
1785465583.587,0.180,-12.354,0.275,-1.479,10.354,-2.120,0.2880,6.114,0.100,-1.754,1.000,0.1283,-0.0177,0.002,-0.040,0.114,2.045,-2.000,0.0060,-0.405,nan,1.19,1,0.0414,1.000,1,0.525,8,0.074,0,yolo,0
1785465583.619,0.318,-11.194,0.439,0.021,9.194,-1.130,0.3047,6.707,0.023,-1.817,1.000,1.3019,1.1285,0.005,-0.069,0.172,1.970,-2.000,0.0061,-0.480,nan,0.94,1,0.0327,1.000,1,0.525,8,0.074,0,yolo,0
1785465583.649,0.285,-10.219,0.571,-0.079,8.219,-0.909,0.2908,6.707,0.023,-1.817,1.000,0.0064,-0.0426,0.007,-0.111,0.237,1.852,-2.000,0.0061,-0.598,nan,0.72,1,0.0250,1.000,1,0.516,8,0.083,0,yolo,0
