t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785653235.445,0.000,-17.800,0.000,0.9521,0,-0.924,15.800,-1.089,0.3024,10.002,0.065,-3.838,1.000,0.370,0.924,-0.0000,-0.0000,0.000,0.000,-0.000,-0.000,1.853,-2.000,0.0061,-0.597,nan,0.72,1,1,1,1,1,0.0251,1.000,1,0.520,8,-0.023,2,0,yolo,118.0,yolo,0,0,0,0.000,0,-1,0
1785653235.472,0.000,-17.800,0.000,0.9521,0,-0.924,15.800,-1.162,0.3025,10.002,0.065,-3.838,1.000,0.370,0.924,0.0000,0.0000,0.000,0.000,-0.000,-0.000,1.853,-2.000,0.0061,-0.597,nan,0.79,1,1,1,0,1,0.0277,1.000,1,0.521,8,-0.025,0,0,yolo,118.0,yolo,0,0,0,0.000,0,-1,0
1785653235.503,0.001,-17.216,0.003,0.9552,0,-0.922,15.216,-1.309,0.3036,10.002,0.065,-3.838,1.000,0.370,0.923,0.0001,-0.0312,0.000,0.000,-0.031,0.022,1.744,-2.000,0.0062,-0.706,nan,0.94,1,1,1,0,1,0.0328,1.000,1,0.520,8,-0.024,0,0,yolo,118.0,yolo,0,0,0,0.000,0,-1,0
1785653235.541,0.106,-14.543,0.089,0.9680,0,0.578,13.716,-1.195,0.3202,10.008,0.040,-3.829,1.000,0.228,-0.599,0.2478,2.0000,0.001,-0.008,-0.060,0.056,1.257,-2.000,0.0062,-1.193,nan,0.97,1,1,1,1,1,0.0338,1.000,1,0.521,8,-0.022,0,0,yolo,127.2,yolo,0,0,0,0.000,0,-1,0
1785653235.582,0.091,-12.825,0.310,0.9751,0,-0.418,12.216,-1.220,0.3215,10.008,0.040,-3.829,1.000,0.228,0.509,0.0096,-0.0458,0.001,0.001,-0.106,0.098,1.200,-2.000,0.0062,-1.512,nan,0.99,1,1,1,0,1,0.0346,1.000,1,0.520,8,-0.018,0,0,yolo,127.2,yolo,0,0,0,0.000,0,-1,0
1785653235.620,0.151,-11.298,0.419,0.9806,0,-0.344,10.716,-1.000,0.3242,10.008,0.040,-3.829,1.000,0.228,0.495,0.0107,-0.1345,0.003,0.003,-0.195,0.165,1.200,-2.000,0.0062,-1.794,nan,0.77,1,1,1,0,1,0.0269,1.000,1,0.522,8,-0.007,0,0,yolo,127.2,yolo,0,0,0,0.000,0,-1,0
1785653235.660,0.176,-10.096,0.513,0.9845,0,-0.280,9.216,-0.823,0.3409,10.068,0.038,-4.157,1.000,0.217,0.456,0.0192,2.0000,0.004,-0.001,-0.294,0.235,1.200,-2.000,0.0062,-2.328,nan,0.61,1,1,1,1,1,0.0212,1.000,1,0.522,8,-0.007,0,0,yolo,120.5,yolo,0,0,0,0.000,0,-1,0
1785653235.697,0.176,-10.096,0.513,0.9845,0,-0.312,8.096,0.677,0.3354,10.068,0.038,-4.157,1.000,0.217,0.487,0.0048,0.0000,0.004,0.004,-0.294,0.235,1.200,-2.000,0.0062,-2.328,nan,-2.24,1,1,1,0,1,-0.0782,0.917,1,0.365,5,0.198,0,0,yolo,120.5,yolo,0,0,0,0.000,0,-1,0
1785653235.738,0.205,-8.718,0.626,0.9884,0,-0.264,6.718,2.177,0.3272,10.068,0.038,-4.157,1.000,0.217,0.468,0.0062,-0.1498,0.005,0.005,-0.444,0.311,1.200,-2.000,0.0062,-2.583,nan,-4.38,1,1,1,0,1,-0.1528,0.917,1,0.365,5,0.198,0,0,yolo,120.5,yolo,0,0,0,0.000,0,-1,0
1785653235.775,0.280,-7.858,0.380,0.9906,0,-0.171,5.858,3.677,0.3439,10.124,0.037,-4.318,1.000,0.209,0.450,0.0079,1.8587,0.009,0.004,-0.620,0.376,1.200,-2.000,0.0062,-2.893,nan,-4.38,1,1,1,1,1,-0.1528,0.917,1,0.365,5,0.198,3,0,yolo,116.0,yolo,0,0,0,0.000,0,-1,0
1785653235.799,0.280,-7.858,0.380,0.9906,0,-0.147,5.858,2.177,0.3333,10.124,0.037,-4.318,1.000,0.209,0.427,0.0047,0.0000,0.009,0.009,-0.620,0.376,1.200,-2.000,0.0062,-2.893,nan,0.00,1,1,1,0,1,-0.0437,0.232,1,0.436,6,0.225,0,0,yolo,116.0,yolo,0,0,0,0.000,0,-1,0
1785653235.831,0.363,-7.075,-0.073,0.9924,0,0.018,5.075,0.677,0.3241,10.124,0.037,-4.318,1.000,0.209,0.345,0.0108,-0.1894,0.015,0.015,-0.810,0.437,1.200,-2.000,0.0062,-3.038,nan,0.00,1,1,1,0,1,0.0654,0.464,1,0.436,6,0.225,0,0,yolo,116.0,yolo,0,0,0,0.000,0,-1,0
1785653235.869,0.372,-6.418,-0.148,0.9937,0,0.080,4.418,-0.823,0.3154,10.124,0.037,-4.318,1.000,0.209,0.292,0.0147,-0.3718,0.019,0.019,-0.992,0.494,1.200,-2.000,0.0062,-3.159,nan,1.44,1,1,1,0,1,0.0502,1.000,1,0.372,6,0.267,0,0,yolo,116.0,yolo,0,0,0,0.000,0,-1,0
1785653235.911,0.353,-5.881,-0.000,0.9947,0,1.580,3.951,-1.019,0.2988,10.201,-0.017,-4.143,1.000,-0.094,-3.016,0.5409,-0.8290,0.020,0.009,-1.148,0.542,1.200,-1.929,0.0062,-3.076,nan,1.11,1,1,1,1,1,0.0388,1.000,1,0.372,6,0.267,0,0,yolo,119.3,yolo,0,0,0,0.000,0,-1,0
