t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785657749.288,0.000,-17.800,0.000,0.9521,0,-1.000,15.800,-1.938,0.3025,9.992,0.070,-3.837,1.000,0.400,1.000,-0.0000,-0.0000,0.000,0.000,-0.000,-0.000,1.852,-2.000,0.0061,-0.598,nan,1.54,1,1,1,1,1,0.0537,1.000,1,0.523,8,0.004,0,0,yolo,116.0,yolo,0,0,0,0.000,0,-1,0
1785657749.322,0.000,-17.800,0.000,0.9521,0,-0.999,15.800,-1.843,0.3026,9.992,0.070,-3.837,1.000,0.400,0.999,0.0000,-0.0000,0.000,0.000,-0.000,-0.000,1.852,-2.000,0.0061,-0.598,nan,1.44,1,1,1,0,1,0.0504,1.000,1,0.524,8,0.002,0,0,yolo,116.0,yolo,0,0,0,0.000,0,-1,0
1785657749.353,-0.001,-17.416,0.004,0.9542,0,-1.000,15.416,-1.771,0.3035,9.992,0.070,-3.837,1.000,0.400,1.000,-0.0000,-0.0152,0.000,0.000,-0.015,0.013,1.780,-2.000,0.0062,-0.670,nan,1.37,1,1,1,0,1,0.0479,1.000,1,0.524,8,0.002,0,0,yolo,116.0,yolo,0,0,0,0.000,0,-1,0
1785657749.391,-0.001,-17.416,0.004,0.9542,0,-2.500,15.416,-1.989,0.2869,9.681,0.114,-3.206,1.000,0.672,3.814,-0.3450,-2.0000,0.000,-0.046,-0.015,0.013,2.200,-2.000,0.0062,-0.161,nan,1.32,1,1,1,1,1,0.0460,1.000,1,0.525,8,0.002,0,0,yolo,121.0,yolo,0,0,0,0.000,0,-1,0
1785657749.431,0.045,-14.816,0.110,0.9667,0,-1.401,13.916,-1.949,0.2980,9.681,0.114,-3.206,1.000,0.672,1.447,0.0463,-0.0198,0.000,0.000,-0.035,0.032,1.826,-2.000,0.0063,-0.624,nan,1.28,1,1,1,0,1,0.0446,1.000,1,0.525,8,0.002,0,0,yolo,121.0,yolo,0,0,0,0.000,0,-1,0
1785657749.468,0.314,-12.963,0.441,0.9745,0,-1.096,12.416,-1.605,0.3046,9.681,0.114,-3.206,1.000,0.672,1.411,0.0489,-0.0474,0.003,0.003,-0.063,0.056,1.498,-2.000,0.0064,-0.952,nan,0.93,1,1,1,0,1,0.0326,1.000,1,0.526,8,0.001,0,0,yolo,121.0,yolo,0,0,0,0.000,0,-1,0
1785657749.510,0.406,-11.231,0.609,0.9808,0,0.404,10.916,-0.790,0.2879,9.612,0.019,-2.808,1.000,0.115,-4.743,0.9349,-0.7033,0.007,0.040,-0.114,0.098,1.568,-2.000,0.0064,-0.882,nan,0.68,1,1,1,1,1,0.0236,1.000,1,0.526,8,0.001,0,0,yolo,114.5,yolo,0,0,0,0.000,0,-1,0
1785657749.541,0.406,-11.231,0.609,0.9808,0,0.018,9.416,-0.621,0.3028,9.612,0.019,-2.808,1.000,0.115,0.389,-0.0328,0.0000,0.007,0.007,-0.114,0.098,1.568,-2.000,0.0065,-0.882,nan,0.51,1,1,1,0,1,0.0177,1.000,1,0.512,8,0.052,0,0,yolo,114.5,yolo,0,0,0,0.000,0,-1,0
1785657749.571,0.336,-9.814,0.697,0.9854,0,-0.003,7.916,-0.621,0.3061,9.612,0.019,-2.808,1.000,0.115,0.339,-0.0292,-0.0624,0.011,0.011,-0.176,0.153,1.322,-2.000,0.0065,-1.128,nan,0.51,1,1,1,0,1,0.0177,1.000,1,0.512,8,0.052,0,0,yolo,114.5,yolo,0,0,0,0.000,0,-1,0
1785657749.612,0.349,-8.882,0.760,0.9880,0,1.497,6.882,-0.069,0.2894,9.773,-0.033,-2.547,1.000,-0.193,-2.457,0.3148,-0.7253,0.014,0.046,-0.243,0.214,1.443,-2.000,0.0065,-1.007,nan,0.26,1,1,1,1,1,0.0091,1.000,1,0.440,7,0.150,0,0,yolo,116.7,yolo,0,0,0,0.000,0,-1,0
1785657749.651,0.176,-8.062,0.777,0.9901,0,0.655,6.062,0.019,0.3051,9.773,-0.033,-2.547,1.000,-0.193,-0.479,-0.0293,-0.0662,0.016,0.016,-0.309,0.270,1.299,-2.000,0.0065,-1.151,nan,0.17,1,1,1,0,1,0.0061,1.000,1,0.440,7,0.150,0,0,yolo,116.7,yolo,0,0,0,0.000,0,-1,0
1785657749.688,0.133,-7.334,0.766,0.9918,0,0.631,5.334,0.085,0.3050,9.773,-0.033,-2.547,1.000,-0.193,-0.498,-0.0280,-0.1410,0.018,0.018,-0.384,0.323,1.200,-2.000,0.0065,-1.278,nan,0.11,1,1,1,0,1,0.0037,1.000,1,0.432,7,0.188,0,0,yolo,116.7,yolo,0,0,0,0.000,0,-1,0
1785657749.716,0.133,-7.334,0.766,0.9918,0,2.131,5.334,0.219,0.3217,10.010,-0.057,-2.746,1.000,-0.327,-5.504,0.7027,2.0000,0.018,0.137,-0.384,0.323,1.200,-2.000,0.0065,-1.446,nan,0.11,1,1,1,1,1,0.0037,1.000,1,0.432,7,0.188,0,0,yolo,107.7,yolo,0,0,0,0.000,0,-1,0
1785657749.752,0.067,-6.660,0.759,0.9933,0,0.631,4.660,0.269,0.3160,10.010,-0.057,-2.746,1.000,-0.327,-0.385,-0.1182,-0.0813,0.019,0.019,-0.465,0.375,1.200,-2.000,0.0065,-1.566,nan,0.06,1,1,1,0,1,0.0020,1.000,1,0.432,7,0.188,3,0,yolo,107.7,yolo,0,0,0,0.000,0,-1,0
1785657749.792,-0.003,-6.003,0.727,0.9945,0,0.387,4.003,-0.813,0.3144,10.010,-0.057,-2.746,1.000,-0.327,-0.390,-0.1178,-0.1872,0.019,0.019,-0.571,0.428,1.200,-2.000,0.0065,-1.684,nan,1.14,1,1,1,0,1,0.0398,1.000,1,0.374,6,0.246,0,0,yolo,107.7,yolo,0,0,0,0.000,0,-1,0
1785657749.830,-0.047,-5.501,0.803,0.9954,0,1.887,3.501,-1.061,0.3310,10.165,-0.078,-2.716,1.000,-0.441,-2.496,0.1517,0.3411,0.018,0.075,-0.672,0.471,1.200,-2.000,0.0065,-1.729,nan,1.50,1,1,1,1,1,0.0524,1.000,1,0.369,6,0.256,0,0,yolo,105.4,yolo,0,0,0,0.000,0,-1,0
1785657749.862,-0.047,-5.501,0.803,0.9954,0,0.919,3.501,0.439,0.3239,10.165,-0.078,-2.716,1.000,-0.441,-0.966,-0.0573,0.0000,0.018,0.018,-0.672,0.471,1.200,-2.000,0.0065,-1.729,nan,-0.66,1,1,1,0,1,-0.0231,1.000,1,0.358,6,0.274,0,0,yolo,105.4,yolo,0,0,0,0.000,0,-1,0
1785657749.887,-0.165,-5.016,0.769,0.9962,0,0.798,3.016,1.101,0.3203,10.165,-0.078,-2.716,1.000,-0.441,-0.963,-0.0576,-0.1333,0.018,0.018,-0.806,0.515,1.200,-2.000,0.0065,-1.817,nan,-0.66,1,1,1,0,1,-0.0231,1.000,1,0.358,6,0.274,0,0,yolo,105.4,yolo,0,0,0,0.000,0,-1,0
