t,roll,pitch,yaw,up,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785568531.881,0.000,-17.800,0.000,0.9521,1.116,15.800,0.020,0.2750,6.863,-0.054,-1.919,1.000,-0.448,-1.116,-0.0000,-0.0000,-0.000,-0.000,0.000,-0.000,2.179,-2.000,0.0060,0.271,nan,0.43,1,1,1,0.0149,1.000,1,0.525,8,-0.005,0,0,yolo,122.2,yolo,0,0,0,0.000,0,-1,0
1785568531.916,-0.004,-17.685,-0.001,0.9527,-0.384,15.685,-0.102,0.2749,6.505,-0.026,-1.790,1.000,-0.227,1.206,-0.2506,0.0015,-0.001,-0.039,-0.005,0.018,2.180,-2.000,0.0059,0.270,nan,0.33,1,1,1,0.0115,1.000,1,0.525,8,-0.006,0,0,yolo,137.4,yolo,0,0,0,0.000,0,-1,0
1785568531.947,-0.004,-17.685,-0.001,0.9527,0.740,15.685,-0.102,0.2748,6.505,-0.026,-1.790,1.000,-0.227,-0.743,0.0382,0.0000,-0.001,-0.001,-0.005,0.018,2.180,-2.000,0.0059,0.270,nan,0.33,1,1,1,0.0115,1.000,1,0.525,8,-0.006,0,0,yolo,137.4,yolo,0,0,0,0.000,0,-1,0
1785568531.985,-0.002,-15.718,0.000,0.9626,0.741,14.185,-0.028,0.2784,6.505,-0.026,-1.790,1.000,-0.227,-0.743,0.0382,-0.0160,-0.001,-0.001,-0.021,0.042,2.200,-2.000,0.0059,0.039,nan,0.25,1,1,1,0.0089,1.000,1,0.525,8,-0.006,2,0,yolo,137.4,yolo,0,0,0,0.000,0,-1,0
1785568532.011,-0.194,-13.781,0.006,0.9712,0.525,12.685,0.017,0.2825,6.505,-0.026,-1.790,1.000,-0.227,-0.719,0.0369,-0.0285,-0.003,-0.003,-0.033,0.072,2.200,-2.000,0.0059,-0.189,nan,0.21,1,1,1,0.0073,1.000,1,0.524,8,-0.002,0,0,yolo,137.4,yolo,0,0,0,0.000,0,-1,0
1785568532.038,-0.194,-13.781,0.006,0.9712,-0.975,11.781,-0.106,0.2658,6.271,-0.008,-1.706,1.000,-0.071,1.987,-0.2562,-0.3857,-0.003,-0.064,-0.033,0.072,2.200,-2.000,0.0060,-0.163,nan,0.18,1,1,1,0.0062,1.000,1,0.524,8,-0.002,0,0,yolo,138.3,yolo,0,0,0,0.000,0,-1,0
1785568532.073,-0.086,-12.427,0.008,0.9766,0.351,10.427,-0.325,0.2825,6.271,-0.008,-1.706,1.000,-0.071,-0.437,0.0611,-0.0118,-0.003,-0.003,-0.045,0.107,2.133,-2.000,0.0060,-0.317,nan,0.40,1,1,1,0.0138,1.000,1,0.522,8,0.003,0,0,yolo,138.3,yolo,0,0,0,0.000,0,-1,0
1785568532.111,-0.162,-11.170,0.037,0.9811,0.252,9.170,-0.137,0.2879,6.271,-0.008,-1.706,1.000,-0.071,-0.414,0.0599,-0.0294,-0.005,-0.005,-0.063,0.158,1.991,-2.000,0.0060,-0.459,nan,0.21,1,1,1,0.0073,1.000,1,0.511,8,0.040,0,0,yolo,138.3,yolo,0,0,0,0.000,0,-1,0
1785568532.151,-0.201,-10.033,0.054,0.9847,-1.248,8.033,-0.135,0.3046,6.119,0.007,-1.652,1.000,0.068,1.832,-0.1483,1.0157,-0.006,-0.066,-0.089,0.221,1.889,-2.000,0.0061,-0.561,nan,0.07,1,1,1,0.0024,1.000,1,0.511,8,0.040,0,0,yolo,121.6,yolo,0,0,0,0.000,0,-1,0
1785568532.186,-0.201,-10.033,0.054,0.9847,-0.157,8.033,-0.138,0.2914,6.119,0.007,-1.652,1.000,0.068,-0.044,0.0596,0.0000,-0.006,-0.006,-0.089,0.221,1.889,-2.000,0.0061,-0.561,nan,0.07,1,1,1,0.0024,1.000,1,0.444,7,0.120,0,0,yolo,121.6,yolo,0,0,0,0.000,0,-1,0
