t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785735870.518,0.000,-17.800,0.000,0.9521,0,-1.560,15.800,7.355,0.2206,24.918,0.280,-1.249,1.000,0.645,1.560,-0.0000,-0.0000,0.000,0.000,-0.000,-0.000,1.200,-2.000,0.0060,6.428,nan,-8.00,1,1,1,1,1,-0.2794,0.500,1,0.367,6,0.138,0,0,anduril,,anduril,0,0,-1,0.011,1,0,0
1785735870.588,0.008,-17.272,-0.021,0.9549,0,-1.505,15.272,7.355,0.2195,24.918,0.280,-1.249,1.000,0.645,1.513,-0.0006,-0.0078,-0.000,-0.000,-0.008,0.004,1.200,-2.000,0.0060,6.206,nan,-8.00,1,1,1,0,1,-0.2794,0.500,1,0.367,6,0.138,0,0,anduril,,anduril,0,0,-1,0.022,1,0,0
1785735870.655,0.042,-16.145,-0.137,0.9606,0,-1.421,14.145,7.355,0.2178,24.918,0.280,-1.249,1.000,0.645,1.462,-0.0007,-0.0176,-0.000,-0.000,-0.018,0.007,1.200,-2.000,0.0060,5.729,nan,-8.00,1,1,1,0,1,-0.2794,0.500,1,0.367,6,0.138,0,0,anduril,,anduril,0,0,-1,0.034,1,0,0
1785735870.736,0.269,-13.071,-1.090,0.9741,0,-1.119,12.645,7.355,0.2140,24.918,0.280,-1.249,1.000,0.645,1.387,0.0021,-0.0344,0.002,0.002,-0.034,0.050,1.200,-2.000,0.0060,4.420,nan,-8.00,1,1,1,0,1,-0.2794,0.500,1,0.367,6,0.138,77,0,anduril,,anduril,0,0,-1,0.045,1,77,0
1785735870.766,0.282,-12.388,-1.215,0.9767,0,-0.936,11.145,5.855,0.2186,18.810,0.189,-2.206,1.000,0.576,1.219,-0.0000,-0.0000,0.003,0.003,-0.032,0.068,1.200,-2.000,0.0060,1.882,nan,-6.03,1,1,1,1,1,-0.2103,1.000,1,0.514,8,0.027,0,0,anduril,,anduril,0,0,-1,0.034,0,0,0
1785735870.809,0.297,-11.648,-1.362,0.9794,0,-0.978,9.648,5.450,0.2259,18.810,0.189,-2.206,1.000,0.576,1.275,0.0013,0.0077,0.005,0.005,-0.024,0.088,1.200,-2.000,0.0060,1.638,nan,-6.03,1,1,1,0,1,-0.2103,1.000,1,0.514,8,0.027,0,0,anduril,,anduril,0,0,-1,0.022,0,0,0
1785735870.869,0.753,-9.795,-1.952,0.9853,0,-0.535,8.148,5.450,0.2425,18.810,0.189,-2.206,1.000,0.576,1.289,0.0070,0.0222,0.010,0.010,-0.010,0.121,1.421,-2.000,0.0060,1.029,nan,-6.03,1,1,1,0,1,-0.2103,1.000,1,0.514,8,0.027,0,0,anduril,,anduril,0,0,-1,0.011,0,0,0
1785735870.930,0.828,-8.054,-2.672,0.9900,0,-0.441,6.648,5.450,0.2592,18.810,0.189,-2.206,1.000,0.576,1.269,0.0162,0.0438,0.020,0.020,0.012,0.151,1.996,-2.000,0.0060,0.454,nan,-6.03,1,1,1,0,1,-0.2103,1.000,1,0.514,8,0.027,0,0,anduril,,anduril,0,0,-1,0.000,0,0,0
1785735871.040,1.143,-6.397,-3.335,0.9936,0,-0.003,5.148,5.450,0.2759,18.810,0.189,-2.206,1.000,0.576,1.146,0.0290,0.0663,0.032,0.032,0.035,0.189,2.200,-2.000,0.0060,-0.092,nan,-6.03,1,1,1,0,1,-0.2103,1.000,1,0.514,8,0.027,0,0,anduril,,anduril,0,0,0,0.000,0,0,0
1785735871.120,1.563,-4.125,-4.520,0.9970,0,0.703,3.648,5.450,0.2925,18.810,0.189,-2.206,1.000,0.576,0.860,0.0589,0.0777,0.062,0.062,0.046,0.252,1.609,-2.000,0.0060,-0.841,nan,-6.03,1,1,1,0,1,-0.2103,1.000,1,0.514,8,0.027,0,0,anduril,,anduril,0,0,0,0.000,0,0,0
