t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785654068.940,0.000,-17.800,0.000,0.9521,0,-0.449,15.800,0.656,0.2740,5.822,0.019,-1.550,0.970,0.185,0.449,-0.0000,-0.0000,-0.000,-0.000,-0.000,-0.000,2.146,-2.000,0.0060,0.304,nan,0.06,1,1,1,1,1,0.0020,1.000,1,0.526,8,-0.007,0,0,yolo,111.9,yolo,0,0,0,0.000,0,-1,0
1785654068.973,0.000,-17.800,0.000,0.9521,0,-0.449,15.800,0.664,0.2739,5.822,0.019,-1.550,0.970,0.185,0.449,0.0000,0.0000,-0.000,-0.000,-0.000,-0.000,2.146,-2.000,0.0059,0.304,nan,0.05,1,1,1,0,1,0.0017,1.000,1,0.524,8,-0.002,0,0,yolo,111.9,yolo,0,0,0,0.000,0,-1,0
1785654069.003,-0.006,-17.683,-0.002,0.9528,0,-0.469,15.683,0.664,0.2739,5.822,0.019,-1.550,0.970,0.185,0.463,-0.0007,-0.0051,-0.001,-0.001,-0.005,0.018,2.159,-2.000,0.0059,0.291,nan,0.05,1,1,1,0,1,0.0017,1.000,1,0.524,8,-0.002,0,0,yolo,111.9,yolo,0,0,0,0.000,0,-1,0
1785654069.037,0.024,-15.389,-0.002,0.9641,0,-0.427,14.183,0.670,0.2774,5.822,0.019,-1.550,0.970,0.185,0.451,-0.0001,-0.0200,-0.000,-0.000,-0.020,0.043,2.200,-2.000,0.0059,0.050,nan,0.04,1,1,1,0,1,0.0015,1.000,1,0.524,8,-0.002,3,0,yolo,111.9,yolo,0,0,0,0.000,0,-1,0
1785654069.062,0.024,-15.389,-0.002,0.9641,0,-0.427,13.389,-0.035,0.2782,5.818,0.019,-1.549,0.970,0.185,0.451,-0.0002,-0.0027,-0.000,-0.000,-0.020,0.043,2.200,-2.000,0.0059,0.051,nan,0.76,1,1,1,1,1,0.0267,1.000,1,0.367,6,0.122,0,0,yolo,130.7,yolo,0,0,0,0.000,0,-1,0
1785654069.096,0.161,-13.512,-0.097,0.9723,0,-0.260,11.889,-0.576,0.2816,5.818,0.019,-1.549,0.970,0.185,0.421,0.0015,-0.0113,0.001,0.001,-0.031,0.073,2.200,-2.000,0.0059,-0.146,nan,1.30,1,1,1,0,1,0.0455,1.000,1,0.367,6,0.122,0,0,yolo,130.7,yolo,0,0,0,0.000,0,-1,0
1785654069.131,0.175,-11.935,-0.037,0.9784,0,-0.211,10.389,-1.122,0.2842,5.818,0.019,-1.549,0.970,0.185,0.386,0.0033,-0.0288,0.003,0.003,-0.049,0.110,2.138,-2.000,0.0059,-0.312,nan,1.85,1,1,1,0,1,0.0646,1.000,1,0.367,6,0.112,0,0,yolo,130.7,yolo,0,0,0,0.000,0,-1,0
1785654069.171,0.179,-10.561,0.124,0.9831,0,-1.711,8.889,-2.622,0.3008,6.494,0.049,-1.570,1.000,0.429,6.845,-0.8302,1.2406,0.005,-0.122,-0.076,0.162,2.097,-2.000,0.0060,-0.353,nan,2.26,1,1,1,1,1,0.0789,1.000,1,0.367,6,0.112,0,0,yolo,114.2,yolo,0,0,0,0.000,0,-1,0
1785654069.202,0.179,-10.561,0.124,0.9831,0,-0.211,8.561,-2.183,0.2855,6.494,0.049,-1.570,1.000,0.429,0.372,0.1273,0.0000,0.005,0.005,-0.076,0.162,2.097,-2.000,0.0060,-0.353,nan,1.75,1,1,1,0,1,0.0612,1.000,1,0.510,8,0.144,0,0,yolo,114.2,yolo,0,0,0,0.000,0,-1,0
1785654069.233,0.168,-9.429,0.366,0.9865,0,-0.176,7.429,-2.183,0.2869,6.494,0.049,-1.570,1.000,0.429,0.345,0.1288,-0.0358,0.006,0.006,-0.112,0.225,1.965,-2.000,0.0061,-0.485,nan,1.75,1,1,1,0,1,0.0612,1.000,1,0.510,8,0.144,0,0,yolo,114.2,yolo,0,0,0,0.000,0,-1,0
